Date,USDINR18SEP73CE O,USDINR18SEP73CE H,USDINR18SEP73CE L,USDINR18SEP73CE C,USDINR18SEP73CE V
9/14/2018 4:59:00 PM,0.11,0.1175,0.11,0.1125,921
9/14/2018 4:58:00 PM,0.11,0.1125,0.11,0.11,530
9/14/2018 4:57:00 PM,0.1125,0.1125,0.11,0.11,981
9/14/2018 4:56:00 PM,0.11,0.1125,0.11,0.1125,453
9/14/2018 4:55:00 PM,0.11,0.1125,0.11,0.11,732
9/14/2018 4:54:00 PM,0.11,0.1125,0.11,0.11,665
9/14/2018 4:53:00 PM,0.115,0.115,0.11,0.11,766
9/14/2018 4:52:00 PM,0.1125,0.115,0.1125,0.115,597
9/14/2018 4:51:00 PM,0.115,0.115,0.11,0.1125,254
9/14/2018 4:50:00 PM,0.115,0.115,0.115,0.115,108
9/14/2018 4:49:00 PM,0.115,0.115,0.115,0.115,500
9/14/2018 4:48:00 PM,0.1125,0.1175,0.1125,0.115,110
9/14/2018 4:47:00 PM,0.11,0.1125,0.11,0.1125,20
9/14/2018 4:46:00 PM,0.1075,0.11,0.1075,0.11,175
9/14/2018 4:45:00 PM,0.1125,0.1125,0.1075,0.1075,345
9/14/2018 4:44:00 PM,0.1075,0.1125,0.1075,0.1125,217
9/14/2018 4:43:00 PM,0.105,0.1075,0.105,0.1075,62
9/14/2018 4:42:00 PM,0.105,0.1125,0.105,0.105,605
9/14/2018 4:41:00 PM,0.1025,0.1075,0.1025,0.105,107
9/14/2018 4:40:00 PM,0.1025,0.105,0.1025,0.1025,275
9/14/2018 4:39:00 PM,0.1025,0.1025,0.1025,0.1025,350
9/14/2018 4:38:00 PM,0.1025,0.1025,0.1,0.1025,1026
9/14/2018 4:37:00 PM,0.1025,0.1025,0.1025,0.1025,0
9/14/2018 4:36:00 PM,0.1,0.1025,0.1,0.1025,322
9/14/2018 4:35:00 PM,0.1025,0.1025,0.1,0.1,264
9/14/2018 4:34:00 PM,0.105,0.105,0.1,0.1025,501
9/14/2018 4:33:00 PM,0.105,0.105,0.1025,0.105,1050
9/14/2018 4:32:00 PM,0.105,0.105,0.1025,0.105,247
9/14/2018 4:31:00 PM,0.105,0.1075,0.105,0.105,163
9/14/2018 4:30:00 PM,0.1,0.105,0.1,0.105,217
9/14/2018 4:29:00 PM,0.1,0.1,0.0975,0.1,639
9/14/2018 4:28:00 PM,0.1025,0.1025,0.095,0.1,592
9/14/2018 4:27:00 PM,0.1075,0.1075,0.1,0.1025,1035
9/14/2018 4:26:00 PM,0.105,0.11,0.105,0.1075,38
9/14/2018 4:25:00 PM,0.1075,0.11,0.105,0.105,424
9/14/2018 4:24:00 PM,0.105,0.1075,0.105,0.1075,145
9/14/2018 4:23:00 PM,0.105,0.105,0.1025,0.105,425
9/14/2018 4:22:00 PM,0.1075,0.1075,0.1025,0.1025,781
9/14/2018 4:21:00 PM,0.105,0.1075,0.105,0.1075,305
9/14/2018 4:20:00 PM,0.1075,0.1075,0.105,0.105,11
9/14/2018 4:19:00 PM,0.11,0.11,0.105,0.105,618
9/14/2018 4:18:00 PM,0.115,0.115,0.105,0.11,2294
