Date,USDINR18SEP71PE O,USDINR18SEP71PE H,USDINR18SEP71PE L,USDINR18SEP71PE C,USDINR18SEP71PE V
9/14/2018 4:59:00 PM,0.1175,0.1225,0.1175,0.1225,2168
9/14/2018 4:58:00 PM,0.1175,0.1175,0.1175,0.1175,1886
9/14/2018 4:57:00 PM,0.115,0.1175,0.115,0.1175,206
9/14/2018 4:56:00 PM,0.1175,0.1175,0.115,0.115,625
9/14/2018 4:55:00 PM,0.1175,0.1175,0.115,0.1175,67
9/14/2018 4:54:00 PM,0.1175,0.1175,0.115,0.1175,59
9/14/2018 4:53:00 PM,0.115,0.1175,0.115,0.1175,160
9/14/2018 4:52:00 PM,0.115,0.115,0.115,0.115,70
9/14/2018 4:51:00 PM,0.1125,0.115,0.1125,0.115,560
9/14/2018 4:50:00 PM,0.1125,0.115,0.1125,0.1125,851
9/14/2018 4:49:00 PM,0.1125,0.1125,0.1125,0.1125,962
9/14/2018 4:48:00 PM,0.115,0.115,0.1125,0.1125,200
9/14/2018 4:47:00 PM,0.1175,0.1175,0.115,0.115,370
9/14/2018 4:46:00 PM,0.115,0.1175,0.115,0.1175,214
9/14/2018 4:45:00 PM,0.1175,0.1175,0.115,0.115,49
9/14/2018 4:44:00 PM,0.12,0.12,0.1175,0.1175,32
9/14/2018 4:43:00 PM,0.12,0.1225,0.12,0.12,490
9/14/2018 4:42:00 PM,0.1225,0.1225,0.1175,0.12,320
9/14/2018 4:41:00 PM,0.1225,0.125,0.1225,0.1225,354
9/14/2018 4:40:00 PM,0.1275,0.1275,0.1225,0.1225,500
9/14/2018 4:39:00 PM,0.1275,0.1275,0.1275,0.1275,545
9/14/2018 4:38:00 PM,0.1275,0.1275,0.1275,0.1275,418
9/14/2018 4:37:00 PM,0.125,0.1275,0.125,0.1275,55
9/14/2018 4:36:00 PM,0.125,0.1275,0.125,0.125,1494
9/14/2018 4:35:00 PM,0.1225,0.125,0.1225,0.125,570
9/14/2018 4:34:00 PM,0.1225,0.1225,0.1225,0.1225,1580
9/14/2018 4:33:00 PM,0.12,0.1225,0.12,0.1225,10
9/14/2018 4:32:00 PM,0.12,0.1225,0.12,0.12,211
9/14/2018 4:31:00 PM,0.12,0.1225,0.12,0.12,100
9/14/2018 4:30:00 PM,0.1225,0.1225,0.12,0.12,58
9/14/2018 4:29:00 PM,0.125,0.125,0.12,0.1225,592
9/14/2018 4:28:00 PM,0.1225,0.125,0.1225,0.125,606
9/14/2018 4:27:00 PM,0.115,0.1225,0.115,0.1225,792
9/14/2018 4:26:00 PM,0.12,0.12,0.115,0.115,117
9/14/2018 4:25:00 PM,0.1175,0.12,0.115,0.12,347
9/14/2018 4:24:00 PM,0.1175,0.1175,0.1175,0.1175,100
9/14/2018 4:23:00 PM,0.1175,0.12,0.1175,0.1175,670
9/14/2018 4:22:00 PM,0.12,0.12,0.1175,0.1175,51
9/14/2018 4:21:00 PM,0.115,0.12,0.115,0.12,630
9/14/2018 4:20:00 PM,0.115,0.115,0.115,0.115,131
9/14/2018 4:19:00 PM,0.1125,0.115,0.1125,0.115,485
9/14/2018 4:18:00 PM,0.11,0.12,0.1075,0.115,2672
