Date,NIFTY18SEP11700PE O,NIFTY18SEP11700PE H,NIFTY18SEP11700PE L,NIFTY18SEP11700PE C,NIFTY18SEP11700PE V
9/14/2018 3:29:00 PM,189.8,198.95,189.2,198.95,12750
9/14/2018 3:28:00 PM,186.55,189.8,186.25,189.8,6450
9/14/2018 3:27:00 PM,184.8,187.1,184.6,187.1,6150
9/14/2018 3:26:00 PM,184.75,185.95,184.25,184.8,3900
9/14/2018 3:25:00 PM,185.3,186.75,185,185,3750
9/14/2018 3:24:00 PM,185.4,186.1,184.7,185.35,2025
9/14/2018 3:23:00 PM,185.65,186.5,185.45,185.45,3975
9/14/2018 3:22:00 PM,185.1,186.05,185.1,185.65,4350
9/14/2018 3:21:00 PM,184.5,186,184.5,186,1650
9/14/2018 3:20:00 PM,183.45,184.5,183.45,184.5,825
9/14/2018 3:19:00 PM,183.5,184.8,183.45,183.45,4275
9/14/2018 3:18:00 PM,184.9,185.3,183.45,183.5,1575
9/14/2018 3:17:00 PM,184.4,186.3,184.4,184.9,2400
9/14/2018 3:16:00 PM,185.85,187.95,184.4,184.4,1350
9/14/2018 3:15:00 PM,185.85,186.55,185.85,185.85,450
9/14/2018 3:14:00 PM,185.9,186.5,185.55,185.85,5175
9/14/2018 3:13:00 PM,187.1,187.55,185.9,185.9,1050
9/14/2018 3:12:00 PM,186.75,187.8,185.85,187.1,3150
9/14/2018 3:11:00 PM,185.95,188.05,185.9,186.75,1875
9/14/2018 3:10:00 PM,187.2,187.2,184.95,185.95,1275
9/14/2018 3:09:00 PM,183.85,187.35,183.85,187.2,12975
9/14/2018 3:08:00 PM,184.5,184.5,182.7,183.85,3975
9/14/2018 3:07:00 PM,183.05,185.65,182.1,184,9375
9/14/2018 3:06:00 PM,184.1,185.4,183.05,183.05,8400
9/14/2018 3:05:00 PM,184.55,186,183.9,184.4,10800
9/14/2018 3:04:00 PM,180,184.55,180,184.55,7725
9/14/2018 3:03:00 PM,184.35,184.35,179.15,180,16650
9/14/2018 3:02:00 PM,188.45,189.1,182.45,184.35,7050
9/14/2018 3:01:00 PM,194.75,195,185.5,188.45,31350
9/14/2018 3:00:00 PM,204.6,206.05,192.2,194.75,10650
9/14/2018 2:59:00 PM,204.5,205.05,204.5,204.6,3675
9/14/2018 2:58:00 PM,202.7,204.5,202.55,204.5,3225
9/14/2018 2:57:00 PM,205.5,205.85,202,203.15,4200
9/14/2018 2:56:00 PM,206.5,206.5,204.45,205.5,300
9/14/2018 2:55:00 PM,205.7,207.3,205.7,206.5,675
9/14/2018 2:54:00 PM,206.55,206.55,205,205.7,675
