Date,USDINR18SEP73PE O,USDINR18SEP73PE H,USDINR18SEP73PE L,USDINR18SEP73PE C,USDINR18SEP73PE V
9/14/2018 4:59:00 PM,1.1525,1.1525,1.1525,1.1525,1
9/14/2018 4:58:00 PM,1.14,1.14,1.14,1.14,0
9/14/2018 4:57:00 PM,1.14,1.14,1.14,1.14,0
9/14/2018 4:56:00 PM,1.1475,1.1475,1.14,1.14,55
9/14/2018 4:55:00 PM,1.145,1.1475,1.145,1.1475,104
9/14/2018 4:54:00 PM,1.145,1.145,1.145,1.145,0
9/14/2018 4:53:00 PM,1.14,1.145,1.14,1.145,50
9/14/2018 4:52:00 PM,1.14,1.14,1.14,1.14,2
9/14/2018 4:51:00 PM,1.14,1.14,1.14,1.14,0
9/14/2018 4:50:00 PM,1.14,1.14,1.14,1.14,0
9/14/2018 4:49:00 PM,1.14,1.14,1.14,1.14,0
9/14/2018 4:48:00 PM,1.14,1.14,1.14,1.14,0
9/14/2018 4:47:00 PM,1.1425,1.1425,1.14,1.14,53
9/14/2018 4:46:00 PM,1.1425,1.1425,1.1425,1.1425,0
9/14/2018 4:45:00 PM,1.1425,1.1425,1.1425,1.1425,0
9/14/2018 4:44:00 PM,1.165,1.165,1.1425,1.1425,60
9/14/2018 4:43:00 PM,1.1675,1.1675,1.165,1.165,100
9/14/2018 4:42:00 PM,1.1725,1.1725,1.1675,1.1675,1
9/14/2018 4:41:00 PM,1.1725,1.1725,1.1725,1.1725,0
9/14/2018 4:40:00 PM,1.1725,1.1725,1.1725,1.1725,0
9/14/2018 4:39:00 PM,1.1725,1.1725,1.1725,1.1725,0
9/14/2018 4:38:00 PM,1.1725,1.1725,1.1725,1.1725,0
9/14/2018 4:37:00 PM,1.1725,1.1725,1.1725,1.1725,0
9/14/2018 4:36:00 PM,1.1725,1.1725,1.1725,1.1725,0
9/14/2018 4:35:00 PM,1.1725,1.1725,1.1725,1.1725,0
9/14/2018 4:34:00 PM,1.1725,1.1725,1.1725,1.1725,0
9/14/2018 4:33:00 PM,1.1725,1.1725,1.1725,1.1725,0
9/14/2018 4:32:00 PM,1.2,1.2,1.1725,1.1725,1
9/14/2018 4:31:00 PM,1.2,1.2,1.2,1.2,0
9/14/2018 4:30:00 PM,1.2,1.2,1.2,1.2,0
9/14/2018 4:29:00 PM,1.2,1.2,1.2,1.2,0
9/14/2018 4:28:00 PM,1.1825,1.2,1.1825,1.2,85
9/14/2018 4:27:00 PM,1.15,1.16,1.15,1.16,30
9/14/2018 4:26:00 PM,1.17,1.17,1.15,1.15,1
9/14/2018 4:25:00 PM,1.1675,1.17,1.155,1.17,101
9/14/2018 4:24:00 PM,1.1675,1.1675,1.1675,1.1675,0
9/14/2018 4:23:00 PM,1.1675,1.17,1.1675,1.1675,16
9/14/2018 4:22:00 PM,1.1675,1.1675,1.1675,1.1675,2
9/14/2018 4:21:00 PM,1.1675,1.1675,1.1675,1.1675,0
9/14/2018 4:20:00 PM,1.1675,1.1675,1.1675,1.1675,0
9/14/2018 4:19:00 PM,1.1675,1.1675,1.1675,1.1675,0
9/14/2018 4:18:00 PM,1.12,1.1675,1.12,1.1675,101
9/14/2018 4:17:00 PM,1.12,1.12,1.12,1.12,0
9/14/2018 4:16:00 PM,1.1275,1.1275,1.12,1.12,1
9/14/2018 4:15:00 PM,1.1275,1.1275,1.1275,1.1275,0
9/14/2018 4:14:00 PM,1.1275,1.1275,1.1275,1.1275,0
9/14/2018 4:13:00 PM,1.1275,1.1275,1.1275,1.1275,0
9/14/2018 4:12:00 PM,1.1275,1.1275,1.1275,1.1275,0
9/14/2018 4:11:00 PM,1.1275,1.1275,1.1275,1.1275,0
9/14/2018 4:10:00 PM,1.1275,1.1275,1.1275,1.1275,0
9/14/2018 4:09:00 PM,1.12,1.1275,1.12,1.1275,10
9/14/2018 4:08:00 PM,1.12,1.12,1.12,1.12,0
9/14/2018 4:07:00 PM,1.12,1.12,1.12,1.12,0
9/14/2018 4:06:00 PM,1.12,1.12,1.12,1.12,0
9/14/2018 4:05:00 PM,1.12,1.12,1.12,1.12,1
9/14/2018 4:04:00 PM,1.12,1.12,1.12,1.12,0
9/14/2018 4:03:00 PM,1.12,1.12,1.12,1.12,0
9/14/2018 4:02:00 PM,1.12,1.12,1.12,1.12,0
9/14/2018 4:01:00 PM,1.1,1.12,1.1,1.12,100
9/14/2018 4:00:00 PM,1.1125,1.1125,1.1,1.1,1
9/14/2018 3:59:00 PM,1.1125,1.1125,1.1125,1.1125,0
9/14/2018 3:58:00 PM,1.1125,1.1125,1.1125,1.1125,0
9/14/2018 3:57:00 PM,1.1125,1.1125,1.1125,1.1125,0
