Date,USDINR18OCT71CE O,USDINR18OCT71CE H,USDINR18OCT71CE L,USDINR18OCT71CE C,USDINR18OCT71CE V
9/14/2018 4:59:00 PM,1.52,1.52,1.52,1.52,0
9/14/2018 4:58:00 PM,1.52,1.52,1.52,1.52,0
9/14/2018 4:57:00 PM,1.52,1.52,1.52,1.52,0
9/14/2018 4:56:00 PM,1.52,1.52,1.52,1.52,0
9/14/2018 4:55:00 PM,1.52,1.52,1.52,1.52,0
9/14/2018 4:54:00 PM,1.52,1.52,1.52,1.52,0
9/14/2018 4:53:00 PM,1.52,1.52,1.52,1.52,0
9/14/2018 4:52:00 PM,1.52,1.52,1.52,1.52,0
9/14/2018 4:51:00 PM,1.52,1.52,1.52,1.52,0
9/14/2018 4:50:00 PM,1.52,1.52,1.52,1.52,0
9/14/2018 4:49:00 PM,1.52,1.52,1.52,1.52,4
9/14/2018 4:48:00 PM,1.52,1.52,1.52,1.52,0
9/14/2018 4:47:00 PM,1.48,1.52,1.48,1.52,1
9/14/2018 4:46:00 PM,1.48,1.48,1.48,1.48,0
9/14/2018 4:45:00 PM,1.48,1.48,1.48,1.48,0
9/14/2018 4:44:00 PM,1.48,1.48,1.48,1.48,0
9/14/2018 4:43:00 PM,1.48,1.48,1.48,1.48,0
9/14/2018 4:42:00 PM,1.48,1.48,1.48,1.48,0
9/14/2018 4:41:00 PM,1.48,1.48,1.48,1.48,0
9/14/2018 4:40:00 PM,1.48,1.48,1.48,1.48,0
9/14/2018 4:39:00 PM,1.48,1.48,1.48,1.48,0
9/14/2018 4:38:00 PM,1.48,1.48,1.48,1.48,0
9/14/2018 4:37:00 PM,1.48,1.48,1.48,1.48,0
9/14/2018 4:36:00 PM,1.48,1.48,1.48,1.48,0
9/14/2018 4:35:00 PM,1.48,1.48,1.48,1.48,0
9/14/2018 4:34:00 PM,1.48,1.48,1.48,1.48,0
9/14/2018 4:33:00 PM,1.48,1.48,1.48,1.48,0
9/14/2018 4:32:00 PM,1.48,1.48,1.48,1.48,0
9/14/2018 4:31:00 PM,1.48,1.48,1.48,1.48,0
9/14/2018 4:30:00 PM,1.48,1.48,1.48,1.48,0
9/14/2018 4:29:00 PM,1.48,1.48,1.48,1.48,0
9/14/2018 4:28:00 PM,1.48,1.48,1.48,1.48,0
9/14/2018 4:27:00 PM,1.48,1.48,1.48,1.48,2
9/14/2018 4:26:00 PM,1.46,1.46,1.46,1.46,0
9/14/2018 4:25:00 PM,1.46,1.46,1.46,1.46,0
9/14/2018 4:24:00 PM,1.46,1.46,1.46,1.46,0
9/14/2018 4:23:00 PM,1.51,1.51,1.46,1.46,80
9/14/2018 4:22:00 PM,1.46,1.51,1.46,1.51,6
9/14/2018 4:21:00 PM,1.615,1.615,1.46,1.46,6
9/14/2018 4:20:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 4:19:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 4:18:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 4:17:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 4:16:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 4:15:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 4:14:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 4:13:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 4:12:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 4:11:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 4:10:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 4:09:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 4:08:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 4:07:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 4:06:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 4:05:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 4:04:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 4:03:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 4:02:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 4:01:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 4:00:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 3:59:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 3:58:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 3:57:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 3:56:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 3:55:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 3:54:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 3:53:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 3:52:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 3:51:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 3:50:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 3:49:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 3:48:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 3:47:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 3:46:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 3:45:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 3:44:00 PM,1.615,1.615,1.615,1.615,0
9/14/2018 3:43:00 PM,1.5725,1.615,1.5725,1.615,4
9/14/2018 3:42:00 PM,1.625,1.625,1.5725,1.5725,4
9/14/2018 3:41:00 PM,1.6,1.625,1.575,1.625,4
9/14/2018 3:40:00 PM,1.5575,1.6,1.5575,1.6,1
9/14/2018 3:39:00 PM,1.5575,1.5575,1.5575,1.5575,0
9/14/2018 3:38:00 PM,1.5575,1.5575,1.5575,1.5575,0
9/14/2018 3:37:00 PM,1.5575,1.5575,1.5575,1.5575,0
9/14/2018 3:36:00 PM,1.5575,1.5575,1.5575,1.5575,0
9/14/2018 3:35:00 PM,1.5575,1.5575,1.5575,1.5575,0
9/14/2018 3:34:00 PM,1.5575,1.5575,1.5575,1.5575,0
9/14/2018 3:33:00 PM,1.5575,1.5575,1.5575,1.5575,0
9/14/2018 3:32:00 PM,1.5575,1.5575,1.5575,1.5575,0
9/14/2018 3:31:00 PM,1.5575,1.5575,1.5575,1.5575,0
9/14/2018 3:30:00 PM,1.5575,1.5575,1.5575,1.5575,0
9/14/2018 3:29:00 PM,1.5575,1.5575,1.5575,1.5575,0
9/14/2018 3:28:00 PM,1.5575,1.5575,1.5575,1.5575,0
9/14/2018 3:27:00 PM,1.55,1.5575,1.55,1.5575,2
9/14/2018 3:26:00 PM,1.43,1.55,1.43,1.55,10
9/14/2018 3:25:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:24:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:23:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:22:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:21:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:20:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:19:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:18:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:17:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:16:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:15:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:14:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:13:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:12:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:11:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:10:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:09:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:08:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:07:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:06:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:05:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:04:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:03:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:02:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:01:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 3:00:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 2:59:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 2:58:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 2:57:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 2:56:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 2:55:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 2:54:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 2:53:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 2:52:00 PM,1.43,1.43,1.43,1.43,0
9/14/2018 2:51:00 PM,1.44,1.44,1.43,1.43,5
9/14/2018 2:50:00 PM,1.4075,1.44,1.4075,1.44,1
9/14/2018 2:49:00 PM,1.4075,1.4075,1.4075,1.4075,0
9/14/2018 2:48:00 PM,1.4075,1.4075,1.4075,1.4075,0
9/14/2018 2:47:00 PM,1.4075,1.4075,1.4075,1.4075,0
9/14/2018 2:46:00 PM,1.42,1.42,1.4075,1.4075,1
9/14/2018 2:45:00 PM,1.41,1.42,1.41,1.42,2
9/14/2018 2:44:00 PM,1.41,1.41,1.41,1.41,0
9/14/2018 2:43:00 PM,1.4025,1.41,1.4025,1.41,2
9/14/2018 2:42:00 PM,1.4,1.4025,1.4,1.4025,6
9/14/2018 2:41:00 PM,1.4,1.4,1.4,1.4,0
9/14/2018 2:40:00 PM,1.4,1.4,1.4,1.4,0
9/14/2018 2:39:00 PM,1.4,1.4,1.4,1.4,0
9/14/2018 2:38:00 PM,1.42,1.42,1.4,1.4,4
9/14/2018 2:37:00 PM,1.42,1.42,1.42,1.42,0
9/14/2018 2:36:00 PM,1.42,1.42,1.42,1.42,0
9/14/2018 2:35:00 PM,1.42,1.42,1.42,1.42,0
9/14/2018 2:34:00 PM,1.42,1.42,1.42,1.42,0
9/14/2018 2:33:00 PM,1.42,1.42,1.42,1.42,0
9/14/2018 2:32:00 PM,1.42,1.42,1.42,1.42,0
9/14/2018 2:31:00 PM,1.42,1.42,1.42,1.42,0
9/14/2018 2:30:00 PM,1.42,1.42,1.42,1.42,0
9/14/2018 2:29:00 PM,1.42,1.42,1.42,1.42,0
9/14/2018 2:28:00 PM,1.42,1.42,1.42,1.42,0
9/14/2018 2:27:00 PM,1.42,1.42,1.42,1.42,0
9/14/2018 2:26:00 PM,1.42,1.42,1.42,1.42,0
9/14/2018 2:25:00 PM,1.44,1.44,1.42,1.42,10
9/14/2018 2:24:00 PM,1.44,1.44,1.44,1.44,0
9/14/2018 2:23:00 PM,1.44,1.44,1.44,1.44,0
9/14/2018 2:22:00 PM,1.44,1.44,1.44,1.44,0
9/14/2018 2:21:00 PM,1.44,1.44,1.44,1.44,0
9/14/2018 2:20:00 PM,1.44,1.44,1.44,1.44,0
9/14/2018 2:19:00 PM,1.44,1.44,1.44,1.44,0
9/14/2018 2:18:00 PM,1.44,1.44,1.44,1.44,0
9/14/2018 2:17:00 PM,1.44,1.44,1.44,1.44,0
9/14/2018 2:16:00 PM,1.44,1.44,1.44,1.44,0
9/14/2018 2:15:00 PM,1.44,1.44,1.44,1.44,0
9/14/2018 2:14:00 PM,1.44,1.44,1.44,1.44,0
9/14/2018 2:13:00 PM,1.44,1.44,1.44,1.44,0
9/14/2018 2:12:00 PM,1.44,1.44,1.44,1.44,0
9/14/2018 2:11:00 PM,1.44,1.44,1.44,1.44,0
9/14/2018 2:10:00 PM,1.44,1.44,1.44,1.44,0
