Date,JPYINR18SEPFUT O,JPYINR18SEPFUT H,JPYINR18SEPFUT L,JPYINR18SEPFUT C,JPYINR18SEPFUT V
9/14/2018 3:31:00 PM,64.4525,64.48,64.4525,64.475,417
9/14/2018 3:30:00 PM,64.435,64.4525,64.4325,64.4525,176
9/14/2018 3:29:00 PM,64.4325,64.435,64.4275,64.435,95
9/14/2018 3:28:00 PM,64.4325,64.4425,64.4325,64.4325,185
9/14/2018 3:27:00 PM,64.4225,64.435,64.4225,64.4325,166
9/14/2018 3:26:00 PM,64.43,64.4375,64.4225,64.4225,519
9/14/2018 3:25:00 PM,64.405,64.43,64.4025,64.43,196
9/14/2018 3:24:00 PM,64.355,64.4075,64.355,64.405,221
9/14/2018 3:23:00 PM,64.36,64.36,64.355,64.355,5
9/14/2018 3:22:00 PM,64.36,64.36,64.36,64.36,0
9/14/2018 3:21:00 PM,64.345,64.36,64.345,64.36,41
9/14/2018 3:20:00 PM,64.345,64.345,64.345,64.345,30
9/14/2018 3:19:00 PM,64.345,64.35,64.345,64.345,50
9/14/2018 3:18:00 PM,64.345,64.345,64.345,64.345,0
9/14/2018 3:17:00 PM,64.3425,64.35,64.3425,64.345,108
9/14/2018 3:16:00 PM,64.35,64.35,64.3425,64.3425,47
9/14/2018 3:15:00 PM,64.3525,64.36,64.35,64.35,6
9/14/2018 3:14:00 PM,64.355,64.36,64.355,64.355,31
9/14/2018 3:13:00 PM,64.35,64.36,64.35,64.355,22
9/14/2018 3:12:00 PM,64.3425,64.36,64.3425,64.35,34
9/14/2018 3:11:00 PM,64.3425,64.35,64.3425,64.3425,56
9/14/2018 3:10:00 PM,64.33,64.3425,64.33,64.3425,18
9/14/2018 3:09:00 PM,64.3425,64.3425,64.33,64.33,78
9/14/2018 3:08:00 PM,64.3525,64.3525,64.34,64.3425,56
9/14/2018 3:07:00 PM,64.3675,64.3675,64.3525,64.3525,29
9/14/2018 3:06:00 PM,64.3325,64.3725,64.3325,64.3675,235
9/14/2018 3:05:00 PM,64.34,64.34,64.33,64.3325,42
9/14/2018 3:04:00 PM,64.3175,64.34,64.3175,64.34,12
9/14/2018 3:03:00 PM,64.32,64.32,64.3175,64.3175,3
9/14/2018 3:02:00 PM,64.3275,64.3275,64.32,64.32,1
9/14/2018 3:01:00 PM,64.3325,64.3375,64.3275,64.3275,28
9/14/2018 3:00:00 PM,64.3425,64.3425,64.33,64.3325,54
9/14/2018 2:59:00 PM,64.315,64.3425,64.315,64.3425,82
9/14/2018 2:58:00 PM,64.315,64.3175,64.315,64.315,18
9/14/2018 2:57:00 PM,64.295,64.315,64.295,64.315,59
9/14/2018 2:56:00 PM,64.3,64.3,64.295,64.295,44
9/14/2018 2:55:00 PM,64.3,64.3075,64.3,64.3,12
9/14/2018 2:54:00 PM,64.3,64.3,64.2925,64.3,5
9/14/2018 2:53:00 PM,64.3025,64.3025,64.3,64.3,10
9/14/2018 2:52:00 PM,64.3,64.305,64.2925,64.3025,70
9/14/2018 2:51:00 PM,64.2975,64.3,64.29,64.3,91
9/14/2018 2:50:00 PM,64.28,64.2975,64.28,64.2975,116
9/14/2018 2:49:00 PM,64.28,64.28,64.27,64.28,18
9/14/2018 2:48:00 PM,64.28,64.28,64.28,64.28,0
9/14/2018 2:47:00 PM,64.28,64.28,64.28,64.28,0
9/14/2018 2:46:00 PM,64.2725,64.28,64.2725,64.28,17
9/14/2018 2:45:00 PM,64.29,64.29,64.2725,64.2725,36
9/14/2018 2:44:00 PM,64.27,64.2925,64.27,64.29,48
9/14/2018 2:43:00 PM,64.27,64.27,64.27,64.27,0
9/14/2018 2:42:00 PM,64.27,64.27,64.27,64.27,19
9/14/2018 2:41:00 PM,64.2625,64.27,64.2625,64.27,12
9/14/2018 2:40:00 PM,64.26,64.2675,64.26,64.26,11
9/14/2018 2:39:00 PM,64.255,64.26,64.255,64.26,1
9/14/2018 2:38:00 PM,64.2475,64.255,64.2475,64.255,110
9/14/2018 2:37:00 PM,64.2475,64.2475,64.2475,64.2475,6
9/14/2018 2:36:00 PM,64.24,64.2475,64.24,64.2475,15
