Date,UPL-EQ O,UPL-EQ H,UPL-EQ L,UPL-EQ C,UPL-EQ V
9/14/2018 2:08:00 PM,734.8,734.9,734.15,734.15,9314
9/14/2018 2:07:00 PM,734.6,734.9,734.5,734.9,7001
9/14/2018 2:06:00 PM,734.3,734.9,734.25,734.6,4539
9/14/2018 2:05:00 PM,735.4,735.45,733.65,734.2,11245
9/14/2018 2:04:00 PM,736.25,736.45,735.1,735.4,11816
9/14/2018 2:03:00 PM,735.95,736.5,735.95,736.45,34698
9/14/2018 2:02:00 PM,735.5,736,735.5,735.9,4695
9/14/2018 2:01:00 PM,735.2,735.6,735.05,735.4,3048
9/14/2018 2:00:00 PM,735.4,735.5,735,735.05,4418
9/14/2018 1:59:00 PM,735.9,736,735.5,735.5,7915
9/14/2018 1:58:00 PM,735.8,735.95,735.8,735.9,2187
9/14/2018 1:57:00 PM,735.65,735.95,735.55,735.8,5249
9/14/2018 1:56:00 PM,735.8,735.9,735.65,735.75,4363
9/14/2018 1:55:00 PM,735.65,736,735.4,735.75,4276
9/14/2018 1:54:00 PM,735.35,735.85,735.35,735.65,5138
9/14/2018 1:53:00 PM,735.35,735.5,735.1,735.35,1745
9/14/2018 1:52:00 PM,735.4,735.5,735.3,735.35,1862
9/14/2018 1:51:00 PM,735.5,735.5,735.4,735.5,2950
9/14/2018 1:50:00 PM,735.45,735.8,735.45,735.45,1921
9/14/2018 1:49:00 PM,735.5,735.75,735.4,735.45,4425
9/14/2018 1:48:00 PM,735.45,735.5,735.35,735.35,2133
9/14/2018 1:47:00 PM,735.25,735.5,735.25,735.45,2410
9/14/2018 1:46:00 PM,735.05,735.4,734.7,735,6291
9/14/2018 1:45:00 PM,735.2,735.25,735.05,735.05,3685
9/14/2018 1:44:00 PM,734.85,735.3,734.75,735.15,2264
9/14/2018 1:43:00 PM,735,735,734.5,734.7,1947
9/14/2018 1:42:00 PM,735.4,735.6,734.75,734.95,4055
9/14/2018 1:41:00 PM,735.2,735.2,735,735.1,3054
9/14/2018 1:40:00 PM,735.35,735.5,735,735,3864
9/14/2018 1:39:00 PM,735.2,735.5,735.2,735.35,1848
9/14/2018 1:38:00 PM,735.25,735.5,735.2,735.25,4318
9/14/2018 1:37:00 PM,735.5,735.55,735.2,735.25,1858
9/14/2018 1:36:00 PM,735.05,736,735.05,735.5,10701
9/14/2018 1:35:00 PM,735,735.3,734.9,735.3,1283
9/14/2018 1:34:00 PM,734.9,735.15,734.8,735,3002
9/14/2018 1:33:00 PM,734.6,734.9,734.6,734.9,993
9/14/2018 1:32:00 PM,734.55,734.9,734.5,734.6,1844
9/14/2018 1:31:00 PM,734.55,734.65,734.5,734.55,2171
9/14/2018 1:30:00 PM,734.4,735,734.4,734.55,3796
9/14/2018 1:29:00 PM,735.2,735.25,734.4,734.4,3705
9/14/2018 1:28:00 PM,734.5,734.7,734,734.7,4986
9/14/2018 1:27:00 PM,735.75,735.8,734.4,734.4,4211
9/14/2018 1:26:00 PM,736,736,735.6,735.65,8038
9/14/2018 1:25:00 PM,735.5,735.95,735.35,735.95,9632
9/14/2018 1:24:00 PM,734.95,735.35,734.7,735.35,9618
9/14/2018 1:23:00 PM,735.4,735.4,734.45,734.85,7695
9/14/2018 1:22:00 PM,734.8,735.35,734.8,735.15,2936
9/14/2018 1:21:00 PM,735,735,734.4,734.8,2678
9/14/2018 1:20:00 PM,735.35,735.5,734.85,735,6018
9/14/2018 1:19:00 PM,734.85,735.5,734.8,735.35,5609
9/14/2018 1:18:00 PM,735,735,734.5,734.85,6723
9/14/2018 1:17:00 PM,735.25,735.25,734.85,734.85,4762
9/14/2018 1:16:00 PM,735.35,735.35,735,735.1,6663
9/14/2018 1:15:00 PM,735.95,736,735,735.15,13479
9/14/2018 1:14:00 PM,735.15,736,735.15,736,49012
9/14/2018 1:13:00 PM,735.25,735.3,734.95,735.15,8518
9/14/2018 1:12:00 PM,735.2,735.45,735,735.2,4863
9/14/2018 1:11:00 PM,734.6,735.5,734.6,735.3,51875
9/14/2018 1:10:00 PM,734.85,734.9,734.5,734.6,3749
9/14/2018 1:09:00 PM,734.4,735,734.35,734.85,15389
9/14/2018 1:08:00 PM,734.4,734.75,734.35,734.35,4538
9/14/2018 1:07:00 PM,734.4,734.65,733.95,734.5,1590
9/14/2018 1:06:00 PM,734.45,734.95,734,734.4,3746
9/14/2018 1:05:00 PM,733.95,735,733.7,733.75,26523
9/14/2018 1:04:00 PM,733.95,734,733.4,733.95,3826
9/14/2018 1:03:00 PM,733.2,734.1,733,733.6,14486
9/14/2018 1:02:00 PM,733.55,733.65,733,733.05,5186
9/14/2018 1:01:00 PM,732.9,733.55,732.9,733.5,11716
9/14/2018 1:00:00 PM,732.6,733,732.55,732.9,3802
9/14/2018 12:59:00 PM,733.3,733.5,732.6,732.6,12655
9/14/2018 12:58:00 PM,733.35,733.55,733,733.1,3864
9/14/2018 12:57:00 PM,733.4,733.85,733.15,733.35,5192
9/14/2018 12:56:00 PM,733.95,733.95,733.2,733.9,18129
9/14/2018 12:55:00 PM,733.8,734.1,733.8,733.9,9638
9/14/2018 12:54:00 PM,733.9,734.05,733.7,733.8,3516
9/14/2018 12:53:00 PM,733.9,734.05,733.7,733.7,2192
9/14/2018 12:52:00 PM,733.6,734,733.6,733.7,1701
9/14/2018 12:51:00 PM,734.15,734.15,733.3,733.6,4229
9/14/2018 12:50:00 PM,733.7,734.3,733.65,734.1,3222
9/14/2018 12:49:00 PM,733.45,733.8,733.4,733.7,1613
9/14/2018 12:48:00 PM,733.3,733.65,733.3,733.45,4599
9/14/2018 12:47:00 PM,733.7,733.75,733.3,733.35,4876
9/14/2018 12:46:00 PM,734.2,734.45,733.3,733.45,6599
9/14/2018 12:45:00 PM,733.95,734.7,733.25,734.25,18238
9/14/2018 12:44:00 PM,733.55,733.95,733.1,733.95,8607
9/14/2018 12:43:00 PM,733.95,734,733.55,733.55,4972
9/14/2018 12:42:00 PM,733.75,733.8,733.6,733.75,3191
9/14/2018 12:41:00 PM,733.55,733.75,733.35,733.4,2865
9/14/2018 12:40:00 PM,733.55,733.8,733.55,733.55,2139
9/14/2018 12:39:00 PM,733.55,733.9,733.55,733.55,2928
9/14/2018 12:38:00 PM,733.2,733.95,733.2,733.9,3030
9/14/2018 12:37:00 PM,733.55,733.6,733.1,733.6,3825
9/14/2018 12:36:00 PM,733.85,734,733.55,733.55,2865
9/14/2018 12:35:00 PM,733.65,733.95,733.35,733.8,1632
9/14/2018 12:34:00 PM,733.25,733.45,733.15,733.45,5051
9/14/2018 12:33:00 PM,733.45,733.45,733,733.25,4204
9/14/2018 12:32:00 PM,732.85,733.45,732.8,733.25,4210
9/14/2018 12:31:00 PM,733.75,733.75,732.8,732.85,14790
9/14/2018 12:30:00 PM,734,734,733.3,733.3,6444
9/14/2018 12:29:00 PM,733.9,734,733.7,734,2461
9/14/2018 12:28:00 PM,734.05,734.5,733.65,733.9,2998
9/14/2018 12:27:00 PM,734.3,734.6,734.05,734.05,3710
9/14/2018 12:26:00 PM,734.35,735,734.15,734.3,32849
9/14/2018 12:25:00 PM,734,734.5,734,734.35,2632
9/14/2018 12:24:00 PM,734.25,734.45,733.4,733.8,8548
9/14/2018 12:23:00 PM,734.1,734.5,734.1,734.3,4185
9/14/2018 12:22:00 PM,734.1,734.25,734.05,734.1,3615
9/14/2018 12:21:00 PM,734.2,734.3,734.1,734.1,2024
9/14/2018 12:20:00 PM,734.15,734.45,734,734.2,1484
9/14/2018 12:19:00 PM,733.35,734.45,733.35,733.95,4959
9/14/2018 12:18:00 PM,733.2,733.35,733,733.35,2686
9/14/2018 12:17:00 PM,733.6,734,733.05,733.05,8556
9/14/2018 12:16:00 PM,734.4,734.8,733.6,733.6,11984
9/14/2018 12:15:00 PM,734.25,734.4,733.75,734.4,6287
9/14/2018 12:14:00 PM,734.5,734.7,734,734.25,16554
9/14/2018 12:13:00 PM,733.2,734.5,733.2,734.5,33178
9/14/2018 12:12:00 PM,733.3,733.5,733.2,733.2,3191
9/14/2018 12:11:00 PM,733.45,733.55,733.1,733.3,2642
9/14/2018 12:10:00 PM,733.7,733.7,733.45,733.55,4519
9/14/2018 12:09:00 PM,733.4,734,733.4,733.7,6166
9/14/2018 12:08:00 PM,733.45,733.8,733.4,733.4,2527
9/14/2018 12:07:00 PM,733.9,733.9,733.45,733.7,10356
9/14/2018 12:06:00 PM,733.35,734,733.35,733.9,8890
9/14/2018 12:05:00 PM,733.25,733.5,733.05,733.35,4909
9/14/2018 12:04:00 PM,732.85,733.3,732.85,733.05,2536
9/14/2018 12:03:00 PM,733.1,733.2,732.85,732.85,2349
9/14/2018 12:02:00 PM,732.75,733.3,732.75,733.2,9478
9/14/2018 12:01:00 PM,732.6,733,732.55,732.75,3280
9/14/2018 12:00:00 PM,732.55,733,732.55,732.6,2707
9/14/2018 11:59:00 AM,732.9,733,732.55,732.55,4727
9/14/2018 11:58:00 AM,733,733.15,732.8,732.9,6759
9/14/2018 11:57:00 AM,733,733.25,732.5,732.5,7250
9/14/2018 11:56:00 AM,733,733.4,733,733,5614
9/14/2018 11:55:00 AM,733,733.3,732.9,733.2,2821
9/14/2018 11:54:00 AM,733.2,733.5,733,733,4953
9/14/2018 11:53:00 AM,732.8,733.8,732.8,733.2,5987
9/14/2018 11:52:00 AM,733.05,733.05,732.5,732.75,4745
9/14/2018 11:51:00 AM,733.6,733.65,732.5,732.7,6611
9/14/2018 11:50:00 AM,733,733.65,733,733.6,12265
9/14/2018 11:49:00 AM,732.6,733.45,732.45,732.65,12436
9/14/2018 11:48:00 AM,732.5,733.55,732.35,732.8,8058
9/14/2018 11:47:00 AM,732.55,733.7,732.25,732.5,9047
9/14/2018 11:46:00 AM,732.5,733.55,732.25,732.55,8419
9/14/2018 11:45:00 AM,732.3,734,732.3,732.6,25379
9/14/2018 11:44:00 AM,732.45,732.75,731.8,732.3,7118
9/14/2018 11:43:00 AM,732.45,732.9,732,732.45,4366
9/14/2018 11:42:00 AM,731.65,732.75,731.65,732.45,13831
9/14/2018 11:41:00 AM,731.75,731.95,731.35,731.65,7535
9/14/2018 11:40:00 AM,731.75,732.4,731.75,731.75,9462
9/14/2018 11:39:00 AM,732.95,732.95,731.05,731.75,12370
9/14/2018 11:38:00 AM,732.4,733,732.4,732.95,9106
9/14/2018 11:37:00 AM,733,733,731.6,732.4,22521
9/14/2018 11:36:00 AM,733.15,733.5,732.75,733,9960
9/14/2018 11:35:00 AM,733.7,734,733.55,733.6,7320
9/14/2018 11:34:00 AM,733.95,734,733.5,733.7,4777
9/14/2018 11:33:00 AM,734.15,734.9,733.5,733.95,20465
9/14/2018 11:32:00 AM,733.5,734.4,733.4,734.15,22028
9/14/2018 11:31:00 AM,733.5,733.5,732.8,733.25,7060
9/14/2018 11:30:00 AM,732.8,733.8,732.8,733.25,6210
9/14/2018 11:29:00 AM,733,733,732.3,732.8,11679
9/14/2018 11:28:00 AM,733.35,733.35,732.55,732.75,10139
9/14/2018 11:27:00 AM,734.1,734.1,733,733.35,3838
9/14/2018 11:26:00 AM,733.25,734.2,733.1,734.1,27625
9/14/2018 11:25:00 AM,731.85,733.25,731.85,733.05,13744
9/14/2018 11:24:00 AM,732.25,732.25,731.8,731.85,4324
9/14/2018 11:23:00 AM,732.25,732.45,732.15,732.15,1774
