Date,USDINR18SEP71.5CE O,USDINR18SEP71.5CE H,USDINR18SEP71.5CE L,USDINR18SEP71.5CE C,USDINR18SEP71.5CE V
9/14/2018 4:59:00 PM,0.6975,0.6975,0.6975,0.6975,0
9/14/2018 4:58:00 PM,0.6975,0.6975,0.6975,0.6975,121
9/14/2018 4:57:00 PM,0.6975,0.6975,0.6975,0.6975,56
9/14/2018 4:56:00 PM,0.6975,0.6975,0.6975,0.6975,0
9/14/2018 4:55:00 PM,0.6975,0.6975,0.6975,0.6975,65
9/14/2018 4:54:00 PM,0.695,0.6975,0.695,0.6975,1
9/14/2018 4:53:00 PM,0.715,0.715,0.695,0.695,163
9/14/2018 4:52:00 PM,0.715,0.715,0.715,0.715,0
9/14/2018 4:51:00 PM,0.715,0.715,0.715,0.715,0
9/14/2018 4:50:00 PM,0.715,0.715,0.715,0.715,30
9/14/2018 4:49:00 PM,0.695,0.715,0.695,0.715,60
9/14/2018 4:48:00 PM,0.695,0.695,0.695,0.695,0
9/14/2018 4:47:00 PM,0.695,0.695,0.695,0.695,0
9/14/2018 4:46:00 PM,0.695,0.695,0.695,0.695,0
9/14/2018 4:45:00 PM,0.6725,0.695,0.6725,0.695,1
9/14/2018 4:44:00 PM,0.6725,0.6725,0.6725,0.6725,0
9/14/2018 4:43:00 PM,0.6725,0.6725,0.6725,0.6725,0
9/14/2018 4:42:00 PM,0.6725,0.6725,0.6725,0.6725,0
9/14/2018 4:41:00 PM,0.6675,0.675,0.6675,0.6725,31
9/14/2018 4:40:00 PM,0.6625,0.6675,0.6625,0.6675,10
9/14/2018 4:39:00 PM,0.665,0.665,0.6625,0.6625,50
9/14/2018 4:38:00 PM,0.665,0.665,0.665,0.665,0
9/14/2018 4:37:00 PM,0.665,0.665,0.665,0.665,0
9/14/2018 4:36:00 PM,0.665,0.665,0.665,0.665,0
9/14/2018 4:35:00 PM,0.665,0.665,0.665,0.665,0
9/14/2018 4:34:00 PM,0.665,0.665,0.665,0.665,0
9/14/2018 4:33:00 PM,0.665,0.665,0.665,0.665,0
9/14/2018 4:32:00 PM,0.66,0.665,0.66,0.665,58
9/14/2018 4:31:00 PM,0.66,0.66,0.66,0.66,0
9/14/2018 4:30:00 PM,0.66,0.66,0.66,0.66,0
9/14/2018 4:29:00 PM,0.66,0.66,0.66,0.66,0
9/14/2018 4:28:00 PM,0.66,0.66,0.66,0.66,0
9/14/2018 4:27:00 PM,0.685,0.685,0.66,0.66,70
9/14/2018 4:26:00 PM,0.6725,0.685,0.6725,0.685,20
9/14/2018 4:25:00 PM,0.68,0.68,0.6725,0.6725,130
9/14/2018 4:24:00 PM,0.68,0.68,0.68,0.68,0
9/14/2018 4:23:00 PM,0.67,0.68,0.665,0.68,335
9/14/2018 4:22:00 PM,0.6775,0.6775,0.67,0.67,7
9/14/2018 4:21:00 PM,0.6875,0.6875,0.6725,0.6775,292
