Date,USDINR18SEP72CE O,USDINR18SEP72CE H,USDINR18SEP72CE L,USDINR18SEP72CE C,USDINR18SEP72CE V
9/14/2018 4:59:00 PM,0.405,0.405,0.4025,0.405,868
9/14/2018 4:58:00 PM,0.4075,0.41,0.405,0.405,1017
9/14/2018 4:57:00 PM,0.41,0.41,0.4075,0.4075,505
9/14/2018 4:56:00 PM,0.4075,0.4125,0.4075,0.41,246
9/14/2018 4:55:00 PM,0.405,0.41,0.405,0.4075,911
9/14/2018 4:54:00 PM,0.41,0.41,0.405,0.405,286
9/14/2018 4:53:00 PM,0.4125,0.4125,0.41,0.41,838
9/14/2018 4:52:00 PM,0.41,0.4125,0.41,0.4125,331
9/14/2018 4:51:00 PM,0.415,0.415,0.41,0.41,1055
9/14/2018 4:50:00 PM,0.42,0.4225,0.415,0.415,1293
9/14/2018 4:49:00 PM,0.4175,0.425,0.4175,0.42,1036
9/14/2018 4:48:00 PM,0.42,0.42,0.415,0.4175,544
9/14/2018 4:47:00 PM,0.41,0.42,0.41,0.42,1528
9/14/2018 4:46:00 PM,0.405,0.41,0.405,0.41,2678
9/14/2018 4:45:00 PM,0.4075,0.4075,0.405,0.405,404
9/14/2018 4:44:00 PM,0.405,0.4075,0.405,0.4075,180
9/14/2018 4:43:00 PM,0.395,0.405,0.395,0.405,344
9/14/2018 4:42:00 PM,0.395,0.4025,0.395,0.4025,1220
9/14/2018 4:41:00 PM,0.3875,0.395,0.3875,0.395,41
9/14/2018 4:40:00 PM,0.385,0.3875,0.385,0.3875,7
9/14/2018 4:39:00 PM,0.385,0.3875,0.385,0.385,1028
9/14/2018 4:38:00 PM,0.385,0.385,0.38,0.385,330
9/14/2018 4:37:00 PM,0.385,0.3875,0.385,0.385,1013
9/14/2018 4:36:00 PM,0.3825,0.385,0.38,0.385,190
9/14/2018 4:35:00 PM,0.39,0.39,0.3825,0.3825,184
9/14/2018 4:34:00 PM,0.3825,0.39,0.3825,0.39,40
9/14/2018 4:33:00 PM,0.3875,0.3925,0.3825,0.3825,175
9/14/2018 4:32:00 PM,0.39,0.3925,0.385,0.3875,181
9/14/2018 4:31:00 PM,0.39,0.3975,0.39,0.39,1075
9/14/2018 4:30:00 PM,0.3825,0.39,0.3825,0.39,362
9/14/2018 4:29:00 PM,0.3775,0.385,0.3725,0.3825,1449
9/14/2018 4:28:00 PM,0.38,0.38,0.37,0.3775,1444
9/14/2018 4:27:00 PM,0.4,0.4,0.3775,0.38,1102
9/14/2018 4:26:00 PM,0.395,0.405,0.395,0.4,1005
9/14/2018 4:25:00 PM,0.4,0.4,0.39,0.395,797
9/14/2018 4:24:00 PM,0.395,0.4,0.395,0.4,1693
9/14/2018 4:23:00 PM,0.3875,0.395,0.3875,0.395,2136
9/14/2018 4:22:00 PM,0.395,0.395,0.385,0.385,419
9/14/2018 4:21:00 PM,0.3975,0.4,0.395,0.395,160
9/14/2018 4:20:00 PM,0.395,0.405,0.395,0.3975,222
9/14/2018 4:19:00 PM,0.405,0.405,0.395,0.395,380
9/14/2018 4:18:00 PM,0.4175,0.4175,0.385,0.405,1845
9/14/2018 4:17:00 PM,0.4175,0.42,0.4175,0.4175,50
9/14/2018 4:16:00 PM,0.43,0.43,0.4175,0.4175,252
9/14/2018 4:15:00 PM,0.435,0.435,0.43,0.43,308
9/14/2018 4:14:00 PM,0.44,0.44,0.435,0.435,1928
9/14/2018 4:13:00 PM,0.445,0.445,0.44,0.44,2252
9/14/2018 4:12:00 PM,0.44,0.445,0.4375,0.445,1743
9/14/2018 4:11:00 PM,0.425,0.44,0.425,0.44,485
9/14/2018 4:10:00 PM,0.425,0.425,0.425,0.425,90
9/14/2018 4:09:00 PM,0.4225,0.4275,0.4225,0.425,120
9/14/2018 4:08:00 PM,0.425,0.425,0.4225,0.4225,1198
9/14/2018 4:07:00 PM,0.43,0.435,0.425,0.425,387
9/14/2018 4:06:00 PM,0.4375,0.4375,0.43,0.43,60
9/14/2018 4:05:00 PM,0.435,0.44,0.435,0.4375,948
9/14/2018 4:04:00 PM,0.435,0.435,0.4325,0.435,28
9/14/2018 4:03:00 PM,0.43,0.435,0.43,0.435,4513
9/14/2018 4:02:00 PM,0.435,0.4375,0.43,0.43,3322
