Date,USDINR18OCT73PE O,USDINR18OCT73PE H,USDINR18OCT73PE L,USDINR18OCT73PE C,USDINR18OCT73PE V
9/14/2018 12:44:00 PM,1.3525,1.3525,1.3525,1.3525,0
9/14/2018 12:43:00 PM,1.3525,1.3525,1.3525,1.3525,0
9/14/2018 12:42:00 PM,1.3525,1.3525,1.3525,1.3525,0
9/14/2018 12:41:00 PM,1.3525,1.3525,1.3525,1.3525,0
9/14/2018 12:40:00 PM,1.3525,1.3525,1.3525,1.3525,4
9/14/2018 12:39:00 PM,1.3525,1.3525,1.3525,1.3525,0
9/14/2018 12:38:00 PM,1.3525,1.3525,1.3525,1.3525,0
9/14/2018 12:37:00 PM,1.3525,1.3525,1.3525,1.3525,0
9/14/2018 12:36:00 PM,1.3525,1.3525,1.3525,1.3525,0
9/14/2018 12:35:00 PM,1.3525,1.3525,1.3525,1.3525,0
9/14/2018 12:34:00 PM,1.3525,1.3525,1.3525,1.3525,0
9/14/2018 12:33:00 PM,1.3525,1.3525,1.3525,1.3525,0
9/14/2018 12:32:00 PM,1.3525,1.3525,1.3525,1.3525,0
9/14/2018 12:31:00 PM,1.3525,1.3525,1.3525,1.3525,0
9/14/2018 12:30:00 PM,1.3525,1.3525,1.3525,1.3525,0
9/14/2018 12:29:00 PM,1.355,1.355,1.3525,1.3525,6
9/14/2018 12:28:00 PM,1.345,1.355,1.345,1.355,1
9/14/2018 12:27:00 PM,1.345,1.345,1.345,1.345,7
9/14/2018 12:26:00 PM,1.37,1.37,1.345,1.345,3
9/14/2018 12:25:00 PM,1.37,1.37,1.37,1.37,0
9/14/2018 12:24:00 PM,1.37,1.37,1.37,1.37,0
9/14/2018 12:23:00 PM,1.37,1.37,1.37,1.37,0
9/14/2018 12:22:00 PM,1.37,1.37,1.37,1.37,10
9/14/2018 12:21:00 PM,1.37,1.37,1.37,1.37,0
9/14/2018 12:20:00 PM,1.37,1.37,1.37,1.37,0
9/14/2018 12:19:00 PM,1.39,1.39,1.37,1.37,133
9/14/2018 12:18:00 PM,1.3725,1.39,1.3725,1.39,38
9/14/2018 12:17:00 PM,1.3725,1.3725,1.3725,1.3725,0
9/14/2018 12:16:00 PM,1.3725,1.3725,1.3725,1.3725,0
9/14/2018 12:15:00 PM,1.3725,1.3725,1.3725,1.3725,0
9/14/2018 12:14:00 PM,1.3725,1.3725,1.3725,1.3725,5
9/14/2018 12:13:00 PM,1.3725,1.3725,1.3725,1.3725,0
9/14/2018 12:12:00 PM,1.35,1.3725,1.35,1.3725,8
9/14/2018 12:11:00 PM,1.295,1.35,1.295,1.35,73
9/14/2018 12:10:00 PM,1.295,1.295,1.295,1.295,0
9/14/2018 12:09:00 PM,1.295,1.295,1.295,1.295,0
9/14/2018 12:08:00 PM,1.295,1.295,1.295,1.295,0
9/14/2018 12:07:00 PM,1.295,1.295,1.295,1.295,0
