Date,NIFTY18OCT11700CE O,NIFTY18OCT11700CE H,NIFTY18OCT11700CE L,NIFTY18OCT11700CE C,NIFTY18OCT11700CE V
9/14/2018 3:29:00 PM,127.65,128.4,125,125,4125
9/14/2018 3:28:00 PM,129.6,129.7,128.4,128.4,3525
9/14/2018 3:27:00 PM,130,130,129.55,129.6,1575
9/14/2018 3:26:00 PM,129.55,130.25,129.55,130,900
9/14/2018 3:25:00 PM,129.5,130,129.5,129.55,1725
9/14/2018 3:24:00 PM,129.9,130,129.4,129.5,600
9/14/2018 3:23:00 PM,129.25,130,129.25,129.9,1125
9/14/2018 3:22:00 PM,129.8,130,129.25,129.25,525
9/14/2018 3:21:00 PM,130.25,130.25,129.5,129.8,825
9/14/2018 3:20:00 PM,129.85,129.85,129.85,129.85,0
9/14/2018 3:19:00 PM,129.4,129.85,129.4,129.85,2175
9/14/2018 3:18:00 PM,129,129.5,129,129.5,1950
9/14/2018 3:17:00 PM,129,129.85,128.4,129,4050
9/14/2018 3:16:00 PM,129.7,129.7,127.5,129,3000
9/14/2018 3:15:00 PM,129.1,129.7,128.75,129.7,600
9/14/2018 3:14:00 PM,129.7,130,129.1,129.1,375
9/14/2018 3:13:00 PM,129.05,129.75,128.65,129.7,375
9/14/2018 3:12:00 PM,129.95,129.95,129,129.05,750
9/14/2018 3:11:00 PM,130.05,130.05,129.25,129.95,1575
9/14/2018 3:10:00 PM,128.6,130.3,128.6,130.05,600
9/14/2018 3:09:00 PM,130,130.85,129.8,129.8,300
9/14/2018 3:08:00 PM,130,131,129.8,130,1125
9/14/2018 3:07:00 PM,131.1,131.35,129.95,130,450
9/14/2018 3:06:00 PM,130,131.25,129.65,131.1,1500
9/14/2018 3:05:00 PM,130.15,130.15,128.8,128.8,300
9/14/2018 3:04:00 PM,132.25,132.55,130.15,130.15,5025
9/14/2018 3:03:00 PM,131.45,133.5,131,132.25,4650
9/14/2018 3:02:00 PM,129.4,131.45,128.15,131.45,4200
9/14/2018 3:01:00 PM,126.1,129.4,126.1,129.4,2025
9/14/2018 3:00:00 PM,121.5,126.4,121,126.1,4200
9/14/2018 2:59:00 PM,121.65,121.65,121.5,121.5,75
9/14/2018 2:58:00 PM,122.5,122.5,121.65,121.65,1650
9/14/2018 2:57:00 PM,122.3,122.8,122.3,122.5,2775
9/14/2018 2:56:00 PM,121.2,122.3,121.2,122.3,150
9/14/2018 2:55:00 PM,122.05,122.05,121.2,121.2,1050
9/14/2018 2:54:00 PM,121.5,122.55,121.5,122.05,1950
9/14/2018 2:53:00 PM,121.5,121.5,121.5,121.5,0
9/14/2018 2:52:00 PM,122.4,122.4,120.6,121.5,2775
9/14/2018 2:51:00 PM,122.4,122.4,122.4,122.4,0
9/14/2018 2:50:00 PM,122.3,122.4,122.3,122.4,300
9/14/2018 2:49:00 PM,122.1,122.3,122.1,122.3,150
9/14/2018 2:48:00 PM,122.1,122.1,122.1,122.1,0
9/14/2018 2:47:00 PM,122.1,122.1,122.1,122.1,0
9/14/2018 2:46:00 PM,122.1,122.1,122.1,122.1,0
9/14/2018 2:45:00 PM,121.7,122.1,121.7,122.1,300
9/14/2018 2:44:00 PM,121.95,121.95,121.7,121.7,75
9/14/2018 2:43:00 PM,122,122,121.9,121.95,150
9/14/2018 2:42:00 PM,121,122,121,122,600
9/14/2018 2:41:00 PM,119.85,121,119.85,121,300
9/14/2018 2:40:00 PM,119,119.85,119,119.85,75
9/14/2018 2:39:00 PM,120.5,120.5,118.45,119,150
9/14/2018 2:38:00 PM,120.5,120.5,120.5,120.5,0
9/14/2018 2:37:00 PM,120.5,120.5,120.5,120.5,0
9/14/2018 2:36:00 PM,120,121.2,120,120.5,2625
9/14/2018 2:35:00 PM,119.75,120.3,119.75,120,300
9/14/2018 2:34:00 PM,119.1,119.75,119.05,119.75,1275
9/14/2018 2:33:00 PM,120.9,120.9,119.1,119.1,375
9/14/2018 2:32:00 PM,120.05,120.9,120.05,120.9,150
9/14/2018 2:31:00 PM,118.65,120.05,118.65,120.05,600
9/14/2018 2:30:00 PM,118.9,118.9,118.65,118.65,75
9/14/2018 2:29:00 PM,118.9,118.9,118.9,118.9,0
9/14/2018 2:28:00 PM,120,120,118.8,118.9,150
9/14/2018 2:27:00 PM,120,120,120,120,0
9/14/2018 2:26:00 PM,120,120,120,120,0
9/14/2018 2:25:00 PM,119.55,120.35,119.55,120,675
9/14/2018 2:24:00 PM,121.7,121.7,118.55,119.55,150
9/14/2018 2:23:00 PM,121.7,121.7,121.7,121.7,0
9/14/2018 2:22:00 PM,121,121.7,120.8,121.7,975
9/14/2018 2:21:00 PM,121,121,121,121,0
9/14/2018 2:20:00 PM,120,121,120,121,675
9/14/2018 2:19:00 PM,121.65,122.35,120,120,1125
9/14/2018 2:18:00 PM,122,122,121.65,121.65,150
9/14/2018 2:17:00 PM,122,122,122,122,0
9/14/2018 2:16:00 PM,121.8,122,121.8,122,75
9/14/2018 2:15:00 PM,121.8,121.8,121.8,121.8,0
9/14/2018 2:14:00 PM,120.85,122,120.85,121.8,525
9/14/2018 2:13:00 PM,120.75,120.85,120.5,120.85,300
9/14/2018 2:12:00 PM,120.3,120.75,120.3,120.75,150
9/14/2018 2:11:00 PM,119,120.45,119,120.3,225
9/14/2018 2:10:00 PM,119,119,119,119,75
9/14/2018 2:09:00 PM,119,120,118.95,119,675
9/14/2018 2:08:00 PM,119.35,119.35,119,119,75
9/14/2018 2:07:00 PM,118.5,120.45,118.5,119.35,975
9/14/2018 2:06:00 PM,117.6,118.5,117.5,118.5,525
9/14/2018 2:05:00 PM,117.5,117.5,116.45,116.65,900
9/14/2018 2:04:00 PM,119.5,119.5,119.5,119.5,0
9/14/2018 2:03:00 PM,120.1,120.1,119.35,119.5,1725
9/14/2018 2:02:00 PM,119.3,121.25,119.3,120.1,225
9/14/2018 2:01:00 PM,119.2,120.05,119.2,119.3,300
9/14/2018 2:00:00 PM,121.3,121.9,119.2,119.2,2850
9/14/2018 1:59:00 PM,123,123,120.75,120.75,7725
9/14/2018 1:58:00 PM,123,123.5,123,123,675
9/14/2018 1:57:00 PM,123.8,123.8,123,123,300
9/14/2018 1:56:00 PM,123.35,123.8,123.35,123.8,225
9/14/2018 1:55:00 PM,123.35,123.35,123.35,123.35,0
9/14/2018 1:54:00 PM,123.45,124.45,123.35,123.35,525
9/14/2018 1:53:00 PM,123,123.45,122.2,123.45,600
9/14/2018 1:52:00 PM,123,123,123,123,0
9/14/2018 1:51:00 PM,122.45,123,122.45,123,75
9/14/2018 1:50:00 PM,122.35,124,122.35,122.45,1200
9/14/2018 1:49:00 PM,121.25,122.9,121.25,122.35,975
9/14/2018 1:48:00 PM,121.4,121.4,120.45,121.25,300
9/14/2018 1:47:00 PM,121.4,121.4,121.4,121.4,0
9/14/2018 1:46:00 PM,121,121.4,120.05,121.4,600
9/14/2018 1:45:00 PM,121.1,121.1,121,121,150
9/14/2018 1:44:00 PM,121.1,121.1,121.1,121.1,0
9/14/2018 1:43:00 PM,121.1,121.1,121.1,121.1,0
9/14/2018 1:42:00 PM,121.8,122,120.6,121.1,1350
9/14/2018 1:41:00 PM,122,122,121.8,121.8,225
9/14/2018 1:40:00 PM,121.2,122,121.2,122,150
9/14/2018 1:39:00 PM,121.2,121.2,121.2,121.2,0
9/14/2018 1:38:00 PM,121,122,121,121.2,750
9/14/2018 1:37:00 PM,119.85,121,119.85,121,225
9/14/2018 1:36:00 PM,119.4,119.4,119.4,119.4,0
9/14/2018 1:35:00 PM,119.4,119.4,119.4,119.4,0
9/14/2018 1:34:00 PM,119.4,119.4,119.4,119.4,0
9/14/2018 1:33:00 PM,117.95,119.4,117.95,119.4,75
9/14/2018 1:32:00 PM,118.8,119.85,117.95,117.95,3375
9/14/2018 1:31:00 PM,120.4,120.4,118,118.8,375
9/14/2018 1:30:00 PM,119.4,120.4,119.4,120.4,300
9/14/2018 1:29:00 PM,121,121,119.05,119.4,900
9/14/2018 1:28:00 PM,121.15,122.45,121,121,1200
9/14/2018 1:27:00 PM,121.35,121.35,120.9,120.9,225
9/14/2018 1:26:00 PM,120.9,121.35,120.9,121.35,75
9/14/2018 1:25:00 PM,120.35,121.4,120.35,120.9,450
9/14/2018 1:24:00 PM,120.35,120.35,120.35,120.35,0
9/14/2018 1:23:00 PM,120.5,120.5,120,120.35,300
9/14/2018 1:22:00 PM,119,120,118,120,15750
9/14/2018 1:21:00 PM,120.05,120.2,119,119,600
