Date,NIFTY18SEP11500PE O,NIFTY18SEP11500PE H,NIFTY18SEP11500PE L,NIFTY18SEP11500PE C,NIFTY18SEP11500PE V
9/14/2018 3:29:00 PM,84,87.35,83.95,87,104325
9/14/2018 3:28:00 PM,82.3,83.9,82.15,83.9,62475
9/14/2018 3:27:00 PM,81.15,82.45,81,82.3,80400
9/14/2018 3:26:00 PM,80.6,81.3,80.15,81.05,68850
9/14/2018 3:25:00 PM,80.8,81.5,80.5,80.5,53400
9/14/2018 3:24:00 PM,81.1,81.4,80.9,80.9,39750
9/14/2018 3:23:00 PM,81.5,81.8,80.95,81,55875
9/14/2018 3:22:00 PM,80.4,81.85,80.4,81.55,43275
9/14/2018 3:21:00 PM,80.7,81,80.15,80.4,55425
9/14/2018 3:20:00 PM,79.3,80.7,79.3,80.7,56100
9/14/2018 3:19:00 PM,79.05,80,79.05,79.35,58650
9/14/2018 3:18:00 PM,80,80.15,79.1,79.3,61125
9/14/2018 3:17:00 PM,80.05,80.9,79.95,80,56850
9/14/2018 3:16:00 PM,81,81.35,79.8,79.95,79350
9/14/2018 3:15:00 PM,80.2,80.95,80.2,80.95,43950
9/14/2018 3:14:00 PM,80.75,81,80.15,80.3,47700
9/14/2018 3:13:00 PM,81.45,81.45,80.6,80.75,32700
9/14/2018 3:12:00 PM,80.55,81.5,80.3,81.45,46725
9/14/2018 3:11:00 PM,80.55,81.5,80.55,80.55,47475
9/14/2018 3:10:00 PM,81.4,81.45,80.05,80.7,59700
9/14/2018 3:09:00 PM,79.45,81.6,79.35,81.5,50550
9/14/2018 3:08:00 PM,79.65,80,78.5,79.35,55125
9/14/2018 3:07:00 PM,78.7,80.5,78.55,79.75,57675
9/14/2018 3:06:00 PM,79.5,80.6,78.75,78.75,64350
9/14/2018 3:05:00 PM,79.1,80.55,79.1,79.75,61200
9/14/2018 3:04:00 PM,77.45,79.65,77.1,79.5,92325
9/14/2018 3:03:00 PM,79.6,79.6,76.4,77,148275
9/14/2018 3:02:00 PM,81.8,83,78,79.4,184050
9/14/2018 3:01:00 PM,86,86.55,81.45,81.95,201450
9/14/2018 3:00:00 PM,91.3,92.35,85,86.7,182550
9/14/2018 2:59:00 PM,90.75,91.6,90.5,91.3,23475
9/14/2018 2:58:00 PM,89.65,91.2,89.3,90.75,21300
9/14/2018 2:57:00 PM,91,91.35,89.5,89.65,38250
9/14/2018 2:56:00 PM,91.15,91.2,90.35,91,10575
9/14/2018 2:55:00 PM,91.15,92.5,91,91.15,14325
