Date,NIFTY18OCT11400PE O,NIFTY18OCT11400PE H,NIFTY18OCT11400PE L,NIFTY18OCT11400PE C,NIFTY18OCT11400PE V
9/14/2018 3:29:00 PM,123.9,125.75,123.55,125,21225
9/14/2018 3:28:00 PM,123.1,124.7,123.1,123.9,7350
9/14/2018 3:27:00 PM,122.05,123.25,122.05,123.1,1650
9/14/2018 3:26:00 PM,122.95,122.95,121.9,122.5,2325
9/14/2018 3:25:00 PM,122.45,123.1,122.3,122.95,2700
9/14/2018 3:24:00 PM,122.55,122.55,122.45,122.45,1650
9/14/2018 3:23:00 PM,123,123.55,122.55,122.55,675
9/14/2018 3:22:00 PM,122.9,123,122,123,4950
9/14/2018 3:21:00 PM,123,123,122.05,122.9,2475
9/14/2018 3:20:00 PM,122,123,122,123,2325
9/14/2018 3:19:00 PM,121.85,122.25,121.85,122,3300
9/14/2018 3:18:00 PM,122.6,122.6,121.5,121.5,450
9/14/2018 3:17:00 PM,123.75,123.75,122,122.6,5100
9/14/2018 3:16:00 PM,123.25,123.75,122.55,123.75,3675
9/14/2018 3:15:00 PM,122.9,123.4,122.45,123.25,975
9/14/2018 3:14:00 PM,123.7,123.7,122.9,122.9,75
9/14/2018 3:13:00 PM,123.8,124.4,123,123.7,7950
9/14/2018 3:12:00 PM,124,124.3,123,123.8,6450
9/14/2018 3:11:00 PM,122.95,124,122.95,124,3000
9/14/2018 3:10:00 PM,124.7,124.7,122.85,122.95,9300
9/14/2018 3:09:00 PM,122.55,124.7,122.55,124.7,6150
9/14/2018 3:08:00 PM,122.6,123.05,122.55,122.55,5700
9/14/2018 3:07:00 PM,122.85,123.8,122,122.6,6750
9/14/2018 3:06:00 PM,124,124.95,122.55,122.55,9000
9/14/2018 3:05:00 PM,123.9,125,123.9,124,3975
9/14/2018 3:04:00 PM,120.75,123.9,120.75,123.9,4275
9/14/2018 3:03:00 PM,123.4,123.4,120.75,120.75,5175
9/14/2018 3:02:00 PM,124.25,125.85,123.4,123.4,1200
9/14/2018 3:01:00 PM,128.9,128.9,124,124,6525
9/14/2018 3:00:00 PM,132.5,132.7,126.1,128.9,4200
9/14/2018 2:59:00 PM,132.5,132.5,132.1,132.5,9450
9/14/2018 2:58:00 PM,131.55,132.65,131.55,132.5,825
9/14/2018 2:57:00 PM,132.5,132.5,131.55,131.55,450
9/14/2018 2:56:00 PM,134.3,134.3,132.7,132.7,3600
9/14/2018 2:55:00 PM,133.35,134.3,133,134.3,2325
9/14/2018 2:54:00 PM,133.1,133.9,132.75,133.35,3075
9/14/2018 2:53:00 PM,133.6,133.6,132.6,133.1,450
9/14/2018 2:52:00 PM,133.35,134.2,132.9,133.6,3750
9/14/2018 2:51:00 PM,132.55,133.35,132.2,133.35,1050
9/14/2018 2:50:00 PM,132,132.55,131.55,132.55,900
9/14/2018 2:49:00 PM,132.45,132.9,131.6,132,825
9/14/2018 2:48:00 PM,131.9,132.45,131.9,132.45,600
9/14/2018 2:47:00 PM,131.1,132.45,131.1,132.1,3525
9/14/2018 2:46:00 PM,131.25,131.5,131.1,131.1,300
9/14/2018 2:45:00 PM,132,132.25,131.25,131.25,150
9/14/2018 2:44:00 PM,132.6,133.05,131.7,132,1725
9/14/2018 2:43:00 PM,132.55,133.05,131.7,132.6,1125
9/14/2018 2:42:00 PM,133,133,131.6,132.55,1050
9/14/2018 2:41:00 PM,134,134,132.35,133,825
9/14/2018 2:40:00 PM,135,135,134,134,600
9/14/2018 2:39:00 PM,135.05,136,134.3,135,1275
9/14/2018 2:38:00 PM,135,135.45,135,135.45,225
9/14/2018 2:37:00 PM,134.05,135.65,134.05,135,300
9/14/2018 2:36:00 PM,134,134.05,133.4,134.05,450
9/14/2018 2:35:00 PM,135.75,135.75,134,134,75
9/14/2018 2:34:00 PM,135.5,136,134.9,135.75,525
9/14/2018 2:33:00 PM,133.4,135.5,133.4,135.5,1875
9/14/2018 2:32:00 PM,133.7,133.85,132.9,133.4,1875
9/14/2018 2:31:00 PM,134.1,134.5,132.95,133.7,525
9/14/2018 2:30:00 PM,135.05,135.05,134.1,134.1,1125
9/14/2018 2:29:00 PM,135.05,135.05,133.95,135.05,1500
9/14/2018 2:28:00 PM,135.65,135.65,135.05,135.05,75
9/14/2018 2:27:00 PM,135.2,136.15,134.75,135.65,450
9/14/2018 2:26:00 PM,135.1,135.2,134.05,135.2,4125
9/14/2018 2:25:00 PM,134.95,135.15,134.5,135.1,2325
9/14/2018 2:24:00 PM,133.35,135.35,133.35,134.95,375
9/14/2018 2:23:00 PM,133.2,133.35,133.2,133.35,75
9/14/2018 2:22:00 PM,133.45,133.5,133.1,133.2,825
9/14/2018 2:21:00 PM,133.7,133.7,132.45,133.45,1425
9/14/2018 2:20:00 PM,133.4,134.1,132.9,133.7,3375
9/14/2018 2:19:00 PM,132.4,133.4,132.2,133.4,1575
9/14/2018 2:18:00 PM,131.25,133,131.05,132.4,4575
9/14/2018 2:17:00 PM,131.85,132.3,131,131.25,1950
9/14/2018 2:16:00 PM,132.4,132.95,131.5,132.15,7050
9/14/2018 2:15:00 PM,132.25,132.85,131.65,132.4,7950
