Date,ZEEL-EQ O,ZEEL-EQ H,ZEEL-EQ L,ZEEL-EQ C,ZEEL-EQ V
9/14/2018 1:57:00 PM,469.65,469.65,469.5,469.55,1936
9/14/2018 1:56:00 PM,469.7,469.7,469.6,469.65,746
9/14/2018 1:55:00 PM,469.9,470,469.6,469.65,820
9/14/2018 1:54:00 PM,469.95,470,469.9,469.9,1194
9/14/2018 1:53:00 PM,470,470,469.9,469.9,3696
9/14/2018 1:52:00 PM,470,470,469.95,470,2461
9/14/2018 1:51:00 PM,470.55,470.6,469.95,470,4259
9/14/2018 1:50:00 PM,470.3,470.65,470.25,470.55,2578
9/14/2018 1:49:00 PM,470.6,470.6,470.2,470.3,1652
9/14/2018 1:48:00 PM,470,470.8,469.95,470.6,6798
9/14/2018 1:47:00 PM,469.95,470,469.85,470,1164
9/14/2018 1:46:00 PM,470.2,470.2,469.95,469.95,2680
9/14/2018 1:45:00 PM,470.4,470.4,470.15,470.2,1261
9/14/2018 1:44:00 PM,470.25,470.55,470.2,470.4,2194
9/14/2018 1:43:00 PM,470.55,470.8,470.25,470.25,2121
9/14/2018 1:42:00 PM,470.85,470.85,470.5,470.55,1716
9/14/2018 1:41:00 PM,470.4,470.9,470.4,470.85,3416
9/14/2018 1:40:00 PM,470.65,470.65,469.5,470.4,15123
9/14/2018 1:39:00 PM,470.15,471.25,470.15,470.65,9129
9/14/2018 1:38:00 PM,470.2,470.7,470.1,470.25,1912
9/14/2018 1:37:00 PM,470.25,470.35,469.95,470.15,3204
9/14/2018 1:36:00 PM,470.15,470.45,470.1,470.3,1749
9/14/2018 1:35:00 PM,470.4,470.45,470.1,470.15,1457
9/14/2018 1:34:00 PM,470.8,470.8,470.3,470.4,4330
9/14/2018 1:33:00 PM,470.75,471,470.5,470.8,2165
9/14/2018 1:32:00 PM,470.95,471,470.5,470.7,3148
9/14/2018 1:31:00 PM,469.95,470.95,469.65,470.95,11153
9/14/2018 1:30:00 PM,470.9,471.5,469.95,469.95,9477
9/14/2018 1:29:00 PM,470.3,470.9,470.2,470.9,4414
9/14/2018 1:28:00 PM,471.2,471.35,469.9,470.25,7903
9/14/2018 1:27:00 PM,470.25,471.6,470.25,470.85,14363
9/14/2018 1:26:00 PM,470.65,470.75,470,470.2,6192
9/14/2018 1:25:00 PM,470.75,470.8,470.5,470.6,1992
9/14/2018 1:24:00 PM,470.45,470.9,470.45,470.75,2157
9/14/2018 1:23:00 PM,470.75,470.9,470.45,470.5,2499
9/14/2018 1:22:00 PM,470.6,471,470.1,470.85,2542
9/14/2018 1:21:00 PM,470.95,471.05,470.6,470.6,1560
9/14/2018 1:20:00 PM,471.45,471.5,470.95,471,3283
9/14/2018 1:19:00 PM,470.2,471.5,470,471.4,7634
9/14/2018 1:18:00 PM,470.95,470.95,470.15,470.15,7807
9/14/2018 1:17:00 PM,470.95,470.95,470.9,470.95,2453
9/14/2018 1:16:00 PM,470.45,470.95,470.35,470.95,3003
9/14/2018 1:15:00 PM,470.45,470.5,470.4,470.45,4742
9/14/2018 1:14:00 PM,470.35,470.5,470.3,470.45,4092
9/14/2018 1:13:00 PM,470.5,470.5,470.35,470.35,3516
9/14/2018 1:12:00 PM,470.35,470.5,470.35,470.5,4449
9/14/2018 1:11:00 PM,470,470.45,469.95,470.35,5330
