Date,ONGC-EQ O,ONGC-EQ H,ONGC-EQ L,ONGC-EQ C,ONGC-EQ V
9/14/2018 1:59:00 PM,172.2,172.45,172.15,172.3,13653
9/14/2018 1:58:00 PM,172.35,172.4,172.2,172.25,22855
9/14/2018 1:57:00 PM,172.35,172.45,172.3,172.35,22960
9/14/2018 1:56:00 PM,172.7,172.7,172.35,172.35,17127
9/14/2018 1:55:00 PM,172.8,172.85,172.65,172.65,9755
9/14/2018 1:54:00 PM,172.6,172.95,172.6,172.8,16345
9/14/2018 1:53:00 PM,172.6,172.8,172.55,172.7,24054
9/14/2018 1:52:00 PM,172.8,172.8,172.4,172.45,19698
9/14/2018 1:51:00 PM,172.7,172.9,172.65,172.7,32900
9/14/2018 1:50:00 PM,172.4,172.75,172.35,172.7,26539
9/14/2018 1:49:00 PM,172.4,172.6,172.25,172.4,28801
9/14/2018 1:48:00 PM,172.15,172.4,172.1,172.35,23863
9/14/2018 1:47:00 PM,172.15,172.25,172.1,172.1,9580
9/14/2018 1:46:00 PM,171.7,172.3,171.7,172.2,73407
9/14/2018 1:45:00 PM,171.65,171.85,171.65,171.7,20475
9/14/2018 1:44:00 PM,171.6,171.65,171.55,171.65,5335
9/14/2018 1:43:00 PM,171.35,171.65,171.35,171.6,5322
9/14/2018 1:42:00 PM,171.5,171.5,171.25,171.3,21376
9/14/2018 1:41:00 PM,171.45,171.8,171.45,171.45,25269
9/14/2018 1:40:00 PM,171.35,171.55,171.3,171.45,9285
9/14/2018 1:39:00 PM,171.2,171.35,171.15,171.3,7976
9/14/2018 1:38:00 PM,171.3,171.3,171.2,171.2,6082
9/14/2018 1:37:00 PM,171.05,171.3,171.05,171.3,16324
9/14/2018 1:36:00 PM,170.85,171.05,170.85,171,3253
9/14/2018 1:35:00 PM,170.95,171,170.85,170.85,6820
9/14/2018 1:34:00 PM,171.15,171.15,170.8,170.95,23700
9/14/2018 1:33:00 PM,171.3,171.3,171.1,171.15,4586
9/14/2018 1:32:00 PM,171.25,171.3,171.15,171.2,6024
9/14/2018 1:31:00 PM,171.5,171.5,171.25,171.25,14591
9/14/2018 1:30:00 PM,171.15,171.5,171.05,171.45,47753
9/14/2018 1:29:00 PM,171,171.15,170.85,171,19224
9/14/2018 1:28:00 PM,171,171,170.9,170.9,7116
9/14/2018 1:27:00 PM,170.7,171.05,170.65,170.95,50759
