Date,USDINR18SEP72PE O,USDINR18SEP72PE H,USDINR18SEP72PE L,USDINR18SEP72PE C,USDINR18SEP72PE V
9/14/2018 3:33:00 PM,0.425,0.43,0.42,0.43,3779
9/14/2018 3:32:00 PM,0.4375,0.4375,0.42,0.425,3172
9/14/2018 3:31:00 PM,0.4375,0.44,0.4275,0.4375,3216
9/14/2018 3:30:00 PM,0.445,0.4475,0.4375,0.4375,1214
9/14/2018 3:29:00 PM,0.4425,0.45,0.4425,0.445,1881
9/14/2018 3:28:00 PM,0.435,0.4425,0.435,0.4425,749
9/14/2018 3:27:00 PM,0.4425,0.445,0.43,0.435,2109
9/14/2018 3:26:00 PM,0.435,0.4475,0.435,0.445,362
9/14/2018 3:25:00 PM,0.45,0.455,0.435,0.435,1853
9/14/2018 3:24:00 PM,0.47,0.47,0.45,0.45,1234
9/14/2018 3:23:00 PM,0.485,0.4875,0.47,0.47,400
9/14/2018 3:22:00 PM,0.475,0.4875,0.475,0.485,559
9/14/2018 3:21:00 PM,0.49,0.49,0.475,0.475,623
9/14/2018 3:20:00 PM,0.49,0.49,0.4875,0.49,58
9/14/2018 3:19:00 PM,0.4825,0.49,0.4825,0.49,11
9/14/2018 3:18:00 PM,0.49,0.49,0.4825,0.4825,14
9/14/2018 3:17:00 PM,0.49,0.49,0.49,0.49,50
9/14/2018 3:16:00 PM,0.4825,0.49,0.4825,0.49,173
9/14/2018 3:15:00 PM,0.4825,0.4875,0.48,0.4825,491
9/14/2018 3:14:00 PM,0.4775,0.4825,0.4725,0.4825,1290
9/14/2018 3:13:00 PM,0.4775,0.4775,0.4775,0.4775,150
9/14/2018 3:12:00 PM,0.4875,0.4875,0.4775,0.4775,41
9/14/2018 3:11:00 PM,0.49,0.49,0.4875,0.4875,102
9/14/2018 3:10:00 PM,0.49,0.49,0.4875,0.49,17
9/14/2018 3:09:00 PM,0.4875,0.4925,0.4875,0.49,101
9/14/2018 3:08:00 PM,0.4875,0.49,0.48,0.4875,302
9/14/2018 3:07:00 PM,0.47,0.4825,0.47,0.4825,131
9/14/2018 3:06:00 PM,0.485,0.485,0.4675,0.47,538
9/14/2018 3:05:00 PM,0.49,0.4925,0.485,0.4875,446
9/14/2018 3:04:00 PM,0.505,0.505,0.4875,0.49,317
