Date,BANKNIFTY18SEP27200CE O,BANKNIFTY18SEP27200CE H,BANKNIFTY18SEP27200CE L,BANKNIFTY18SEP27200CE C,BANKNIFTY18SEP27200CE V
9/14/2018 3:29:00 PM,277.2,279.5,274,277.1,1000
9/14/2018 3:28:00 PM,282.1,282.1,277.2,277.2,1000
9/14/2018 3:27:00 PM,284.25,284.25,280,282.1,1400
9/14/2018 3:26:00 PM,284.05,284.25,282.95,284.25,680
9/14/2018 3:25:00 PM,285,285,282.1,284.05,720
9/14/2018 3:24:00 PM,285.6,285.6,284.7,285,360
9/14/2018 3:23:00 PM,285,285.6,281.3,285.6,1080
9/14/2018 3:22:00 PM,285.75,285.75,285,285,560
9/14/2018 3:21:00 PM,286.2,286.9,285,285.75,640
9/14/2018 3:20:00 PM,290.8,291,286.2,286.2,1560
9/14/2018 3:19:00 PM,289.9,290.4,289.75,290.25,1000
9/14/2018 3:18:00 PM,288.7,291.85,288.7,289.9,3240
9/14/2018 3:17:00 PM,288.1,290.6,286.55,288.7,2040
9/14/2018 3:16:00 PM,287,288.1,284.6,288.1,1680
9/14/2018 3:15:00 PM,288.65,290,287,287,2160
9/14/2018 3:14:00 PM,286.95,290,286.95,288.65,120
9/14/2018 3:13:00 PM,288.75,289.95,285.9,286.95,1600
9/14/2018 3:12:00 PM,292.85,294.55,286.7,288.75,1600
9/14/2018 3:11:00 PM,290.55,292.85,290.55,292.85,800
9/14/2018 3:10:00 PM,285,293.2,284.4,293,2960
9/14/2018 3:09:00 PM,306,306,285,285,1080
9/14/2018 3:08:00 PM,306.7,306.7,303.45,306,1320
9/14/2018 3:07:00 PM,307,307,302,306.7,4560
9/14/2018 3:06:00 PM,305,307,304.2,307,1320
9/14/2018 3:05:00 PM,301.85,304.95,301.85,304.05,1480
9/14/2018 3:04:00 PM,313.25,313.25,301,301.85,1680
9/14/2018 3:03:00 PM,312.6,314,310,313.25,2200
9/14/2018 3:02:00 PM,302.25,310,299.9,310,1920
9/14/2018 3:01:00 PM,287.9,305.15,287.9,302.25,3920
9/14/2018 3:00:00 PM,276.3,288.35,276.3,288.35,640
9/14/2018 2:59:00 PM,280,280,276.3,276.3,80
9/14/2018 2:58:00 PM,281,281,280,280,40
9/14/2018 2:57:00 PM,281,281,281,281,0
9/14/2018 2:56:00 PM,281,281,281,281,0
9/14/2018 2:55:00 PM,281.95,281.95,281,281,40
9/14/2018 2:54:00 PM,284.05,284.05,281.95,281.95,280
9/14/2018 2:53:00 PM,281.6,282.45,281.6,282.45,360
9/14/2018 2:52:00 PM,277.2,281.6,275.6,281.6,200
9/14/2018 2:51:00 PM,276.45,277.2,276.45,277.2,40
9/14/2018 2:50:00 PM,281,281,276.45,276.45,200
9/14/2018 2:49:00 PM,285,285,280.95,281,160
9/14/2018 2:48:00 PM,285.7,285.8,285,285,160
9/14/2018 2:47:00 PM,285.2,285.7,284.35,285.7,120
9/14/2018 2:46:00 PM,282.15,285.2,282.15,285.2,80
9/14/2018 2:45:00 PM,282.15,282.15,282.15,282.15,0
9/14/2018 2:44:00 PM,287.05,287.05,282.15,282.15,40
9/14/2018 2:43:00 PM,288,289.1,287.05,287.05,160
9/14/2018 2:42:00 PM,280.9,290,280.9,288,1600
9/14/2018 2:41:00 PM,278.2,280.9,278.2,280.9,240
9/14/2018 2:40:00 PM,273,278.2,273,278.2,120
9/14/2018 2:39:00 PM,273.7,273.7,273,273,40
9/14/2018 2:38:00 PM,275,275,273.55,273.7,120
9/14/2018 2:37:00 PM,281.05,281.05,272.9,275,160
9/14/2018 2:36:00 PM,280,282,279.8,281.05,240
9/14/2018 2:35:00 PM,276.6,280,276.6,280,160
