Date,BANKNIFTY19SEP1826900PE O,BANKNIFTY19SEP1826900PE H,BANKNIFTY19SEP1826900PE L,BANKNIFTY19SEP1826900PE C,BANKNIFTY19SEP1826900PE V
9/14/2018 1:59:00 PM,78.85,79.9,77.3,79,6680
9/14/2018 1:58:00 PM,75.2,80,75.2,78.85,6480
9/14/2018 1:57:00 PM,75.7,76.65,75.05,75.2,4240
9/14/2018 1:56:00 PM,77.8,77.8,75,75.7,6560
9/14/2018 1:55:00 PM,76.8,78.85,76.15,77.9,8520
9/14/2018 1:54:00 PM,75.6,77.05,73.5,76.8,12560
9/14/2018 1:53:00 PM,76.5,78.9,75.05,75.6,23000
9/14/2018 1:52:00 PM,73.3,76.5,72.5,76.5,6680
9/14/2018 1:51:00 PM,73.7,75.2,72.6,73.3,3240
9/14/2018 1:50:00 PM,75.2,75.65,73,73.7,5920
9/14/2018 1:49:00 PM,73.15,75.2,72.2,75.2,3920
9/14/2018 1:48:00 PM,75,75.15,71.65,73.25,11280
9/14/2018 1:47:00 PM,74.25,76,74,75,6360
9/14/2018 1:46:00 PM,74.7,77.05,73.35,74.3,15120
9/14/2018 1:45:00 PM,72.6,74.45,72.45,74.4,9400
9/14/2018 1:44:00 PM,73.5,74,72.45,72.65,8360
9/14/2018 1:43:00 PM,75.35,77,73.45,74.2,14760
9/14/2018 1:42:00 PM,73.4,75.45,72.95,75.35,9360
9/14/2018 1:41:00 PM,74.45,74.7,72.6,73.05,10720
9/14/2018 1:40:00 PM,72.5,73.9,71.8,73.2,9320
9/14/2018 1:39:00 PM,73.05,73.6,71.5,72.5,12120
9/14/2018 1:38:00 PM,70.65,75.3,69.7,73.55,18840
9/14/2018 1:37:00 PM,76.75,76.75,70,70.65,22160
9/14/2018 1:36:00 PM,79.1,79.1,76.2,76.45,10160
9/14/2018 1:35:00 PM,78.5,79.7,75.6,79.1,13520
9/14/2018 1:34:00 PM,75.95,78.8,74.4,78.75,10720
9/14/2018 1:33:00 PM,80.65,80.65,75,75.95,17960
9/14/2018 1:32:00 PM,80.9,81,78.75,80.65,13640
9/14/2018 1:31:00 PM,80.95,84.2,80.35,81.35,42200
9/14/2018 1:30:00 PM,80.85,83.45,77.05,79.9,50440
9/14/2018 1:29:00 PM,74.55,87.95,73.3,83.6,45480
9/14/2018 1:28:00 PM,74.5,74.5,72.2,74.1,9320
9/14/2018 1:27:00 PM,72.45,74.8,71.9,74.15,13280
9/14/2018 1:26:00 PM,72.15,73,70,73,9840
9/14/2018 1:25:00 PM,69.65,73.35,69.1,71.85,8800
9/14/2018 1:24:00 PM,71.9,72,69.2,69.65,11200
9/14/2018 1:23:00 PM,69.8,72.35,69.8,71.85,12640
9/14/2018 1:22:00 PM,73.45,73.45,69.4,69.5,9760
9/14/2018 1:21:00 PM,69.1,73.45,69.1,73.45,16360
9/14/2018 1:20:00 PM,68.55,70,67.8,69.5,37840
9/14/2018 1:19:00 PM,72.3,72.4,68.3,69.25,29880
9/14/2018 1:18:00 PM,69.2,73.45,68.75,72.6,34480
9/14/2018 1:17:00 PM,66.95,70.3,66.9,70.05,39760
9/14/2018 1:16:00 PM,69.85,69.85,63.5,67.45,74640
9/14/2018 1:15:00 PM,75.6,75.9,69.1,69.85,52000
9/14/2018 1:14:00 PM,77.65,78.9,75.55,75.75,10960
9/14/2018 1:13:00 PM,79.5,79.5,76.55,77.35,8000
9/14/2018 1:12:00 PM,74.5,79.35,74.5,79.05,15720
9/14/2018 1:11:00 PM,78.2,78.4,72.75,74.5,39320
9/14/2018 1:10:00 PM,78.25,79,77.7,78.95,15280
9/14/2018 1:09:00 PM,76,79.45,75.15,78.25,26680
9/14/2018 1:08:00 PM,83.35,83.35,75.9,76.05,20320
9/14/2018 1:07:00 PM,80.95,84.8,80.25,83.2,22240
9/14/2018 1:06:00 PM,76.85,80.45,76.85,80.45,23120
9/14/2018 1:05:00 PM,79.85,79.85,75,77.45,43840
9/14/2018 1:04:00 PM,84.65,84.65,79.1,79.75,12560
9/14/2018 1:03:00 PM,82.25,84.65,82.2,84.65,16520
9/14/2018 1:02:00 PM,80.15,83.1,78.45,82.25,39840
9/14/2018 1:01:00 PM,83.65,84.65,79.3,80.4,57560
9/14/2018 1:00:00 PM,93.15,93.15,83.25,84.2,48000
9/14/2018 12:59:00 PM,94.25,94.3,91.9,93.15,10880
9/14/2018 12:58:00 PM,93.65,94.8,92,94.25,9520
9/14/2018 12:57:00 PM,94.3,95.1,93.05,93.65,7280
9/14/2018 12:56:00 PM,93.2,95.65,92.8,94.1,5760
9/14/2018 12:55:00 PM,97.8,97.8,94.25,94.25,10440
9/14/2018 12:54:00 PM,97.25,97.8,96.4,97.8,6640
9/14/2018 12:53:00 PM,98.5,98.7,96.15,97.25,5240
9/14/2018 12:52:00 PM,98.55,98.95,97.75,98.5,2960
