Date,NIFTY18OCT11500PE O,NIFTY18OCT11500PE H,NIFTY18OCT11500PE L,NIFTY18OCT11500PE C,NIFTY18OCT11500PE V
9/14/2018 3:29:00 PM,155.05,159.95,154.05,159.95,7575
9/14/2018 3:28:00 PM,153.7,155.25,153.7,155.05,3750
9/14/2018 3:27:00 PM,152.25,154.25,152.25,153.7,1275
9/14/2018 3:26:00 PM,153.35,153.45,152.25,152.25,2175
9/14/2018 3:25:00 PM,153.1,154,152.75,153.35,4500
9/14/2018 3:24:00 PM,153.75,154,153.1,153.1,1500
9/14/2018 3:23:00 PM,153.7,154.55,153.7,153.75,2550
9/14/2018 3:22:00 PM,153.6,154.85,153,154.85,2400
9/14/2018 3:21:00 PM,153.95,153.95,152.35,153.6,2250
9/14/2018 3:20:00 PM,153,153.95,152.2,153.95,1500
9/14/2018 3:19:00 PM,152.65,153,151.9,153,2175
9/14/2018 3:18:00 PM,153.35,153.35,152,152.65,900
9/14/2018 3:17:00 PM,154.35,154.35,152.95,153.35,1800
9/14/2018 3:16:00 PM,154,154.5,153.05,154.3,2025
9/14/2018 3:15:00 PM,153.65,154,153.65,154,750
9/14/2018 3:14:00 PM,154.05,154.15,153.65,153.65,2475
9/14/2018 3:13:00 PM,154.9,155.15,154.05,154.05,1725
9/14/2018 3:12:00 PM,153.8,155.25,153.55,154.9,2850
9/14/2018 3:11:00 PM,155.2,155.6,153.8,153.8,5325
9/14/2018 3:10:00 PM,155.4,155.75,153.95,155.2,2625
9/14/2018 3:09:00 PM,153.75,155.4,153.65,155.4,2850
9/14/2018 3:08:00 PM,154.25,154.25,153,153.75,1125
9/14/2018 3:07:00 PM,154.35,154.65,153.4,154.25,2400
9/14/2018 3:06:00 PM,154.55,157.1,153.75,154.05,16275
9/14/2018 3:05:00 PM,155.15,156.4,155.1,155.25,17100
9/14/2018 3:04:00 PM,151.25,155.8,151.25,155.15,6375
9/14/2018 3:03:00 PM,153.9,153.95,151.25,151.25,2100
9/14/2018 3:02:00 PM,156.55,156.8,153.9,153.9,3300
9/14/2018 3:01:00 PM,161.15,161.3,155.3,156.55,10050
9/14/2018 3:00:00 PM,166.2,166.6,159.4,162.5,9750
9/14/2018 2:59:00 PM,166.4,166.45,165.9,166.2,3150
9/14/2018 2:58:00 PM,166.05,166.7,165.6,166.4,1425
9/14/2018 2:57:00 PM,167,167.05,166.05,166.05,300
9/14/2018 2:56:00 PM,167.15,167.15,166.45,167,1425
9/14/2018 2:55:00 PM,167,168.9,166.8,167.15,4350
9/14/2018 2:54:00 PM,166.3,168.05,166.3,166.85,16425
9/14/2018 2:53:00 PM,166.8,167.45,166.35,167.4,6225
9/14/2018 2:52:00 PM,167.25,168.1,166.95,166.95,16800
9/14/2018 2:51:00 PM,166.5,167.25,165.8,167.25,7200
9/14/2018 2:50:00 PM,165.5,166.5,165.05,166.5,1125
9/14/2018 2:49:00 PM,164.85,166.4,164.85,165.5,1200
9/14/2018 2:48:00 PM,165.15,165.15,164.85,164.85,75
9/14/2018 2:47:00 PM,164.7,165.95,164.7,165.15,11850
9/14/2018 2:46:00 PM,164.7,164.9,164.65,164.9,300
9/14/2018 2:45:00 PM,165.05,165.05,164.1,164.9,525
9/14/2018 2:44:00 PM,165,165.7,164.9,165.05,975
9/14/2018 2:43:00 PM,165.4,166.3,165,165,2025
9/14/2018 2:42:00 PM,165.9,165.9,165,165.4,675
9/14/2018 2:41:00 PM,168.5,168.5,165.9,165.9,375
9/14/2018 2:40:00 PM,167.9,168.5,167.9,168.5,75
9/14/2018 2:39:00 PM,169.1,169.75,167.9,167.9,450
9/14/2018 2:38:00 PM,168.9,169.85,168,169.1,825
