Date,NTPC-EQ O,NTPC-EQ H,NTPC-EQ L,NTPC-EQ C,NTPC-EQ V
9/14/2018 1:57:00 PM,172.8,172.95,172.8,172.8,4401
9/14/2018 1:56:00 PM,172.85,172.85,172.75,172.8,12887
9/14/2018 1:55:00 PM,172.9,172.9,172.8,172.85,2686
9/14/2018 1:54:00 PM,172.9,172.95,172.85,172.85,4910
9/14/2018 1:53:00 PM,172.75,172.9,172.7,172.85,3357
9/14/2018 1:52:00 PM,172.65,172.8,172.6,172.75,3136
9/14/2018 1:51:00 PM,172.7,172.7,172.6,172.65,4939
9/14/2018 1:50:00 PM,172.55,172.7,172.5,172.65,5422
9/14/2018 1:49:00 PM,172.5,172.6,172.5,172.55,3082
9/14/2018 1:48:00 PM,172.6,172.6,172.5,172.55,5744
9/14/2018 1:47:00 PM,172.65,172.65,172.55,172.6,5883
9/14/2018 1:46:00 PM,172.65,172.65,172.6,172.65,2718
9/14/2018 1:45:00 PM,172.7,172.7,172.6,172.6,4537
9/14/2018 1:44:00 PM,172.75,172.75,172.55,172.55,8785
9/14/2018 1:43:00 PM,172.8,172.8,172.65,172.7,8346
9/14/2018 1:42:00 PM,172.8,172.85,172.75,172.75,4069
9/14/2018 1:41:00 PM,172.85,172.85,172.75,172.8,6477
9/14/2018 1:40:00 PM,172.95,172.95,172.85,172.85,8525
9/14/2018 1:39:00 PM,173,173,172.9,172.9,3729
9/14/2018 1:38:00 PM,172.95,173,172.85,173,4902
9/14/2018 1:37:00 PM,173.15,173.15,172.85,172.95,6540
9/14/2018 1:36:00 PM,172.95,173.05,172.85,173,6870
9/14/2018 1:35:00 PM,173,173,172.9,172.95,4573
9/14/2018 1:34:00 PM,173.05,173.05,172.9,173,4072
9/14/2018 1:33:00 PM,173.05,173.1,173,173,6367
9/14/2018 1:32:00 PM,173.05,173.2,173.05,173.05,4054
9/14/2018 1:31:00 PM,173.1,173.1,173,173.05,4550
9/14/2018 1:30:00 PM,173.15,173.2,173.05,173.05,4938
9/14/2018 1:29:00 PM,173.15,173.25,173.05,173.1,8831
9/14/2018 1:28:00 PM,173.05,173.15,173,173.15,13455
9/14/2018 1:27:00 PM,173.1,173.1,173,173.05,7932
9/14/2018 1:26:00 PM,173.15,173.15,173.05,173.1,3810
9/14/2018 1:25:00 PM,173.25,173.25,173.05,173.05,9731
9/14/2018 1:24:00 PM,172.95,173.2,172.9,173.15,51702
9/14/2018 1:23:00 PM,172.85,173,172.85,172.9,16978
9/14/2018 1:22:00 PM,172.8,172.85,172.75,172.85,6350
9/14/2018 1:21:00 PM,172.9,172.9,172.7,172.8,6342
9/14/2018 1:20:00 PM,172.95,172.95,172.8,172.9,5747
9/14/2018 1:19:00 PM,172.85,172.95,172.8,172.9,7626
9/14/2018 1:18:00 PM,172.85,172.9,172.8,172.85,4071
9/14/2018 1:17:00 PM,172.95,172.95,172.85,172.85,16666
9/14/2018 1:16:00 PM,172.65,172.9,172.6,172.9,21373
9/14/2018 1:15:00 PM,172.55,172.65,172.55,172.65,2680
9/14/2018 1:14:00 PM,172.6,172.6,172.5,172.55,3970
9/14/2018 1:13:00 PM,172.6,172.65,172.55,172.6,6175
9/14/2018 1:12:00 PM,172.45,172.6,172.45,172.6,7502
9/14/2018 1:11:00 PM,172.45,172.5,172.4,172.45,14065
9/14/2018 1:10:00 PM,172.45,172.45,172.4,172.45,2864
9/14/2018 1:09:00 PM,172.25,172.45,172.25,172.45,4897
9/14/2018 1:08:00 PM,172.3,172.3,172.15,172.25,7665
9/14/2018 1:07:00 PM,172.35,172.35,172.2,172.3,4570
9/14/2018 1:06:00 PM,172.5,172.5,172.3,172.35,3492
9/14/2018 1:05:00 PM,172.25,172.5,172.2,172.5,5352
9/14/2018 1:04:00 PM,172.3,172.35,172.2,172.2,5357
9/14/2018 1:03:00 PM,172.4,172.4,172.3,172.35,2878
9/14/2018 1:02:00 PM,172.4,172.4,172.3,172.4,4703
9/14/2018 1:01:00 PM,172.45,172.45,172.35,172.4,3014
9/14/2018 1:00:00 PM,172.45,172.45,172.4,172.45,3519
9/14/2018 12:59:00 PM,172.45,172.45,172.4,172.45,2577
9/14/2018 12:58:00 PM,172.45,172.5,172.4,172.4,4598
9/14/2018 12:57:00 PM,172.35,172.5,172.35,172.45,2709
9/14/2018 12:56:00 PM,172.5,172.5,172.35,172.35,3142
9/14/2018 12:55:00 PM,172.45,172.5,172.4,172.5,4306
9/14/2018 12:54:00 PM,172.25,172.4,172.25,172.4,10214
9/14/2018 12:53:00 PM,172.3,172.35,172.25,172.3,2216
9/14/2018 12:52:00 PM,172.15,172.3,172.15,172.25,4220
9/14/2018 12:51:00 PM,172.2,172.2,172.15,172.2,6755
9/14/2018 12:50:00 PM,172.2,172.2,172.1,172.2,2216
9/14/2018 12:49:00 PM,172.15,172.2,172.1,172.2,3164
9/14/2018 12:48:00 PM,172.2,172.2,172.1,172.15,3191
9/14/2018 12:47:00 PM,172.15,172.2,172.1,172.1,2451
9/14/2018 12:46:00 PM,172.2,172.2,172.1,172.15,2461
9/14/2018 12:45:00 PM,172.2,172.2,172.05,172.2,3286
9/14/2018 12:44:00 PM,172.2,172.2,172.1,172.2,2389
9/14/2018 12:43:00 PM,172.05,172.2,172.05,172.2,5579
9/14/2018 12:42:00 PM,172.15,172.15,172,172.05,4738
9/14/2018 12:41:00 PM,172.1,172.15,172.05,172.05,2654
9/14/2018 12:40:00 PM,172.15,172.15,172.05,172.05,3300
9/14/2018 12:39:00 PM,172.15,172.15,172.05,172.1,3333
9/14/2018 12:38:00 PM,172.2,172.2,172.1,172.15,2375
9/14/2018 12:37:00 PM,172.2,172.2,172.1,172.2,2959
9/14/2018 12:36:00 PM,172.2,172.2,172.1,172.1,2512
9/14/2018 12:35:00 PM,172.2,172.2,172.05,172.2,7801
9/14/2018 12:34:00 PM,172.15,172.2,172.1,172.15,2490
9/14/2018 12:33:00 PM,172.1,172.15,172.05,172.15,3008
9/14/2018 12:32:00 PM,172.15,172.2,172.05,172.15,2715
9/14/2018 12:31:00 PM,172.15,172.25,172.05,172.15,2729
9/14/2018 12:30:00 PM,172.2,172.2,172.05,172.05,3171
9/14/2018 12:29:00 PM,172.3,172.3,172.1,172.1,2364
9/14/2018 12:28:00 PM,172.2,172.25,172.15,172.15,2650
9/14/2018 12:27:00 PM,172.3,172.3,172.2,172.2,3982
9/14/2018 12:26:00 PM,172.3,172.3,172.2,172.25,5731
9/14/2018 12:25:00 PM,172.25,172.3,172.15,172.3,4410
9/14/2018 12:24:00 PM,172.25,172.25,172.1,172.1,2898
9/14/2018 12:23:00 PM,172.25,172.25,172.1,172.1,2370
9/14/2018 12:22:00 PM,172.1,172.2,172.1,172.1,4601
9/14/2018 12:21:00 PM,172.15,172.15,172.05,172.1,1930
9/14/2018 12:20:00 PM,172.1,172.15,172.05,172.1,3829
9/14/2018 12:19:00 PM,172.15,172.15,172,172.15,5934
9/14/2018 12:18:00 PM,172.2,172.25,172.05,172.1,3870
9/14/2018 12:17:00 PM,172.15,172.2,172.05,172.05,5011
9/14/2018 12:16:00 PM,172.1,172.15,172,172.05,4553
9/14/2018 12:15:00 PM,172.1,172.15,172,172.1,2742
9/14/2018 12:14:00 PM,172.05,172.15,172,172.1,2354
9/14/2018 12:13:00 PM,172.15,172.15,172,172.05,3796
9/14/2018 12:12:00 PM,172.15,172.25,172,172.15,4936
9/14/2018 12:11:00 PM,172,172.2,171.95,172.15,7594
9/14/2018 12:10:00 PM,172.15,172.2,172,172.1,5254
9/14/2018 12:09:00 PM,172.2,172.25,172.1,172.15,7148
9/14/2018 12:08:00 PM,172.2,172.25,172.1,172.2,3093
9/14/2018 12:07:00 PM,172.25,172.25,172.15,172.25,1935
9/14/2018 12:06:00 PM,172,172.4,172,172.25,11412
9/14/2018 12:05:00 PM,172.2,172.3,171.95,172,17389
9/14/2018 12:04:00 PM,171.95,172.2,171.95,172.2,12330
9/14/2018 12:03:00 PM,172,172.1,171.85,171.9,14929
9/14/2018 12:02:00 PM,172.05,172.05,171.9,172.05,9881
9/14/2018 12:01:00 PM,172.2,172.2,172,172,6964
9/14/2018 12:00:00 PM,172.1,172.2,172,172.2,2841
9/14/2018 11:59:00 AM,172.2,172.2,172.05,172.1,7959
9/14/2018 11:58:00 AM,172.15,172.2,172.1,172.2,2315
9/14/2018 11:57:00 AM,172.2,172.2,172.05,172.15,2365
9/14/2018 11:56:00 AM,172.15,172.2,172.05,172.2,4200
9/14/2018 11:55:00 AM,172.15,172.2,172.05,172.15,2343
9/14/2018 11:54:00 AM,172.25,172.25,172.1,172.15,2781
9/14/2018 11:53:00 AM,172.25,172.25,172.1,172.25,1925
9/14/2018 11:52:00 AM,172.25,172.25,172.15,172.25,1727
9/14/2018 11:51:00 AM,172.25,172.25,172.15,172.25,1854
9/14/2018 11:50:00 AM,172.25,172.35,172.15,172.15,2576
9/14/2018 11:49:00 AM,172.2,172.35,172.1,172.3,1319077
9/14/2018 11:48:00 AM,172.25,172.25,172.1,172.2,3119
9/14/2018 11:47:00 AM,172.25,172.3,172.1,172.25,2148
9/14/2018 11:46:00 AM,172.2,172.3,172.15,172.25,2334
9/14/2018 11:45:00 AM,172.35,172.35,172.2,172.2,2760
9/14/2018 11:44:00 AM,172.3,172.4,172.25,172.35,2402
9/14/2018 11:43:00 AM,172.4,172.4,172.25,172.3,2093
9/14/2018 11:42:00 AM,172.35,172.4,172.25,172.4,4170
9/14/2018 11:41:00 AM,172.3,172.35,172.25,172.35,3333
9/14/2018 11:40:00 AM,172.25,172.35,172.25,172.3,2444
9/14/2018 11:39:00 AM,172.2,172.35,172.2,172.35,2647
9/14/2018 11:38:00 AM,172.25,172.4,172.15,172.2,9337
9/14/2018 11:37:00 AM,172.35,172.4,172.2,172.25,2389
9/14/2018 11:36:00 AM,172.45,172.45,172.35,172.35,2584
9/14/2018 11:35:00 AM,172.45,172.45,172.3,172.45,2335
9/14/2018 11:34:00 AM,172.4,172.45,172.3,172.45,2336
9/14/2018 11:33:00 AM,172.5,172.5,172.35,172.4,2010
9/14/2018 11:32:00 AM,172.5,172.5,172.4,172.4,2189
9/14/2018 11:31:00 AM,172.45,172.5,172.45,172.45,2209
9/14/2018 11:30:00 AM,172.5,172.55,172.45,172.45,5098
9/14/2018 11:29:00 AM,172.4,172.6,172.35,172.5,16202
9/14/2018 11:28:00 AM,172.2,172.4,172.15,172.4,7644
9/14/2018 11:27:00 AM,172.15,172.25,172.15,172.2,2770
9/14/2018 11:26:00 AM,172.2,172.3,172.05,172.15,3215
9/14/2018 11:25:00 AM,172.05,172.35,172.05,172.2,6716
9/14/2018 11:24:00 AM,172.3,172.35,172.05,172.05,3782
9/14/2018 11:23:00 AM,172.5,172.5,172.15,172.3,21262
9/14/2018 11:22:00 AM,172.2,172.5,172,172.5,20584
9/14/2018 11:21:00 AM,172,172.4,172,172.15,12483
9/14/2018 11:20:00 AM,172.2,172.3,172,172,3320
9/14/2018 11:19:00 AM,172.1,172.2,172,172.2,6650
9/14/2018 11:18:00 AM,172.1,172.1,172,172,9244
9/14/2018 11:17:00 AM,172.25,172.3,171.95,172.1,24167
9/14/2018 11:16:00 AM,172.3,172.3,172.25,172.25,2537
9/14/2018 11:15:00 AM,172.3,172.3,172.2,172.2,4383
9/14/2018 11:14:00 AM,172.4,172.4,172.25,172.25,2804
9/14/2018 11:13:00 AM,172.4,172.4,172.25,172.4,3995
9/14/2018 11:12:00 AM,172.4,172.45,172.35,172.4,2648
9/14/2018 11:11:00 AM,172.4,172.45,172.35,172.4,1711
9/14/2018 11:10:00 AM,172.4,172.5,172.35,172.4,4051
9/14/2018 11:09:00 AM,172.4,172.4,172.3,172.35,2077
9/14/2018 11:08:00 AM,172.3,172.5,172.3,172.4,5188
9/14/2018 11:07:00 AM,172.5,172.5,172.35,172.35,2711
9/14/2018 11:06:00 AM,172.35,172.5,172.3,172.4,2799
9/14/2018 11:05:00 AM,172.4,172.5,172.3,172.35,5317
9/14/2018 11:04:00 AM,172.35,172.5,172.3,172.45,6361
9/14/2018 11:03:00 AM,172.35,172.45,172.3,172.4,3905
9/14/2018 11:02:00 AM,172.35,172.4,172.25,172.35,2125
9/14/2018 11:01:00 AM,172.4,172.45,172.3,172.35,1955
9/14/2018 11:00:00 AM,172.3,172.5,172.25,172.4,3506
9/14/2018 10:59:00 AM,172.5,172.5,172.3,172.35,11323
9/14/2018 10:58:00 AM,172.5,172.6,172.5,172.5,4618
9/14/2018 10:57:00 AM,172.6,172.65,172.5,172.6,5375
9/14/2018 10:56:00 AM,172.2,172.75,172.2,172.6,34903
9/14/2018 10:55:00 AM,172.1,172.25,172.1,172.2,4847
9/14/2018 10:54:00 AM,172.25,172.25,172.1,172.1,1700
9/14/2018 10:53:00 AM,172.15,172.25,172.05,172.2,7572
9/14/2018 10:52:00 AM,172,172.15,171.95,172.15,9192
9/14/2018 10:51:00 AM,172,172,171.95,172,22222
9/14/2018 10:50:00 AM,172,172,171.95,172,5109
9/14/2018 10:49:00 AM,172,172.05,171.95,172,2897
9/14/2018 10:48:00 AM,172,172,171.95,171.95,4111
9/14/2018 10:47:00 AM,172,172,171.95,172,7418
9/14/2018 10:46:00 AM,172,172,171.95,171.95,1657
9/14/2018 10:45:00 AM,172,172,171.95,171.95,4520
9/14/2018 10:44:00 AM,171.9,172,171.85,172,19588
9/14/2018 10:43:00 AM,171.9,171.9,171.85,171.9,2984
9/14/2018 10:42:00 AM,171.85,172,171.85,171.95,2847
9/14/2018 10:41:00 AM,171.95,172,171.85,171.85,5865
9/14/2018 10:40:00 AM,171.9,171.95,171.85,171.95,2519
9/14/2018 10:39:00 AM,171.85,171.9,171.85,171.85,11290
9/14/2018 10:38:00 AM,171.95,171.95,171.85,171.9,2914
9/14/2018 10:37:00 AM,171.95,171.95,171.9,171.95,2158
9/14/2018 10:36:00 AM,171.95,172,171.9,171.95,6315
9/14/2018 10:35:00 AM,171.9,172,171.9,171.95,3644
9/14/2018 10:34:00 AM,171.9,172,171.9,171.95,3062
9/14/2018 10:33:00 AM,171.85,172,171.85,171.95,2743
9/14/2018 10:32:00 AM,172,172,171.95,171.95,3183
9/14/2018 10:31:00 AM,172,172,171.95,172,2201
