Date,USDINR18OCTFUT O,USDINR18OCTFUT H,USDINR18OCTFUT L,USDINR18OCTFUT C,USDINR18OCTFUT V
9/14/2018 3:44:00 PM,72.35,72.35,72.3425,72.345,694
9/14/2018 3:43:00 PM,72.36,72.36,72.35,72.35,2696
9/14/2018 3:42:00 PM,72.36,72.3625,72.36,72.36,15296
9/14/2018 3:41:00 PM,72.37,72.37,72.36,72.36,414
9/14/2018 3:40:00 PM,72.3625,72.375,72.36,72.37,693
9/14/2018 3:39:00 PM,72.35,72.3625,72.35,72.3625,4832
9/14/2018 3:38:00 PM,72.345,72.35,72.3375,72.35,154
9/14/2018 3:37:00 PM,72.33,72.3475,72.3275,72.3475,1994
9/14/2018 3:36:00 PM,72.355,72.355,72.33,72.33,1976
9/14/2018 3:35:00 PM,72.36,72.37,72.3525,72.355,2890
9/14/2018 3:34:00 PM,72.3625,72.37,72.3575,72.36,1230
9/14/2018 3:33:00 PM,72.3725,72.3775,72.36,72.3625,590
9/14/2018 3:32:00 PM,72.3475,72.38,72.3475,72.3725,939
9/14/2018 3:31:00 PM,72.32,72.35,72.32,72.3425,2380
9/14/2018 3:30:00 PM,72.3,72.3225,72.3,72.3225,92
9/14/2018 3:29:00 PM,72.3175,72.3175,72.295,72.3,100
9/14/2018 3:28:00 PM,72.325,72.33,72.315,72.3175,113
9/14/2018 3:27:00 PM,72.305,72.3325,72.3,72.325,633
9/14/2018 3:26:00 PM,72.315,72.32,72.3,72.305,522
9/14/2018 3:25:00 PM,72.2775,72.315,72.2775,72.315,1066
9/14/2018 3:24:00 PM,72.24,72.2825,72.24,72.2775,6498
9/14/2018 3:23:00 PM,72.22,72.24,72.22,72.24,481
9/14/2018 3:22:00 PM,72.2325,72.2325,72.22,72.22,11
9/14/2018 3:21:00 PM,72.225,72.2325,72.2175,72.2325,98
9/14/2018 3:20:00 PM,72.21,72.225,72.21,72.225,98
9/14/2018 3:19:00 PM,72.22,72.2225,72.21,72.21,449
9/14/2018 3:18:00 PM,72.2125,72.225,72.21,72.22,488
9/14/2018 3:17:00 PM,72.2175,72.2175,72.21,72.2125,169
9/14/2018 3:16:00 PM,72.22,72.22,72.21,72.2175,241
9/14/2018 3:15:00 PM,72.2225,72.2325,72.215,72.22,684
9/14/2018 3:14:00 PM,72.23,72.235,72.22,72.2225,1119
9/14/2018 3:13:00 PM,72.21,72.23,72.21,72.23,151
9/14/2018 3:12:00 PM,72.2125,72.225,72.2025,72.21,812
9/14/2018 3:11:00 PM,72.2075,72.215,72.2,72.2075,265
9/14/2018 3:10:00 PM,72.2,72.2075,72.2,72.2075,240
9/14/2018 3:09:00 PM,72.2,72.2,72.1925,72.2,734
9/14/2018 3:08:00 PM,72.2175,72.2175,72.2,72.2,281
9/14/2018 3:07:00 PM,72.23,72.23,72.2175,72.2175,31
9/14/2018 3:06:00 PM,72.2025,72.2375,72.2025,72.23,1729
9/14/2018 3:05:00 PM,72.195,72.2,72.195,72.2,8513
9/14/2018 3:04:00 PM,72.17,72.2,72.17,72.195,1912
9/14/2018 3:03:00 PM,72.1575,72.1725,72.1575,72.17,1053
9/14/2018 3:02:00 PM,72.1725,72.1725,72.1575,72.1575,610
9/14/2018 3:01:00 PM,72.175,72.175,72.1675,72.1725,502
9/14/2018 3:00:00 PM,72.175,72.175,72.1725,72.175,21
9/14/2018 2:59:00 PM,72.1575,72.1875,72.1575,72.1825,885
9/14/2018 2:58:00 PM,72.16,72.1625,72.1525,72.1575,248
9/14/2018 2:57:00 PM,72.1575,72.16,72.1475,72.16,1057
9/14/2018 2:56:00 PM,72.17,72.17,72.1525,72.1575,56
9/14/2018 2:55:00 PM,72.165,72.17,72.165,72.17,1
9/14/2018 2:54:00 PM,72.1525,72.165,72.1525,72.165,2
9/14/2018 2:53:00 PM,72.16,72.16,72.1525,72.1525,5
9/14/2018 2:52:00 PM,72.17,72.17,72.1575,72.16,187
9/14/2018 2:51:00 PM,72.16,72.17,72.15,72.17,702
9/14/2018 2:50:00 PM,72.1425,72.1625,72.1425,72.16,1120
9/14/2018 2:49:00 PM,72.135,72.145,72.135,72.1425,1075
9/14/2018 2:48:00 PM,72.13,72.1375,72.13,72.135,225
9/14/2018 2:47:00 PM,72.13,72.13,72.125,72.13,287
9/14/2018 2:46:00 PM,72.1275,72.135,72.1275,72.13,565
9/14/2018 2:45:00 PM,72.1475,72.1525,72.13,72.13,431
9/14/2018 2:44:00 PM,72.145,72.15,72.145,72.1475,184
9/14/2018 2:43:00 PM,72.1325,72.1475,72.13,72.145,285
9/14/2018 2:42:00 PM,72.1225,72.135,72.1225,72.1325,220
9/14/2018 2:41:00 PM,72.125,72.125,72.1225,72.1225,10
9/14/2018 2:40:00 PM,72.12,72.125,72.12,72.125,2
9/14/2018 2:39:00 PM,72.12,72.13,72.12,72.12,142
9/14/2018 2:38:00 PM,72.115,72.12,72.115,72.12,3
9/14/2018 2:37:00 PM,72.1125,72.115,72.1125,72.115,113
9/14/2018 2:36:00 PM,72.1125,72.115,72.1075,72.1125,288
9/14/2018 2:35:00 PM,72.13,72.13,72.1125,72.1125,449
9/14/2018 2:34:00 PM,72.1275,72.1325,72.1225,72.13,114
9/14/2018 2:33:00 PM,72.1225,72.1275,72.12,72.1275,96
9/14/2018 2:32:00 PM,72.1325,72.1325,72.12,72.1225,195
9/14/2018 2:31:00 PM,72.125,72.1425,72.125,72.1325,207
9/14/2018 2:30:00 PM,72.13,72.135,72.125,72.125,602
9/14/2018 2:29:00 PM,72.14,72.14,72.1275,72.13,334
9/14/2018 2:28:00 PM,72.1525,72.1525,72.1375,72.14,128
9/14/2018 2:27:00 PM,72.1475,72.1525,72.1475,72.1525,80
9/14/2018 2:26:00 PM,72.1525,72.16,72.1475,72.1475,580
9/14/2018 2:25:00 PM,72.16,72.16,72.135,72.1525,951
9/14/2018 2:24:00 PM,72.1575,72.16,72.1475,72.16,75
