Date,NIFTY18OCT11800CE O,NIFTY18OCT11800CE H,NIFTY18OCT11800CE L,NIFTY18OCT11800CE C,NIFTY18OCT11800CE V
9/14/2018 3:29:00 PM,89,89.55,85.15,85.15,3825
9/14/2018 3:28:00 PM,90.6,90.6,89,89,5550
9/14/2018 3:27:00 PM,90.45,90.8,90.25,90.6,2025
9/14/2018 3:26:00 PM,90,91,90,90.45,375
9/14/2018 3:25:00 PM,91,91,90,90,2925
9/14/2018 3:24:00 PM,90.4,91,90.4,91,750
9/14/2018 3:23:00 PM,90.35,90.6,90.15,90.4,1125
9/14/2018 3:22:00 PM,90.1,90.95,90.1,90.35,675
9/14/2018 3:21:00 PM,90.7,90.7,90,90.1,1725
9/14/2018 3:20:00 PM,91,91.05,90.7,90.7,2100
9/14/2018 3:19:00 PM,90.4,91,90.4,91,4725
9/14/2018 3:18:00 PM,90.6,90.75,90.05,90.4,825
9/14/2018 3:17:00 PM,90.45,90.65,90.05,90.65,2325
9/14/2018 3:16:00 PM,89.6,90.45,88.9,90.45,1125
9/14/2018 3:15:00 PM,90.9,90.9,89.55,89.6,1425
9/14/2018 3:14:00 PM,90.5,91,90.5,90.9,975
9/14/2018 3:13:00 PM,89.9,90.5,89.9,90.5,450
9/14/2018 3:12:00 PM,89.75,90.4,89.65,89.9,300
9/14/2018 3:11:00 PM,90.7,90.7,89.7,89.75,7425
9/14/2018 3:10:00 PM,90,90.9,89.95,90.7,825
9/14/2018 3:09:00 PM,91,91.05,90,90,675
9/14/2018 3:08:00 PM,91.25,92,90.8,91,5550
9/14/2018 3:07:00 PM,91.3,92,90.5,91.25,13800
9/14/2018 3:06:00 PM,90.95,91.9,90.95,91.3,7800
9/14/2018 3:05:00 PM,90.95,90.95,89.8,90.45,3450
9/14/2018 3:04:00 PM,92.45,93,90.95,90.95,6075
9/14/2018 3:03:00 PM,92.15,92.95,91.7,92.45,12675
9/14/2018 3:02:00 PM,90.65,93.55,90,92.15,6150
9/14/2018 3:01:00 PM,88.15,91,88.15,90.5,7800
9/14/2018 3:00:00 PM,85.3,89,84.55,88.15,2775
9/14/2018 2:59:00 PM,85.3,85.3,85.3,85.3,75
9/14/2018 2:58:00 PM,86.15,86.15,85,85,300
9/14/2018 2:57:00 PM,85.4,86.15,85.4,86.15,450
9/14/2018 2:56:00 PM,85,85.4,85,85.4,75
9/14/2018 2:55:00 PM,85,85,85,85,75
9/14/2018 2:54:00 PM,85,85,85,85,0
9/14/2018 2:53:00 PM,84.45,85.7,84.45,85,1500
9/14/2018 2:52:00 PM,85.1,85.4,84.4,84.45,750
9/14/2018 2:51:00 PM,85.05,85.1,85.05,85.1,450
9/14/2018 2:50:00 PM,85.5,85.5,85.05,85.05,300
9/14/2018 2:49:00 PM,84.95,85.5,84.95,85.5,300
9/14/2018 2:48:00 PM,84.25,85.5,84.25,85.5,750
9/14/2018 2:47:00 PM,85,85,84.25,84.25,825
9/14/2018 2:46:00 PM,85,85.5,84.7,85,1725
9/14/2018 2:45:00 PM,84.45,85,84.45,85,1650
9/14/2018 2:44:00 PM,84.95,84.95,84.45,84.45,375
9/14/2018 2:43:00 PM,84.95,84.95,84.95,84.95,0
9/14/2018 2:42:00 PM,84.5,85,84.5,84.95,600
9/14/2018 2:41:00 PM,83.45,84.5,83.45,84.5,975
