Date,DRREDDY-EQ O,DRREDDY-EQ H,DRREDDY-EQ L,DRREDDY-EQ C,DRREDDY-EQ V
9/14/2018 2:14:00 PM,2574.4,2574.4,2573.7,2574.4,210
9/14/2018 2:13:00 PM,2574.8,2574.8,2574,2574.4,145
9/14/2018 2:12:00 PM,2575.35,2575.5,2574.1,2574.8,224
9/14/2018 2:11:00 PM,2574.75,2575.5,2573.95,2575.35,402
9/14/2018 2:10:00 PM,2574,2575,2572.75,2574.75,239
9/14/2018 2:09:00 PM,2574,2574.5,2572.5,2572.5,343
9/14/2018 2:08:00 PM,2571.2,2574,2568.35,2573,1110
9/14/2018 2:07:00 PM,2575.8,2575.8,2569.6,2570.2,1591
9/14/2018 2:06:00 PM,2571.25,2576.45,2570.2,2575.25,1541
9/14/2018 2:05:00 PM,2570.05,2571.55,2569.65,2571.05,785
9/14/2018 2:04:00 PM,2573,2573,2570.5,2570.5,423
9/14/2018 2:03:00 PM,2571.8,2573,2570.5,2573,200
9/14/2018 2:02:00 PM,2570,2571.8,2569.75,2571.8,332
9/14/2018 2:01:00 PM,2571,2572.4,2569.7,2569.7,1869
9/14/2018 2:00:00 PM,2571,2572.4,2571,2571,936
9/14/2018 1:59:00 PM,2570.3,2571.75,2570.05,2571,251
9/14/2018 1:58:00 PM,2574.05,2575.45,2570.3,2570.3,880
9/14/2018 1:57:00 PM,2574.8,2575.5,2573.55,2574.05,416
9/14/2018 1:56:00 PM,2575.8,2576.2,2574,2574,1114
9/14/2018 1:55:00 PM,2571,2576.3,2571,2574.65,3610
9/14/2018 1:54:00 PM,2569.95,2571,2569.05,2571,1504
9/14/2018 1:53:00 PM,2568.7,2569,2567.2,2569,1772
9/14/2018 1:52:00 PM,2568.1,2568.7,2565.1,2568.7,2477
9/14/2018 1:51:00 PM,2567.05,2568.8,2566.05,2568.1,1110
9/14/2018 1:50:00 PM,2566.45,2567.7,2565.35,2567,965
9/14/2018 1:49:00 PM,2570,2571,2565.05,2566.35,3712
9/14/2018 1:48:00 PM,2572.3,2572.65,2570,2571.05,1921
9/14/2018 1:47:00 PM,2573.55,2574,2570.15,2571.75,2594
9/14/2018 1:46:00 PM,2575.75,2576.5,2571.25,2573.55,3503
9/14/2018 1:45:00 PM,2578.8,2579.3,2575,2575.75,2760
9/14/2018 1:44:00 PM,2579.4,2581,2578.7,2579.3,231
9/14/2018 1:43:00 PM,2580.25,2581,2578.4,2578.4,1041
9/14/2018 1:42:00 PM,2581,2581,2579.95,2580,351
9/14/2018 1:41:00 PM,2581.5,2581.5,2581,2581,439
9/14/2018 1:40:00 PM,2581,2581.5,2580.9,2581.5,512
9/14/2018 1:39:00 PM,2581.6,2581.7,2580.4,2581,137
9/14/2018 1:38:00 PM,2582.9,2582.95,2580.85,2581,562
9/14/2018 1:37:00 PM,2579.6,2582.9,2579.35,2582.9,1563
9/14/2018 1:36:00 PM,2579.75,2579.75,2578.45,2579,477
9/14/2018 1:35:00 PM,2580,2580.7,2579.05,2579.6,843
9/14/2018 1:34:00 PM,2580,2580.95,2580,2580,229
9/14/2018 1:33:00 PM,2580.9,2581,2580,2580,524
9/14/2018 1:32:00 PM,2581,2581,2580,2580.9,780
9/14/2018 1:31:00 PM,2581.65,2581.65,2580.25,2581,261
9/14/2018 1:30:00 PM,2582.5,2583,2582,2582,634
9/14/2018 1:29:00 PM,2582,2582.5,2581.6,2582,198
9/14/2018 1:28:00 PM,2581.65,2583,2581.3,2582,190
9/14/2018 1:27:00 PM,2581.75,2582,2580,2580.2,276
9/14/2018 1:26:00 PM,2584.8,2584.95,2580.05,2580.25,1048
9/14/2018 1:25:00 PM,2582,2584.95,2581.55,2584.95,1536
9/14/2018 1:24:00 PM,2579.8,2582,2579.8,2581.1,651
9/14/2018 1:23:00 PM,2581,2581,2579.8,2579.8,166
9/14/2018 1:22:00 PM,2579.25,2580,2578.5,2579.95,505
