Date,BANKBARODA-EQ O,BANKBARODA-EQ H,BANKBARODA-EQ L,BANKBARODA-EQ C,BANKBARODA-EQ V
9/14/2018 1:59:00 PM,134.75,134.8,134.7,134.75,79548
9/14/2018 1:58:00 PM,134.75,134.85,134.7,134.75,28336
9/14/2018 1:57:00 PM,134.6,134.85,134.6,134.8,88036
9/14/2018 1:56:00 PM,134.35,134.65,134.35,134.6,96472
9/14/2018 1:55:00 PM,134.35,134.4,134.3,134.35,17944
9/14/2018 1:54:00 PM,134.4,134.4,134.35,134.35,19151
9/14/2018 1:53:00 PM,134.45,134.45,134.35,134.4,28001
9/14/2018 1:52:00 PM,134.5,134.5,134.45,134.45,9457
9/14/2018 1:51:00 PM,134.35,134.5,134.35,134.5,18284
9/14/2018 1:50:00 PM,134.45,134.5,134.35,134.35,34088
9/14/2018 1:49:00 PM,134.45,134.5,134.45,134.5,34749
9/14/2018 1:48:00 PM,134.45,134.5,134.4,134.45,14799
9/14/2018 1:47:00 PM,134.4,134.5,134.35,134.45,4707
9/14/2018 1:46:00 PM,134.35,134.45,134.3,134.4,34905
9/14/2018 1:45:00 PM,134.5,134.5,134.35,134.35,25395
9/14/2018 1:44:00 PM,134.5,134.5,134.45,134.5,26559
9/14/2018 1:43:00 PM,134.5,134.5,134.4,134.45,50052
9/14/2018 1:42:00 PM,134.45,134.45,134.4,134.45,7277
9/14/2018 1:41:00 PM,134.35,134.45,134.35,134.4,5871
9/14/2018 1:40:00 PM,134.35,134.45,134.35,134.35,24354
9/14/2018 1:39:00 PM,134.35,134.45,134.3,134.35,8761
9/14/2018 1:38:00 PM,134.4,134.45,134.3,134.35,22060
9/14/2018 1:37:00 PM,134.2,134.35,134.2,134.3,32344
9/14/2018 1:36:00 PM,134.3,134.45,134.2,134.2,34747
9/14/2018 1:35:00 PM,134.45,134.5,134.3,134.3,62557
9/14/2018 1:34:00 PM,134.5,134.5,134.4,134.4,34720
9/14/2018 1:33:00 PM,134.4,134.55,134.4,134.5,32102
9/14/2018 1:32:00 PM,134.45,134.55,134.4,134.4,43563
9/14/2018 1:31:00 PM,134.45,134.45,134.3,134.45,14008
9/14/2018 1:30:00 PM,134.25,134.4,134.2,134.35,38652
9/14/2018 1:29:00 PM,134.45,134.55,134.25,134.25,98368
9/14/2018 1:28:00 PM,134.4,134.45,134.35,134.45,12007
9/14/2018 1:27:00 PM,134.6,134.6,134.3,134.45,101216
9/14/2018 1:26:00 PM,134.6,134.7,134.6,134.6,4719
9/14/2018 1:25:00 PM,134.7,134.7,134.6,134.6,11543
9/14/2018 1:24:00 PM,134.65,134.7,134.65,134.65,3374
9/14/2018 1:23:00 PM,134.7,134.7,134.6,134.65,13972
9/14/2018 1:22:00 PM,134.6,134.75,134.5,134.7,27966
9/14/2018 1:21:00 PM,134.6,134.7,134.55,134.6,20394
9/14/2018 1:20:00 PM,134.75,134.85,134.6,134.6,24730
9/14/2018 1:19:00 PM,134.6,134.8,134.6,134.75,13330
9/14/2018 1:18:00 PM,134.85,134.85,134.65,134.7,30105
9/14/2018 1:17:00 PM,134.8,134.95,134.65,134.85,66885
9/14/2018 1:16:00 PM,134.9,134.9,134.75,134.8,38971
9/14/2018 1:15:00 PM,134.8,134.9,134.75,134.9,43774
9/14/2018 1:14:00 PM,134.9,134.95,134.8,134.8,59691
9/14/2018 1:13:00 PM,134.9,135.2,134.85,134.95,561438
9/14/2018 1:12:00 PM,135.15,135.2,134.8,134.9,142146
9/14/2018 1:11:00 PM,134.95,135.3,134.95,135.15,786150
9/14/2018 1:10:00 PM,135.05,135.05,134.85,134.95,420896
9/14/2018 1:09:00 PM,134.8,135.15,134.8,135,164084
9/14/2018 1:08:00 PM,134.8,135,134.65,134.8,430600
9/14/2018 1:07:00 PM,134.95,135,134.75,134.75,103315
9/14/2018 1:06:00 PM,134.9,135,134.8,135,23720
9/14/2018 1:05:00 PM,135,135.15,134.9,134.9,60419
9/14/2018 1:04:00 PM,134.8,135,134.8,135,95104
9/14/2018 1:03:00 PM,135.05,135.05,134.85,134.85,139966
9/14/2018 1:02:00 PM,135.15,135.15,134.95,135.05,121813
9/14/2018 1:01:00 PM,135.35,135.45,134.9,134.95,405382
9/14/2018 1:00:00 PM,134.7,135.3,134.7,135.3,190095
9/14/2018 12:59:00 PM,134.65,134.75,134.5,134.7,54066
9/14/2018 12:58:00 PM,134.6,134.7,134.6,134.65,5668
9/14/2018 12:57:00 PM,134.55,134.65,134.5,134.6,42738
9/14/2018 12:56:00 PM,134.6,134.65,134.55,134.55,4394
9/14/2018 12:55:00 PM,134.6,134.7,134.55,134.6,26230
9/14/2018 12:54:00 PM,134.55,134.7,134.55,134.6,6581
9/14/2018 12:53:00 PM,134.6,134.65,134.55,134.6,10833
9/14/2018 12:52:00 PM,134.6,134.65,134.6,134.6,9005
9/14/2018 12:51:00 PM,134.55,134.6,134.5,134.6,3069
9/14/2018 12:50:00 PM,134.6,134.6,134.5,134.55,3230
9/14/2018 12:49:00 PM,134.6,134.6,134.5,134.6,15863
9/14/2018 12:48:00 PM,134.6,134.6,134.5,134.6,29664
9/14/2018 12:47:00 PM,134.6,134.65,134.55,134.6,10977
9/14/2018 12:46:00 PM,134.7,134.7,134.55,134.55,30516
9/14/2018 12:45:00 PM,134.6,134.75,134.6,134.7,18046
9/14/2018 12:44:00 PM,134.7,134.75,134.6,134.65,19591
9/14/2018 12:43:00 PM,134.65,134.7,134.6,134.7,28053
9/14/2018 12:42:00 PM,134.65,134.65,134.55,134.65,10716
9/14/2018 12:41:00 PM,134.55,134.65,134.55,134.65,4281
9/14/2018 12:40:00 PM,134.65,134.65,134.55,134.55,9027
9/14/2018 12:39:00 PM,134.55,134.65,134.55,134.65,5565
9/14/2018 12:38:00 PM,134.6,134.65,134.55,134.55,3042
9/14/2018 12:37:00 PM,134.55,134.65,134.5,134.6,36291
9/14/2018 12:36:00 PM,134.7,134.7,134.55,134.55,26576
9/14/2018 12:35:00 PM,134.7,134.7,134.6,134.7,14650
9/14/2018 12:34:00 PM,134.7,134.75,134.65,134.7,29463
9/14/2018 12:33:00 PM,134.55,134.75,134.55,134.7,82253
9/14/2018 12:32:00 PM,134.5,134.6,134.5,134.6,17129
9/14/2018 12:31:00 PM,134.5,134.55,134.5,134.5,4401
9/14/2018 12:30:00 PM,134.55,134.55,134.45,134.55,14086
9/14/2018 12:29:00 PM,134.55,134.6,134.45,134.45,7108
9/14/2018 12:28:00 PM,134.6,134.65,134.5,134.55,38878
9/14/2018 12:27:00 PM,134.5,134.65,134.5,134.6,31987
9/14/2018 12:26:00 PM,134.6,134.6,134.5,134.5,8925
9/14/2018 12:25:00 PM,134.4,134.7,134.4,134.6,54062
9/14/2018 12:24:00 PM,134.35,134.5,134.35,134.4,7228
9/14/2018 12:23:00 PM,134.45,134.5,134.3,134.35,2585
9/14/2018 12:22:00 PM,134.3,134.5,134.2,134.45,561570
9/14/2018 12:21:00 PM,134.45,134.5,134.3,134.3,69097
9/14/2018 12:20:00 PM,134.6,134.6,134.5,134.55,18274
9/14/2018 12:19:00 PM,134.6,134.65,134.55,134.6,31001
9/14/2018 12:18:00 PM,134.6,134.6,134.55,134.55,3868
9/14/2018 12:17:00 PM,134.55,134.6,134.5,134.6,6747
9/14/2018 12:16:00 PM,134.55,134.6,134.5,134.55,16805
9/14/2018 12:15:00 PM,134.65,134.65,134.5,134.55,82670
9/14/2018 12:14:00 PM,134.65,134.75,134.6,134.65,14760
9/14/2018 12:13:00 PM,134.65,134.7,134.6,134.65,22951
9/14/2018 12:12:00 PM,134.65,134.7,134.6,134.65,6268
9/14/2018 12:11:00 PM,134.65,134.7,134.6,134.65,2623
9/14/2018 12:10:00 PM,134.6,134.75,134.6,134.6,9667
9/14/2018 12:09:00 PM,134.6,134.7,134.6,134.6,9532
9/14/2018 12:08:00 PM,134.65,134.65,134.6,134.65,17188
9/14/2018 12:07:00 PM,134.75,134.75,134.65,134.65,18892
9/14/2018 12:06:00 PM,134.75,134.8,134.7,134.75,23021
9/14/2018 12:05:00 PM,134.75,134.75,134.65,134.75,20568
9/14/2018 12:04:00 PM,134.75,134.8,134.55,134.75,90061
9/14/2018 12:03:00 PM,134.55,134.75,134.45,134.65,61622
9/14/2018 12:02:00 PM,134.4,134.55,134.4,134.55,17956
9/14/2018 12:01:00 PM,134.35,134.4,134.3,134.4,20413
9/14/2018 12:00:00 PM,134.3,134.4,134.3,134.35,2848
9/14/2018 11:59:00 AM,134.4,134.4,134.25,134.3,19746
9/14/2018 11:58:00 AM,134.4,134.4,134.25,134.4,10029
9/14/2018 11:57:00 AM,134.35,134.45,134.3,134.3,4471
9/14/2018 11:56:00 AM,134.15,134.4,134.15,134.35,8344
9/14/2018 11:55:00 AM,134.1,134.2,134.05,134.2,17291
9/14/2018 11:54:00 AM,134.4,134.4,134,134.1,85711
9/14/2018 11:53:00 AM,134.5,134.55,134.35,134.4,21300
9/14/2018 11:52:00 AM,134.45,134.5,134.35,134.5,12702
9/14/2018 11:51:00 AM,134.5,134.6,134.4,134.4,28929
9/14/2018 11:50:00 AM,134.6,134.6,134.5,134.5,13102
9/14/2018 11:49:00 AM,134.5,134.6,134.45,134.6,24869
9/14/2018 11:48:00 AM,134.4,134.5,134.4,134.5,29507
9/14/2018 11:47:00 AM,134.4,134.5,134.35,134.4,9544
9/14/2018 11:46:00 AM,134.3,134.5,134.3,134.4,59279
9/14/2018 11:45:00 AM,134.35,134.35,134.2,134.3,29632
9/14/2018 11:44:00 AM,134.3,134.45,134.3,134.35,10421
9/14/2018 11:43:00 AM,134.2,134.35,134.2,134.35,20802
9/14/2018 11:42:00 AM,134.15,134.25,134.15,134.2,23803
9/14/2018 11:41:00 AM,134.05,134.2,134.05,134.15,35451
9/14/2018 11:40:00 AM,134.25,134.35,134,134.05,108118
9/14/2018 11:39:00 AM,134.5,134.5,134.25,134.25,33126
9/14/2018 11:38:00 AM,134.4,134.5,134.4,134.4,10828
9/14/2018 11:37:00 AM,134.65,134.65,134.4,134.4,30945
9/14/2018 11:36:00 AM,134.55,134.65,134.55,134.65,24683
9/14/2018 11:35:00 AM,134.6,134.65,134.5,134.55,27788
9/14/2018 11:34:00 AM,134.55,134.6,134.5,134.55,40519
9/14/2018 11:33:00 AM,134.3,134.55,134.3,134.55,36494
9/14/2018 11:32:00 AM,134.5,134.55,134.35,134.35,32946
9/14/2018 11:31:00 AM,134.5,134.55,134.45,134.5,4556
9/14/2018 11:30:00 AM,134.5,134.55,134.35,134.5,501570
9/14/2018 11:29:00 AM,134.5,134.55,134.45,134.5,5705
9/14/2018 11:28:00 AM,134.5,134.5,134.4,134.5,3388
9/14/2018 11:27:00 AM,134.55,134.55,134.4,134.5,31818
9/14/2018 11:26:00 AM,134.55,134.55,134.5,134.55,4461
9/14/2018 11:25:00 AM,134.55,134.65,134.45,134.55,13115
9/14/2018 11:24:00 AM,134.45,134.65,134.4,134.5,512746
9/14/2018 11:23:00 AM,134.45,134.5,134.3,134.45,38015
9/14/2018 11:22:00 AM,134.5,134.55,134.45,134.45,4498
9/14/2018 11:21:00 AM,134.6,134.6,134.45,134.5,12015
9/14/2018 11:20:00 AM,134.65,134.65,134.5,134.6,69132
9/14/2018 11:19:00 AM,134.85,134.95,134.4,134.65,152743
9/14/2018 11:18:00 AM,134.5,134.85,134.5,134.85,55081
9/14/2018 11:17:00 AM,134.65,134.7,134.5,134.5,111154
9/14/2018 11:16:00 AM,134.5,134.65,134.5,134.65,44145
9/14/2018 11:15:00 AM,134.3,134.5,134.25,134.5,57601
9/14/2018 11:14:00 AM,134.5,134.5,134.2,134.25,70790
9/14/2018 11:13:00 AM,134.5,134.5,134.45,134.5,11418
9/14/2018 11:12:00 AM,134.55,134.55,134.45,134.5,10930
9/14/2018 11:11:00 AM,134.6,134.65,134.45,134.55,21733
9/14/2018 11:10:00 AM,134.6,134.6,134.45,134.6,36050
9/14/2018 11:09:00 AM,134.85,134.85,134.55,134.6,54101
9/14/2018 11:08:00 AM,134.8,134.8,134.7,134.8,16188
9/14/2018 11:07:00 AM,134.85,134.85,134.75,134.8,24296
9/14/2018 11:06:00 AM,134.65,134.85,134.65,134.85,66278
9/14/2018 11:05:00 AM,134.65,134.8,134.65,134.75,15157
9/14/2018 11:04:00 AM,134.7,134.75,134.65,134.65,12704
9/14/2018 11:03:00 AM,134.6,134.8,134.6,134.7,17267
9/14/2018 11:02:00 AM,134.6,134.7,134.55,134.6,28403
9/14/2018 11:01:00 AM,134.55,134.6,134.5,134.6,27456
9/14/2018 11:00:00 AM,134.5,134.55,134.45,134.5,24598
9/14/2018 10:59:00 AM,134.7,134.7,134.4,134.5,51867
9/14/2018 10:58:00 AM,134.6,134.75,134.55,134.7,23039
9/14/2018 10:57:00 AM,134.6,134.65,134.55,134.6,21899
9/14/2018 10:56:00 AM,134.5,134.6,134.4,134.6,51168
9/14/2018 10:55:00 AM,134.35,134.5,134.25,134.5,33468
9/14/2018 10:54:00 AM,134.3,134.35,134.25,134.35,30785
9/14/2018 10:53:00 AM,134.4,134.4,134.1,134.3,104267
9/14/2018 10:52:00 AM,134.4,134.7,134.25,134.35,101558
9/14/2018 10:51:00 AM,134.85,134.9,134.3,134.35,178587
9/14/2018 10:50:00 AM,134.95,135.05,134.85,134.85,37852
9/14/2018 10:49:00 AM,134.95,135.05,134.9,135,22110
9/14/2018 10:48:00 AM,134.85,135.05,134.85,134.95,22324
9/14/2018 10:47:00 AM,134.8,134.95,134.8,134.9,33848
9/14/2018 10:46:00 AM,134.9,134.95,134.8,134.8,11581
9/14/2018 10:45:00 AM,134.8,134.95,134.7,134.9,32551
9/14/2018 10:44:00 AM,135,135.05,134.8,134.8,27062
9/14/2018 10:43:00 AM,134.9,135.05,134.85,135,28299
9/14/2018 10:42:00 AM,135.05,135.1,134.85,134.9,201392
9/14/2018 10:41:00 AM,135,135.1,134.95,135,158418
9/14/2018 10:40:00 AM,134.95,135.15,134.85,134.95,173694
9/14/2018 10:39:00 AM,134.95,135,134.9,134.95,33450
9/14/2018 10:38:00 AM,135.1,135.1,134.85,134.95,36804
9/14/2018 10:37:00 AM,135,135.1,134.95,135.1,35503
9/14/2018 10:36:00 AM,134.95,135.1,134.9,135,63252
9/14/2018 10:35:00 AM,135.2,135.25,134.9,134.95,88262
9/14/2018 10:34:00 AM,135.25,135.25,135.1,135.2,10713
9/14/2018 10:33:00 AM,135,135.25,135,135.25,18536
9/14/2018 10:32:00 AM,135,135.1,134.9,135,538082
9/14/2018 10:31:00 AM,134.9,135.1,134.9,135,44643
9/14/2018 10:30:00 AM,134.95,134.95,134.7,134.95,102151
9/14/2018 10:29:00 AM,135,135.1,134.9,134.9,37799
9/14/2018 10:28:00 AM,135.4,135.4,135,135,198161
9/14/2018 10:27:00 AM,135.4,135.5,135.2,135.4,62297
9/14/2018 10:26:00 AM,135.35,135.5,135.3,135.4,24122
9/14/2018 10:25:00 AM,135.25,135.4,135.2,135.4,20724
9/14/2018 10:24:00 AM,135.4,135.4,135.2,135.3,16097
9/14/2018 10:23:00 AM,135.3,135.4,135.2,135.4,22230
9/14/2018 10:22:00 AM,135.45,135.45,135.2,135.2,45390
9/14/2018 10:21:00 AM,135.4,135.55,135.4,135.45,17616
9/14/2018 10:20:00 AM,135.4,135.4,135.3,135.4,21532
9/14/2018 10:19:00 AM,135.35,135.4,135.25,135.4,18312
9/14/2018 10:18:00 AM,135.45,135.5,135.3,135.4,38911
9/14/2018 10:17:00 AM,135.45,135.5,135.4,135.5,8603
9/14/2018 10:16:00 AM,135.4,135.6,135.4,135.45,32012
9/14/2018 10:15:00 AM,135.45,135.5,135.4,135.4,10620
9/14/2018 10:14:00 AM,135.4,135.55,135.3,135.45,64054
9/14/2018 10:13:00 AM,135.6,135.6,135.55,135.55,32087
9/14/2018 10:12:00 AM,135.65,135.7,135.5,135.6,19421
9/14/2018 10:11:00 AM,135.8,135.85,135.5,135.65,26494
9/14/2018 10:10:00 AM,135.85,135.9,135.7,135.8,20182
9/14/2018 10:09:00 AM,135.95,135.95,135.8,135.85,12391
9/14/2018 10:08:00 AM,135.95,135.95,135.9,135.95,33318
9/14/2018 10:07:00 AM,135.8,135.95,135.75,135.95,27937
9/14/2018 10:06:00 AM,135.8,135.9,135.7,135.85,36441
9/14/2018 10:05:00 AM,135.85,135.9,135.75,135.85,21695
9/14/2018 10:04:00 AM,135.65,135.85,135.65,135.85,64715
9/14/2018 10:03:00 AM,135.7,135.75,135.5,135.75,14742
9/14/2018 10:02:00 AM,135.55,135.7,135.5,135.7,27427
9/14/2018 10:01:00 AM,135.75,135.8,135.5,135.55,39979
9/14/2018 10:00:00 AM,135.65,135.8,135.6,135.75,30331
9/14/2018 9:59:00 AM,135.45,135.65,135.4,135.65,17618
9/14/2018 9:58:00 AM,135.55,135.55,135.4,135.45,40829
9/14/2018 9:57:00 AM,135.55,135.65,135.5,135.5,20609
9/14/2018 9:56:00 AM,135.5,135.65,135.4,135.55,34870
9/14/2018 9:55:00 AM,135.35,135.5,135.2,135.5,46919
9/14/2018 9:54:00 AM,135.35,135.45,135.25,135.35,84967
9/14/2018 9:53:00 AM,135.55,135.6,135.35,135.4,54270
9/14/2018 9:52:00 AM,135.65,135.65,135.45,135.6,43988
9/14/2018 9:51:00 AM,135.6,135.7,135.5,135.65,38535
9/14/2018 9:50:00 AM,135.6,135.65,135.4,135.55,69440
9/14/2018 9:49:00 AM,135.85,135.85,135.5,135.6,96152
