Date,NIFTY18OCT11600PE O,NIFTY18OCT11600PE H,NIFTY18OCT11600PE L,NIFTY18OCT11600PE C,NIFTY18OCT11600PE V
9/14/2018 3:29:00 PM,194.75,199.3,193.55,194.05,1350
9/14/2018 3:28:00 PM,192.05,194.75,192.05,194.75,1575
9/14/2018 3:27:00 PM,190.75,192.05,190.75,192.05,450
9/14/2018 3:26:00 PM,191.55,191.9,190.7,190.75,1875
9/14/2018 3:25:00 PM,193.4,193.4,191.55,191.55,1650
9/14/2018 3:24:00 PM,190.7,193.4,190.6,193.4,450
9/14/2018 3:23:00 PM,192.8,193.6,190.7,190.7,525
9/14/2018 3:22:00 PM,190.5,192.8,190.5,192.8,450
9/14/2018 3:21:00 PM,191,191,190.5,190.5,75
9/14/2018 3:20:00 PM,191,191,191,191,0
9/14/2018 3:19:00 PM,191,191,190,191,2775
9/14/2018 3:18:00 PM,192.5,192.5,190.55,191,750
9/14/2018 3:17:00 PM,191,192.8,191,192.5,1950
9/14/2018 3:16:00 PM,191.65,193.3,191,191,3675
9/14/2018 3:15:00 PM,191.75,193.1,191.65,191.65,450
9/14/2018 3:14:00 PM,191.7,193,191.5,191.75,825
9/14/2018 3:13:00 PM,194.1,194.1,191.7,191.7,2850
9/14/2018 3:12:00 PM,192,194.1,191.65,194.1,3525
9/14/2018 3:11:00 PM,193.65,194.7,192,192,4950
9/14/2018 3:10:00 PM,194.7,194.85,193.2,193.65,1275
9/14/2018 3:09:00 PM,191.3,194.7,191.3,194.7,2400
9/14/2018 3:08:00 PM,191.65,192,191.3,191.3,3225
9/14/2018 3:07:00 PM,194.05,194.9,191.65,191.65,1425
9/14/2018 3:06:00 PM,196.7,196.7,193,194.05,1875
9/14/2018 3:05:00 PM,194,196.7,193.1,196.7,2325
9/14/2018 3:04:00 PM,190,194,190,194,825
9/14/2018 3:03:00 PM,193.7,193.7,190,190,150
9/14/2018 3:02:00 PM,199.45,199.45,193.7,193.7,525
9/14/2018 3:01:00 PM,202.8,202.8,199.45,199.45,75
9/14/2018 3:00:00 PM,208.75,208.75,201,202.8,1200
9/14/2018 2:59:00 PM,208,208.75,207.55,208.75,225
9/14/2018 2:58:00 PM,207.1,208,207.1,208,75
9/14/2018 2:57:00 PM,208.25,208.25,207.1,207.1,150
9/14/2018 2:56:00 PM,208.95,208.95,208.25,208.25,525
9/14/2018 2:55:00 PM,211.1,212,208.95,208.95,825
9/14/2018 2:54:00 PM,210.9,211.1,210.4,211.1,600
9/14/2018 2:53:00 PM,211.5,211.5,209.05,210.9,300
9/14/2018 2:52:00 PM,210,211.5,210,211.5,675
9/14/2018 2:51:00 PM,208.5,210,208.5,210,75
9/14/2018 2:50:00 PM,206.95,208.5,206.95,208.5,75
9/14/2018 2:49:00 PM,207.55,208.75,206.95,206.95,525
9/14/2018 2:48:00 PM,209.8,209.8,206.6,207.55,750
9/14/2018 2:47:00 PM,208.2,209.8,208.1,209.8,2250
9/14/2018 2:46:00 PM,208.2,208.2,208.2,208.2,0
9/14/2018 2:45:00 PM,208.2,208.2,208.2,208.2,0
9/14/2018 2:44:00 PM,208.2,208.2,208.2,208.2,0
9/14/2018 2:43:00 PM,208.2,208.2,208.2,208.2,0
9/14/2018 2:42:00 PM,208,208.2,207,208.2,150
9/14/2018 2:41:00 PM,210.05,210.05,208,208,1125
9/14/2018 2:40:00 PM,210.7,210.7,210.05,210.05,225
9/14/2018 2:39:00 PM,210.65,210.7,210.65,210.7,150
9/14/2018 2:38:00 PM,210.65,210.65,210.65,210.65,0
9/14/2018 2:37:00 PM,211,211,210.65,210.65,150
9/14/2018 2:36:00 PM,210.6,211,210,211,150
9/14/2018 2:35:00 PM,212,212,210.6,210.6,150
9/14/2018 2:34:00 PM,213.9,213.9,212,212,750
9/14/2018 2:33:00 PM,211.75,213.9,208.75,213.9,675
9/14/2018 2:32:00 PM,208.75,211.75,208.75,211.75,900
