Date,YESBANK-EQ O,YESBANK-EQ H,YESBANK-EQ L,YESBANK-EQ C,YESBANK-EQ V
9/14/2018 1:58:00 PM,325.5,325.5,325.3,325.4,12800
9/14/2018 1:57:00 PM,325.55,325.55,325.25,325.3,42436
9/14/2018 1:56:00 PM,325.45,325.85,325.35,325.5,61830
9/14/2018 1:55:00 PM,325.85,325.85,325.2,325.4,110032
9/14/2018 1:54:00 PM,326,326.05,325.75,325.75,29595
9/14/2018 1:53:00 PM,325.85,326,325.8,325.9,33399
9/14/2018 1:52:00 PM,326.25,326.4,326.05,326.1,23345
9/14/2018 1:51:00 PM,326,326.25,325.9,326.15,32642
9/14/2018 1:50:00 PM,325.85,326,325.8,326,17665
9/14/2018 1:49:00 PM,326.15,326.15,325.8,325.85,61490
9/14/2018 1:48:00 PM,326.2,326.3,326.1,326.15,32558
9/14/2018 1:47:00 PM,326.3,326.4,326.1,326.2,22427
9/14/2018 1:46:00 PM,326.25,326.35,326.1,326.3,15205
9/14/2018 1:45:00 PM,326.35,326.45,326.1,326.25,28209
9/14/2018 1:44:00 PM,326.55,326.6,326.15,326.25,37838
9/14/2018 1:43:00 PM,326.35,326.5,326.25,326.4,34142
9/14/2018 1:42:00 PM,326.55,326.55,326.2,326.25,28471
9/14/2018 1:41:00 PM,326.8,326.85,326.5,326.55,28078
9/14/2018 1:40:00 PM,327,327.1,327,327.05,25867
9/14/2018 1:39:00 PM,326.8,327.15,326.8,327.1,21931
9/14/2018 1:38:00 PM,327.6,327.6,326.75,326.8,79541
9/14/2018 1:37:00 PM,326.8,327.5,326.8,327.45,92759
9/14/2018 1:36:00 PM,326.75,326.85,326.7,326.85,21102
9/14/2018 1:35:00 PM,326.75,326.85,326.6,326.8,16452
9/14/2018 1:34:00 PM,326.35,326.9,326.35,326.6,55671
9/14/2018 1:33:00 PM,326.2,326.4,326.2,326.35,27813
9/14/2018 1:32:00 PM,326.2,326.3,326.1,326.1,20208
9/14/2018 1:31:00 PM,326,326.4,325.75,326.25,63020
9/14/2018 1:30:00 PM,325.6,326,325.5,325.95,43828
9/14/2018 1:29:00 PM,326.25,326.25,325.5,325.5,61340
9/14/2018 1:28:00 PM,326.2,326.35,326.05,326.25,77754
9/14/2018 1:27:00 PM,326.4,326.4,326.1,326.15,27560
9/14/2018 1:26:00 PM,326.4,326.45,326.3,326.35,34794
9/14/2018 1:25:00 PM,326.4,326.45,326.4,326.4,35627
9/14/2018 1:24:00 PM,326.75,326.75,326.2,326.4,78776
9/14/2018 1:23:00 PM,326.85,326.9,326.6,326.6,17797
9/14/2018 1:22:00 PM,326.75,326.9,326.55,326.8,58711
9/14/2018 1:21:00 PM,326.9,327,326.75,326.75,44444
9/14/2018 1:20:00 PM,327.1,327.25,326.8,326.8,51541
9/14/2018 1:19:00 PM,326.85,327.2,326.7,327.2,81954
9/14/2018 1:18:00 PM,326.9,326.9,326.75,326.9,39201
9/14/2018 1:17:00 PM,326.9,326.95,326.6,326.75,56410
9/14/2018 1:16:00 PM,327.25,327.35,326.65,326.9,104334
9/14/2018 1:15:00 PM,327.4,327.45,327.1,327.15,69252
9/14/2018 1:14:00 PM,328,328.05,327.4,327.45,58013
9/14/2018 1:13:00 PM,327.75,328.15,327.75,328,54541
9/14/2018 1:12:00 PM,328.15,328.2,327.7,327.75,91316
9/14/2018 1:11:00 PM,328.3,328.4,328.05,328.05,82342
9/14/2018 1:10:00 PM,328.3,328.5,328.25,328.35,94628
9/14/2018 1:09:00 PM,327.9,328.45,327.9,328.25,170918
9/14/2018 1:08:00 PM,327.8,328,327.8,327.95,46432
9/14/2018 1:07:00 PM,327.8,327.9,327.75,327.9,64988
9/14/2018 1:06:00 PM,327.85,327.95,327.75,327.8,29179
9/14/2018 1:05:00 PM,327.7,328,327.7,327.85,86528
9/14/2018 1:04:00 PM,327.75,327.8,327.65,327.7,69336
9/14/2018 1:03:00 PM,327.95,328,327.75,327.75,75010
9/14/2018 1:02:00 PM,327.75,328,327.55,327.95,92243
9/14/2018 1:01:00 PM,327.95,328,327.7,327.75,101536
9/14/2018 1:00:00 PM,328,328,327.9,328,145499
9/14/2018 12:59:00 PM,328,328,327.8,327.95,130908
9/14/2018 12:58:00 PM,327.5,328.3,327.5,327.95,515645
9/14/2018 12:57:00 PM,327.1,327.45,327.1,327.4,137587
9/14/2018 12:56:00 PM,326.95,327.15,326.9,327.15,141106
9/14/2018 12:55:00 PM,326.7,327,326.65,326.95,51702
9/14/2018 12:54:00 PM,326.5,326.9,326.45,326.8,72494
9/14/2018 12:53:00 PM,326.65,326.9,326.45,326.5,62409
9/14/2018 12:52:00 PM,327.2,327.25,326.65,326.85,162776
9/14/2018 12:51:00 PM,327.2,327.4,327,327.2,177462
9/14/2018 12:50:00 PM,326.1,327.15,326.1,327.15,307812
9/14/2018 12:49:00 PM,325.75,326.2,325.75,326.1,76934
9/14/2018 12:48:00 PM,325.7,325.85,325.7,325.75,31398
9/14/2018 12:47:00 PM,325.6,325.9,325.55,325.7,42050
9/14/2018 12:46:00 PM,325.6,325.6,325.45,325.6,25710
9/14/2018 12:45:00 PM,325.7,325.7,325.5,325.55,18323
9/14/2018 12:44:00 PM,325.8,325.95,325.6,325.7,18922
9/14/2018 12:43:00 PM,325.6,325.95,325.6,325.9,31250
9/14/2018 12:42:00 PM,325.55,325.65,325.35,325.55,32199
9/14/2018 12:41:00 PM,325.9,326,325.45,325.5,40867
9/14/2018 12:40:00 PM,326,326.1,325.9,325.95,53426
9/14/2018 12:39:00 PM,325.45,326.5,325.45,325.95,209432
9/14/2018 12:38:00 PM,325.1,325.5,325,325.5,90766
9/14/2018 12:37:00 PM,325.05,325.15,325,325,43199
9/14/2018 12:36:00 PM,325.35,325.35,325.05,325.05,23746
9/14/2018 12:35:00 PM,325.35,325.35,325.25,325.3,27059
9/14/2018 12:34:00 PM,325.1,325.4,325,325.25,35830
9/14/2018 12:33:00 PM,324.85,325.15,324.85,325.1,56547
9/14/2018 12:32:00 PM,324.85,325,324.85,324.9,15660
9/14/2018 12:31:00 PM,325.2,325.25,324.8,324.9,53629
9/14/2018 12:30:00 PM,324.75,325.2,324.7,325.2,53267
9/14/2018 12:29:00 PM,324.65,324.8,324.6,324.7,19463
9/14/2018 12:28:00 PM,324.6,325,324.5,324.6,208844
9/14/2018 12:27:00 PM,324.3,324.7,324.3,324.5,50986
9/14/2018 12:26:00 PM,324.3,324.5,324.25,324.3,35525
9/14/2018 12:25:00 PM,324.2,324.3,324.1,324.3,20730
9/14/2018 12:24:00 PM,324,324.25,324,324.25,14307
9/14/2018 12:23:00 PM,324.2,324.2,324,324,14414
9/14/2018 12:22:00 PM,324.25,324.3,324.05,324.1,26258
9/14/2018 12:21:00 PM,324.1,324.3,324.1,324.25,21702
9/14/2018 12:20:00 PM,324,324.2,324,324.15,24964
9/14/2018 12:19:00 PM,324.1,324.15,324,324.1,28146
9/14/2018 12:18:00 PM,324.05,324.1,324,324.1,15195
9/14/2018 12:17:00 PM,324.15,324.2,324,324.05,30140
9/14/2018 12:16:00 PM,324,324.3,324,324.05,25999
9/14/2018 12:15:00 PM,323.9,324.1,323.9,324,30381
9/14/2018 12:14:00 PM,323.95,324.05,323.9,323.9,28298
9/14/2018 12:13:00 PM,323.7,324,323.65,323.8,30535
9/14/2018 12:12:00 PM,323.7,323.75,323.65,323.7,20259
9/14/2018 12:11:00 PM,323.7,323.95,323.65,323.7,29072
9/14/2018 12:10:00 PM,323.8,323.85,323.65,323.75,27026
9/14/2018 12:09:00 PM,323.9,323.95,323.75,323.75,48465
9/14/2018 12:08:00 PM,324.2,324.2,323.9,323.9,42237
9/14/2018 12:07:00 PM,324.45,324.5,324.2,324.25,37793
9/14/2018 12:06:00 PM,324.3,324.5,324.3,324.45,28720
9/14/2018 12:05:00 PM,324.3,324.45,324.2,324.3,37069
9/14/2018 12:04:00 PM,324.3,324.3,324.2,324.2,14928
9/14/2018 12:03:00 PM,324.35,324.35,324.2,324.25,18424
9/14/2018 12:02:00 PM,324.2,324.35,324.1,324.25,15246
9/14/2018 12:01:00 PM,324,324.3,323.95,324.1,21277
9/14/2018 12:00:00 PM,324.05,324.25,323.95,324,44467
9/14/2018 11:59:00 AM,324,324.15,323.9,324.15,20322
9/14/2018 11:58:00 AM,323.9,324,323.85,324,16674
9/14/2018 11:57:00 AM,324,324.15,323.95,324,39431
9/14/2018 11:56:00 AM,323.8,324,323.7,323.95,18596
9/14/2018 11:55:00 AM,323.7,323.8,323.65,323.7,35602
9/14/2018 11:54:00 AM,324.1,324.15,323.65,323.8,45717
9/14/2018 11:53:00 AM,324.15,324.2,324.05,324.1,18327
9/14/2018 11:52:00 AM,324.2,324.3,324.1,324.15,14910
9/14/2018 11:51:00 AM,324.6,324.6,324.1,324.15,41446
9/14/2018 11:50:00 AM,324.75,324.75,324.4,324.5,44799
9/14/2018 11:49:00 AM,324.3,324.9,324.25,324.9,35568
9/14/2018 11:48:00 AM,324.05,324.4,324.05,324.25,28845
9/14/2018 11:47:00 AM,324.25,324.25,323.85,324.05,60243
9/14/2018 11:46:00 AM,324.05,324.25,324,324.25,24937
9/14/2018 11:45:00 AM,324.4,324.4,324.05,324.05,37255
9/14/2018 11:44:00 AM,324.55,324.6,324.2,324.4,40367
9/14/2018 11:43:00 AM,323.25,324.7,323.25,324.35,151530
9/14/2018 11:42:00 AM,323.4,323.55,323.2,323.25,58920
9/14/2018 11:41:00 AM,323.55,323.7,323.3,323.45,86260
9/14/2018 11:40:00 AM,323.85,323.85,323.55,323.55,58310
9/14/2018 11:39:00 AM,324.05,324.15,323.85,323.85,42253
9/14/2018 11:38:00 AM,323.9,324.05,323.8,324,91482
9/14/2018 11:37:00 AM,324,324.1,323.8,323.9,36344
9/14/2018 11:36:00 AM,324.1,324.15,323.9,324,39707
9/14/2018 11:35:00 AM,324.2,324.25,324,324.05,31147
9/14/2018 11:34:00 AM,324,324.3,323.95,324.2,40815
9/14/2018 11:33:00 AM,323.85,324.15,323.8,324,61891
9/14/2018 11:32:00 AM,323.85,324,323.75,323.85,39673
9/14/2018 11:31:00 AM,323.9,323.95,323.6,323.75,89018
9/14/2018 11:30:00 AM,324.2,324.2,323.85,323.95,99011
9/14/2018 11:29:00 AM,324.65,324.65,324.15,324.15,71892
