Date,TCS-EQ O,TCS-EQ H,TCS-EQ L,TCS-EQ C,TCS-EQ V
9/14/2018 2:06:00 PM,2037.05,2037.9,2037.05,2037.7,6798
9/14/2018 2:05:00 PM,2037.05,2037.05,2037,2037,3136
9/14/2018 2:04:00 PM,2037.1,2037.1,2036.7,2037.05,9003
9/14/2018 2:03:00 PM,2037.1,2037.1,2037.05,2037.05,3309
9/14/2018 2:02:00 PM,2037.05,2037.1,2037.05,2037.1,3172
9/14/2018 2:01:00 PM,2037,2037.05,2037,2037,4230
9/14/2018 2:00:00 PM,2036.8,2037.1,2036.8,2037,4340
9/14/2018 1:59:00 PM,2037.15,2037.2,2036.8,2036.8,3977
9/14/2018 1:58:00 PM,2037.1,2037.2,2037.05,2037.1,3876
9/14/2018 1:57:00 PM,2037,2037.15,2037,2037.1,3563
9/14/2018 1:56:00 PM,2036.85,2037.15,2036.65,2037,5731
9/14/2018 1:55:00 PM,2037.5,2037.55,2036.4,2036.7,3810
9/14/2018 1:54:00 PM,2036.95,2037.9,2036.9,2037.5,5559
9/14/2018 1:53:00 PM,2036.8,2036.95,2036.8,2036.9,3191
9/14/2018 1:52:00 PM,2037.1,2037.2,2036.8,2036.8,3591
9/14/2018 1:51:00 PM,2037.7,2037.85,2037.05,2037.1,6451
9/14/2018 1:50:00 PM,2036.55,2037.75,2036.5,2037.7,6713
9/14/2018 1:49:00 PM,2036.3,2036.55,2036.3,2036.55,4010
9/14/2018 1:48:00 PM,2035.6,2036.5,2035.6,2036.3,6052
9/14/2018 1:47:00 PM,2035.55,2035.55,2035.5,2035.55,3312
9/14/2018 1:46:00 PM,2035.6,2035.6,2035.1,2035.5,5028
9/14/2018 1:45:00 PM,2035.8,2035.8,2035.55,2035.6,5432
9/14/2018 1:44:00 PM,2035.55,2035.8,2035.45,2035.65,5663
9/14/2018 1:43:00 PM,2035.5,2035.6,2035.5,2035.5,4084
9/14/2018 1:42:00 PM,2035.5,2035.6,2035.05,2035.5,5961
9/14/2018 1:41:00 PM,2035,2036,2035,2035.5,14267
9/14/2018 1:40:00 PM,2035.5,2035.55,2034.75,2035,13766
9/14/2018 1:39:00 PM,2035.5,2035.6,2035.2,2035.5,4611
9/14/2018 1:38:00 PM,2035.55,2035.6,2035.45,2035.5,3352
9/14/2018 1:37:00 PM,2035.15,2035.65,2035.1,2035.55,8326
9/14/2018 1:36:00 PM,2035.7,2035.7,2035.2,2035.2,3695
9/14/2018 1:35:00 PM,2035.5,2035.9,2034.55,2035.4,12516
9/14/2018 1:34:00 PM,2035.5,2035.55,2035.5,2035.5,4700
9/14/2018 1:33:00 PM,2035.5,2035.6,2035,2035.5,11272
9/14/2018 1:32:00 PM,2035.6,2035.7,2035.05,2035.5,8431
9/14/2018 1:31:00 PM,2035.35,2035.6,2035.3,2035.55,7644
9/14/2018 1:30:00 PM,2035,2035.45,2035,2035.35,5170
9/14/2018 1:29:00 PM,2035,2035.05,2034.95,2035,5860
