Date,USDINR18OCT72CE O,USDINR18OCT72CE H,USDINR18OCT72CE L,USDINR18OCT72CE C,USDINR18OCT72CE V
9/14/2018 4:59:00 PM,0.875,0.875,0.86,0.86,1
9/14/2018 4:58:00 PM,0.88,0.88,0.8725,0.875,6
9/14/2018 4:57:00 PM,0.88,0.88,0.88,0.88,0
9/14/2018 4:56:00 PM,0.865,0.8925,0.865,0.88,345
9/14/2018 4:55:00 PM,0.865,0.865,0.865,0.865,0
9/14/2018 4:54:00 PM,0.865,0.865,0.865,0.865,0
9/14/2018 4:53:00 PM,0.865,0.865,0.865,0.865,0
9/14/2018 4:52:00 PM,0.865,0.865,0.865,0.865,0
9/14/2018 4:51:00 PM,0.865,0.865,0.865,0.865,0
9/14/2018 4:50:00 PM,0.865,0.865,0.865,0.865,0
9/14/2018 4:49:00 PM,0.865,0.865,0.865,0.865,0
9/14/2018 4:48:00 PM,0.865,0.865,0.865,0.865,0
9/14/2018 4:47:00 PM,0.865,0.865,0.865,0.865,0
9/14/2018 4:46:00 PM,0.865,0.865,0.865,0.865,0
9/14/2018 4:45:00 PM,0.865,0.865,0.865,0.865,0
9/14/2018 4:44:00 PM,0.865,0.865,0.865,0.865,0
9/14/2018 4:43:00 PM,0.855,0.865,0.855,0.865,340
9/14/2018 4:42:00 PM,0.855,0.855,0.855,0.855,6
9/14/2018 4:41:00 PM,0.8475,0.855,0.8475,0.855,17
9/14/2018 4:40:00 PM,0.8475,0.8475,0.8475,0.8475,10
9/14/2018 4:39:00 PM,0.835,0.835,0.835,0.835,0
9/14/2018 4:38:00 PM,0.835,0.835,0.835,0.835,0
9/14/2018 4:37:00 PM,0.835,0.835,0.835,0.835,0
9/14/2018 4:36:00 PM,0.84,0.84,0.835,0.835,1
9/14/2018 4:35:00 PM,0.84,0.84,0.84,0.84,0
9/14/2018 4:34:00 PM,0.84,0.84,0.84,0.84,0
9/14/2018 4:33:00 PM,0.84,0.84,0.84,0.84,0
9/14/2018 4:32:00 PM,0.84,0.84,0.84,0.84,0
9/14/2018 4:31:00 PM,0.84,0.84,0.84,0.84,0
9/14/2018 4:30:00 PM,0.85,0.85,0.84,0.84,2
9/14/2018 4:29:00 PM,0.85,0.85,0.85,0.85,0
9/14/2018 4:28:00 PM,0.85,0.85,0.85,0.85,0
9/14/2018 4:27:00 PM,0.85,0.85,0.85,0.85,0
9/14/2018 4:26:00 PM,0.85,0.85,0.85,0.85,0
9/14/2018 4:25:00 PM,0.85,0.85,0.85,0.85,0
9/14/2018 4:24:00 PM,0.85,0.85,0.85,0.85,0
9/14/2018 4:23:00 PM,0.85,0.85,0.85,0.85,50
9/14/2018 4:22:00 PM,0.855,0.855,0.85,0.85,57
9/14/2018 4:21:00 PM,0.865,0.865,0.865,0.865,0
9/14/2018 4:20:00 PM,0.865,0.865,0.865,0.865,0
9/14/2018 4:19:00 PM,0.865,0.865,0.865,0.865,0
9/14/2018 4:18:00 PM,0.92,0.92,0.865,0.865,77
9/14/2018 4:17:00 PM,0.92,0.92,0.92,0.92,0
9/14/2018 4:16:00 PM,0.92,0.92,0.92,0.92,0
9/14/2018 4:15:00 PM,0.92,0.92,0.92,0.92,0
9/14/2018 4:14:00 PM,0.92,0.92,0.92,0.92,0
9/14/2018 4:13:00 PM,0.92,0.92,0.92,0.92,0
9/14/2018 4:12:00 PM,0.9075,0.92,0.9075,0.92,40
9/14/2018 4:11:00 PM,0.885,0.9075,0.885,0.9075,1000
9/14/2018 4:10:00 PM,0.885,0.885,0.885,0.885,0
9/14/2018 4:09:00 PM,0.885,0.885,0.885,0.885,0
9/14/2018 4:08:00 PM,0.885,0.885,0.885,0.885,0
9/14/2018 4:07:00 PM,0.9,0.9,0.885,0.885,40
9/14/2018 4:06:00 PM,0.9,0.9,0.9,0.9,0
9/14/2018 4:05:00 PM,0.89,0.9,0.89,0.9,3
9/14/2018 4:04:00 PM,0.9,0.9,0.89,0.89,5
9/14/2018 4:03:00 PM,0.9,0.9,0.9,0.9,0
9/14/2018 4:02:00 PM,0.9,0.9,0.9,0.9,0
9/14/2018 4:01:00 PM,0.91,0.91,0.9,0.9,21
9/14/2018 4:00:00 PM,0.905,0.905,0.905,0.905,0
9/14/2018 3:59:00 PM,0.905,0.905,0.905,0.905,0
9/14/2018 3:58:00 PM,0.905,0.905,0.905,0.905,0
9/14/2018 3:57:00 PM,0.905,0.905,0.905,0.905,0
9/14/2018 3:56:00 PM,0.905,0.905,0.905,0.905,0
9/14/2018 3:55:00 PM,0.92,0.92,0.905,0.905,200
9/14/2018 3:54:00 PM,0.92,0.92,0.92,0.92,0
9/14/2018 3:53:00 PM,0.92,0.92,0.92,0.92,0
9/14/2018 3:52:00 PM,0.92,0.92,0.92,0.92,0
9/14/2018 3:51:00 PM,0.92,0.92,0.92,0.92,0
9/14/2018 3:50:00 PM,0.92,0.92,0.92,0.92,0
