Date,NIFTY18OCT11800PE O,NIFTY18OCT11800PE H,NIFTY18OCT11800PE L,NIFTY18OCT11800PE C,NIFTY18OCT11800PE V
9/14/2018 3:29:00 PM,305.05,311.05,304.9,311.05,450
9/14/2018 3:28:00 PM,296.55,305.05,296.55,305.05,450
9/14/2018 3:27:00 PM,296.55,296.55,296.55,296.55,0
9/14/2018 3:26:00 PM,296.55,296.55,296.55,296.55,0
9/14/2018 3:25:00 PM,296.55,296.55,296.55,296.55,0
9/14/2018 3:24:00 PM,296.55,296.55,296.55,296.55,0
9/14/2018 3:23:00 PM,296.55,296.55,296.55,296.55,0
9/14/2018 3:22:00 PM,296.55,296.55,296.55,296.55,0
9/14/2018 3:21:00 PM,296.55,296.55,296.55,296.55,0
9/14/2018 3:20:00 PM,296.55,296.55,296.55,296.55,0
9/14/2018 3:19:00 PM,296.55,296.55,296.55,296.55,0
9/14/2018 3:18:00 PM,302.55,302.55,296.55,296.55,150
9/14/2018 3:17:00 PM,303.9,303.9,303.9,303.9,0
9/14/2018 3:16:00 PM,303.1,303.9,303.1,303.9,75
9/14/2018 3:15:00 PM,303.1,303.1,303.1,303.1,0
9/14/2018 3:14:00 PM,303.1,303.1,303.1,303.1,0
9/14/2018 3:13:00 PM,303.1,303.1,303.1,303.1,0
9/14/2018 3:12:00 PM,303.1,303.1,303.1,303.1,0
9/14/2018 3:11:00 PM,303.1,303.1,303.1,303.1,0
9/14/2018 3:10:00 PM,297.3,303.1,297.3,303.1,75
9/14/2018 3:09:00 PM,297.3,297.3,297.3,297.3,0
9/14/2018 3:08:00 PM,297.3,297.3,297.3,297.3,0
9/14/2018 3:07:00 PM,302.45,302.45,297.3,297.3,75
9/14/2018 3:06:00 PM,302.45,302.45,302.45,302.45,0
9/14/2018 3:05:00 PM,301.25,303,300,302.45,525
9/14/2018 3:04:00 PM,301.25,301.25,301.25,301.25,0
9/14/2018 3:03:00 PM,305.05,305.05,301.25,301.25,75
9/14/2018 3:02:00 PM,305.05,305.05,305.05,305.05,0
9/14/2018 3:01:00 PM,314.55,314.55,305.05,305.05,375
9/14/2018 3:00:00 PM,319.2,319.4,314.55,314.55,375
9/14/2018 2:59:00 PM,319.2,319.2,319.2,319.2,0
9/14/2018 2:58:00 PM,319.2,319.2,319.2,319.2,0
9/14/2018 2:57:00 PM,322,322,319.2,319.2,375
9/14/2018 2:56:00 PM,321.35,322,321.35,322,75
9/14/2018 2:55:00 PM,321.35,321.35,321.35,321.35,0
9/14/2018 2:54:00 PM,320.5,321.35,320.5,321.35,75
9/14/2018 2:53:00 PM,321.5,321.5,320.5,320.5,450
9/14/2018 2:52:00 PM,321.3,322.9,321.1,321.5,375
9/14/2018 2:51:00 PM,321.3,321.3,321.3,321.3,0
9/14/2018 2:50:00 PM,318,321.3,318,321.3,75
9/14/2018 2:49:00 PM,318.05,319.05,318,318,150
9/14/2018 2:48:00 PM,318.7,318.7,318.05,318.05,75
9/14/2018 2:47:00 PM,318.7,318.7,318.7,318.7,0
9/14/2018 2:46:00 PM,318,318.7,318,318.7,75
9/14/2018 2:45:00 PM,318,318,318,318,0
9/14/2018 2:44:00 PM,315.85,318,315.85,318,75
9/14/2018 2:43:00 PM,315.85,315.85,315.85,315.85,0
9/14/2018 2:42:00 PM,326.7,326.7,315.85,315.85,75
9/14/2018 2:41:00 PM,326.7,326.7,326.7,326.7,0
9/14/2018 2:40:00 PM,326.7,326.7,326.7,326.7,0
9/14/2018 2:39:00 PM,326.7,326.7,326.7,326.7,0
9/14/2018 2:38:00 PM,326.7,326.7,326.7,326.7,0
9/14/2018 2:37:00 PM,326.55,326.7,326.55,326.7,75
9/14/2018 2:36:00 PM,326.55,326.55,326.55,326.55,0
9/14/2018 2:35:00 PM,326.55,326.55,326.55,326.55,0
9/14/2018 2:34:00 PM,325.85,326.55,325.85,326.55,2100
9/14/2018 2:33:00 PM,325.85,325.85,325.85,325.85,0
9/14/2018 2:32:00 PM,325.85,325.85,325.85,325.85,0
9/14/2018 2:31:00 PM,325.85,325.85,325.85,325.85,0
9/14/2018 2:30:00 PM,325.85,325.85,325.85,325.85,0
9/14/2018 2:29:00 PM,325.85,325.85,325.85,325.85,0
9/14/2018 2:28:00 PM,325.85,325.85,325.85,325.85,0
9/14/2018 2:27:00 PM,325.85,325.85,325.85,325.85,0
9/14/2018 2:26:00 PM,325.85,325.85,325.85,325.85,0
9/14/2018 2:25:00 PM,325.85,325.85,325.85,325.85,0
9/14/2018 2:24:00 PM,320,326.8,320,325.85,525
9/14/2018 2:23:00 PM,320,320,320,320,0
9/14/2018 2:22:00 PM,320,320,320,320,0
9/14/2018 2:21:00 PM,320,320,320,320,0
9/14/2018 2:20:00 PM,320,320,320,320,0
9/14/2018 2:19:00 PM,320,320,320,320,0
9/14/2018 2:18:00 PM,316.15,320,316.15,320,150
9/14/2018 2:17:00 PM,319.35,319.35,316.15,316.15,75
9/14/2018 2:16:00 PM,320.4,320.4,319.35,319.35,150
9/14/2018 2:15:00 PM,320.4,320.4,320.4,320.4,0
9/14/2018 2:14:00 PM,323,325.5,320.4,320.4,150
9/14/2018 2:13:00 PM,323,323,323,323,0
9/14/2018 2:12:00 PM,323,323,323,323,75
9/14/2018 2:11:00 PM,323,323,323,323,0
9/14/2018 2:10:00 PM,321.85,323,321.85,323,75
9/14/2018 2:09:00 PM,321.85,321.85,321.85,321.85,0
9/14/2018 2:08:00 PM,321.85,321.85,321.85,321.85,0
9/14/2018 2:07:00 PM,333.1,333.1,321.85,321.85,75
9/14/2018 2:06:00 PM,333.1,333.1,333.1,333.1,0
9/14/2018 2:05:00 PM,329,333.1,329,333.1,525
9/14/2018 2:04:00 PM,327.1,329,327.1,329,225
9/14/2018 2:03:00 PM,327.1,327.1,327.1,327.1,0
9/14/2018 2:02:00 PM,325,327.1,325,327.1,75
9/14/2018 2:01:00 PM,325,325,325,325,0
9/14/2018 2:00:00 PM,316.4,325,316.4,325,150
9/14/2018 1:59:00 PM,316.4,316.4,316.4,316.4,0
9/14/2018 1:58:00 PM,316.4,316.4,316.4,316.4,0
9/14/2018 1:57:00 PM,317.6,317.6,316.4,316.4,75
9/14/2018 1:56:00 PM,317.6,317.6,317.6,317.6,0
9/14/2018 1:55:00 PM,320.15,320.15,317.6,317.6,75
9/14/2018 1:54:00 PM,321,321,320.15,320.15,150
9/14/2018 1:53:00 PM,314.2,321,314.2,321,75
9/14/2018 1:52:00 PM,314.2,314.2,314.2,314.2,0
9/14/2018 1:51:00 PM,314.4,314.4,314.2,314.2,75
9/14/2018 1:50:00 PM,320.3,320.3,314.4,314.4,300
