Date,USDINR18SEP72.25CE O,USDINR18SEP72.25CE H,USDINR18SEP72.25CE L,USDINR18SEP72.25CE C,USDINR18SEP72.25CE V
9/14/2018 4:59:00 PM,0.2975,0.2975,0.295,0.2975,10
9/14/2018 4:58:00 PM,0.3,0.3,0.2975,0.2975,223
9/14/2018 4:57:00 PM,0.3025,0.3025,0.3,0.3,50
9/14/2018 4:56:00 PM,0.3,0.3025,0.2975,0.3025,363
9/14/2018 4:55:00 PM,0.295,0.2975,0.295,0.2975,391
9/14/2018 4:54:00 PM,0.295,0.2975,0.295,0.295,156
9/14/2018 4:53:00 PM,0.3025,0.3025,0.295,0.295,61
9/14/2018 4:52:00 PM,0.3,0.3025,0.3,0.3025,100
9/14/2018 4:51:00 PM,0.3,0.3,0.3,0.3,0
9/14/2018 4:50:00 PM,0.3125,0.3125,0.3,0.3,327
9/14/2018 4:49:00 PM,0.305,0.31,0.305,0.31,563
9/14/2018 4:48:00 PM,0.305,0.305,0.305,0.305,2
9/14/2018 4:47:00 PM,0.2975,0.305,0.2975,0.305,504
9/14/2018 4:46:00 PM,0.295,0.2975,0.295,0.2975,201
9/14/2018 4:45:00 PM,0.295,0.295,0.295,0.295,216
9/14/2018 4:44:00 PM,0.29,0.295,0.29,0.295,310
9/14/2018 4:43:00 PM,0.29,0.29,0.29,0.29,0
9/14/2018 4:42:00 PM,0.285,0.29,0.285,0.29,101
9/14/2018 4:41:00 PM,0.2825,0.285,0.2825,0.285,202
9/14/2018 4:40:00 PM,0.2775,0.2825,0.2775,0.2825,10
9/14/2018 4:39:00 PM,0.2775,0.2775,0.2775,0.2775,0
9/14/2018 4:38:00 PM,0.2775,0.2775,0.2775,0.2775,10
9/14/2018 4:37:00 PM,0.28,0.28,0.2775,0.2775,180
9/14/2018 4:36:00 PM,0.2775,0.28,0.2725,0.28,119
9/14/2018 4:35:00 PM,0.2775,0.2775,0.2775,0.2775,0
9/14/2018 4:34:00 PM,0.2775,0.2775,0.2775,0.2775,0
9/14/2018 4:33:00 PM,0.28,0.28,0.2775,0.2775,200
9/14/2018 4:32:00 PM,0.285,0.285,0.28,0.28,8
9/14/2018 4:31:00 PM,0.2825,0.285,0.2825,0.285,1000
9/14/2018 4:30:00 PM,0.27,0.2825,0.27,0.2825,100
9/14/2018 4:29:00 PM,0.27,0.27,0.27,0.27,0
9/14/2018 4:28:00 PM,0.2725,0.2725,0.2675,0.27,124
9/14/2018 4:27:00 PM,0.2875,0.2875,0.2725,0.2725,182
9/14/2018 4:26:00 PM,0.2875,0.2875,0.2875,0.2875,0
9/14/2018 4:25:00 PM,0.2875,0.2875,0.2875,0.2875,0
9/14/2018 4:24:00 PM,0.2875,0.2875,0.2875,0.2875,206
9/14/2018 4:23:00 PM,0.2825,0.2825,0.28,0.2825,399
9/14/2018 4:22:00 PM,0.29,0.29,0.2775,0.2775,140
9/14/2018 4:21:00 PM,0.29,0.29,0.29,0.29,0
9/14/2018 4:20:00 PM,0.29,0.29,0.29,0.29,0
9/14/2018 4:19:00 PM,0.29,0.29,0.29,0.29,0
9/14/2018 4:18:00 PM,0.3075,0.3075,0.285,0.29,539
9/14/2018 4:17:00 PM,0.3075,0.3075,0.3075,0.3075,0
9/14/2018 4:16:00 PM,0.315,0.315,0.3075,0.3075,550
9/14/2018 4:15:00 PM,0.3225,0.3225,0.315,0.315,101
9/14/2018 4:14:00 PM,0.3225,0.325,0.3225,0.3225,300
9/14/2018 4:13:00 PM,0.3275,0.33,0.3225,0.3225,722
9/14/2018 4:12:00 PM,0.3175,0.3275,0.3175,0.3275,204
9/14/2018 4:11:00 PM,0.3125,0.3175,0.3125,0.3175,2
9/14/2018 4:10:00 PM,0.3125,0.3125,0.3125,0.3125,127
9/14/2018 4:09:00 PM,0.3125,0.3125,0.3125,0.3125,100
9/14/2018 4:08:00 PM,0.315,0.315,0.31,0.3125,40
9/14/2018 4:07:00 PM,0.325,0.325,0.315,0.315,114
9/14/2018 4:06:00 PM,0.325,0.325,0.325,0.325,0
9/14/2018 4:05:00 PM,0.32,0.3275,0.32,0.325,152
9/14/2018 4:04:00 PM,0.32,0.32,0.32,0.32,6
9/14/2018 4:03:00 PM,0.3225,0.3225,0.32,0.32,9
9/14/2018 4:02:00 PM,0.3225,0.3225,0.3225,0.3225,101
9/14/2018 4:01:00 PM,0.33,0.33,0.3225,0.3225,8
9/14/2018 4:00:00 PM,0.335,0.335,0.33,0.33,28
9/14/2018 3:59:00 PM,0.3325,0.335,0.3325,0.335,267
9/14/2018 3:58:00 PM,0.3325,0.3325,0.3325,0.3325,0
9/14/2018 3:57:00 PM,0.3325,0.3325,0.3275,0.3325,110
9/14/2018 3:56:00 PM,0.3325,0.3325,0.3325,0.3325,0
9/14/2018 3:55:00 PM,0.3325,0.3325,0.33,0.3325,102
9/14/2018 3:54:00 PM,0.3225,0.3325,0.3225,0.3325,1
9/14/2018 3:53:00 PM,0.3275,0.3275,0.3225,0.3225,5
9/14/2018 3:52:00 PM,0.325,0.3275,0.325,0.3275,22
9/14/2018 3:51:00 PM,0.33,0.33,0.325,0.325,190
9/14/2018 3:50:00 PM,0.3325,0.3325,0.33,0.33,10
9/14/2018 3:49:00 PM,0.335,0.335,0.3325,0.3325,11
9/14/2018 3:48:00 PM,0.3375,0.3375,0.335,0.335,1200
9/14/2018 3:47:00 PM,0.345,0.345,0.34,0.34,380
9/14/2018 3:46:00 PM,0.3475,0.3475,0.345,0.345,30
9/14/2018 3:45:00 PM,0.35,0.35,0.3475,0.3475,34
9/14/2018 3:44:00 PM,0.3525,0.3525,0.35,0.35,347
9/14/2018 3:43:00 PM,0.355,0.355,0.3525,0.3525,106
9/14/2018 3:42:00 PM,0.36,0.36,0.3525,0.355,202
9/14/2018 3:41:00 PM,0.36,0.36,0.36,0.36,0
9/14/2018 3:40:00 PM,0.3575,0.36,0.3575,0.36,331
9/14/2018 3:39:00 PM,0.3575,0.36,0.355,0.3575,480
9/14/2018 3:38:00 PM,0.355,0.355,0.355,0.355,4000
9/14/2018 3:37:00 PM,0.35,0.3575,0.35,0.355,1753
9/14/2018 3:36:00 PM,0.365,0.365,0.35,0.35,117
9/14/2018 3:35:00 PM,0.365,0.3675,0.3625,0.365,52
9/14/2018 3:34:00 PM,0.365,0.365,0.365,0.365,3
9/14/2018 3:33:00 PM,0.37,0.37,0.365,0.3675,277
9/14/2018 3:32:00 PM,0.355,0.37,0.355,0.37,617
9/14/2018 3:31:00 PM,0.335,0.355,0.335,0.355,693
9/14/2018 3:30:00 PM,0.3325,0.34,0.33,0.335,24
9/14/2018 3:29:00 PM,0.335,0.335,0.33,0.3325,151
9/14/2018 3:28:00 PM,0.3375,0.34,0.335,0.335,396
9/14/2018 3:27:00 PM,0.325,0.3375,0.325,0.3375,77
9/14/2018 3:26:00 PM,0.3325,0.3325,0.325,0.325,985
9/14/2018 3:25:00 PM,0.3175,0.3325,0.3175,0.3325,516
9/14/2018 3:24:00 PM,0.305,0.3175,0.305,0.3175,300
9/14/2018 3:23:00 PM,0.2975,0.305,0.2975,0.305,254
9/14/2018 3:22:00 PM,0.3,0.3,0.2975,0.2975,1
9/14/2018 3:21:00 PM,0.2925,0.3,0.2925,0.3,112
9/14/2018 3:20:00 PM,0.295,0.295,0.2925,0.2925,5
9/14/2018 3:19:00 PM,0.295,0.295,0.295,0.295,0
9/14/2018 3:18:00 PM,0.2925,0.295,0.2925,0.295,19
9/14/2018 3:17:00 PM,0.2925,0.2925,0.2925,0.2925,20
9/14/2018 3:16:00 PM,0.295,0.295,0.2925,0.2925,109
9/14/2018 3:15:00 PM,0.2925,0.295,0.2925,0.295,165
9/14/2018 3:14:00 PM,0.29,0.295,0.29,0.2925,394
9/14/2018 3:13:00 PM,0.29,0.29,0.29,0.29,0
