Date,NIFTY18SEP11300PE O,NIFTY18SEP11300PE H,NIFTY18SEP11300PE L,NIFTY18SEP11300PE C,NIFTY18SEP11300PE V
9/14/2018 3:29:00 PM,34.8,36,34.7,35.55,44925
9/14/2018 3:28:00 PM,34.4,34.8,34.3,34.8,27000
9/14/2018 3:27:00 PM,33.85,34.4,33.85,34.4,31950
9/14/2018 3:26:00 PM,33.7,33.9,33.5,33.85,24225
9/14/2018 3:25:00 PM,33.65,34.15,33.6,33.6,42900
9/14/2018 3:24:00 PM,33.5,34,33.5,33.9,45000
9/14/2018 3:23:00 PM,33.7,33.75,33.35,33.6,22650
9/14/2018 3:22:00 PM,33.4,33.75,33.35,33.7,22575
9/14/2018 3:21:00 PM,33.3,33.5,33.2,33.35,24525
9/14/2018 3:20:00 PM,32.7,33.35,32.7,33.3,27750
9/14/2018 3:19:00 PM,32.65,33.1,32.65,32.75,35775
9/14/2018 3:18:00 PM,33.1,33.3,32.55,32.6,49725
9/14/2018 3:17:00 PM,33.2,33.4,33,33.1,17700
9/14/2018 3:16:00 PM,33.4,33.55,33.15,33.15,30375
9/14/2018 3:15:00 PM,33.45,33.6,33.3,33.4,20625
9/14/2018 3:14:00 PM,33.8,33.85,33.3,33.45,21150
9/14/2018 3:13:00 PM,33.8,33.95,33.55,33.6,17925
9/14/2018 3:12:00 PM,33.55,33.95,33.4,33.95,25500
9/14/2018 3:11:00 PM,33.5,33.8,33.5,33.55,21300
9/14/2018 3:10:00 PM,33.75,33.75,33.15,33.5,38175
9/14/2018 3:09:00 PM,33.15,33.7,33.1,33.7,28950
9/14/2018 3:08:00 PM,33.3,33.3,32.85,33.15,55875
9/14/2018 3:07:00 PM,33.1,33.6,32.95,33.3,55800
9/14/2018 3:06:00 PM,33.35,33.9,33.2,33.2,45600
9/14/2018 3:05:00 PM,33.35,33.85,33.15,33.55,41475
9/14/2018 3:04:00 PM,33.1,33.55,32.95,33.4,71175
9/14/2018 3:03:00 PM,34,34.15,33,33.1,86775
9/14/2018 3:02:00 PM,34.55,34.95,33.75,33.85,48975
9/14/2018 3:01:00 PM,35.75,36.1,34.2,34.6,102300
9/14/2018 3:00:00 PM,37.8,38.3,35.45,35.95,75600
9/14/2018 2:59:00 PM,37.4,37.8,37.25,37.8,18525
9/14/2018 2:58:00 PM,36.65,37.5,36.65,37.4,29400
9/14/2018 2:57:00 PM,37.4,37.45,36.7,36.75,21675
9/14/2018 2:56:00 PM,37.55,37.55,37,37.4,17925
9/14/2018 2:55:00 PM,37.5,38,37.5,37.55,12375
9/14/2018 2:54:00 PM,37.55,37.65,37.25,37.5,4800
9/14/2018 2:53:00 PM,37.5,37.65,37.35,37.55,8625
