Date,GBPINR18NOVFUT O,GBPINR18NOVFUT H,GBPINR18NOVFUT L,GBPINR18NOVFUT C,GBPINR18NOVFUT V
9/14/2018 4:59:00 PM,95.37,95.4,95.37,95.4,5
9/14/2018 4:58:00 PM,95.37,95.37,95.37,95.37,0
9/14/2018 4:57:00 PM,95.37,95.37,95.37,95.37,0
9/14/2018 4:56:00 PM,95.37,95.37,95.37,95.37,0
9/14/2018 4:55:00 PM,95.435,95.435,95.37,95.37,3
9/14/2018 4:54:00 PM,95.435,95.435,95.435,95.435,0
9/14/2018 4:53:00 PM,95.435,95.435,95.435,95.435,0
9/14/2018 4:52:00 PM,95.435,95.435,95.435,95.435,0
9/14/2018 4:51:00 PM,95.435,95.435,95.435,95.435,0
9/14/2018 4:50:00 PM,95.435,95.435,95.435,95.435,0
9/14/2018 4:49:00 PM,95.435,95.435,95.435,95.435,0
9/14/2018 4:48:00 PM,95.435,95.435,95.435,95.435,0
9/14/2018 4:47:00 PM,95.4,95.435,95.4,95.435,1
9/14/2018 4:46:00 PM,95.475,95.475,95.4,95.4,1
9/14/2018 4:45:00 PM,95.475,95.475,95.475,95.475,0
9/14/2018 4:44:00 PM,95.475,95.475,95.475,95.475,0
9/14/2018 4:43:00 PM,95.475,95.475,95.475,95.475,0
9/14/2018 4:42:00 PM,95.475,95.475,95.475,95.475,0
9/14/2018 4:41:00 PM,95.475,95.475,95.475,95.475,0
9/14/2018 4:40:00 PM,95.475,95.475,95.475,95.475,0
9/14/2018 4:39:00 PM,95.475,95.475,95.475,95.475,0
9/14/2018 4:38:00 PM,95.475,95.475,95.475,95.475,0
9/14/2018 4:37:00 PM,95.475,95.475,95.475,95.475,0
9/14/2018 4:36:00 PM,95.475,95.475,95.475,95.475,0
9/14/2018 4:35:00 PM,95.475,95.475,95.475,95.475,0
9/14/2018 4:34:00 PM,95.475,95.475,95.475,95.475,0
9/14/2018 4:33:00 PM,95.475,95.475,95.475,95.475,0
9/14/2018 4:32:00 PM,95.35,95.475,95.35,95.475,1
9/14/2018 4:31:00 PM,95.37,95.37,95.35,95.35,3
9/14/2018 4:30:00 PM,95.37,95.37,95.37,95.37,0
9/14/2018 4:29:00 PM,95.37,95.37,95.37,95.37,0
9/14/2018 4:28:00 PM,95.37,95.37,95.37,95.37,0
9/14/2018 4:27:00 PM,95.37,95.37,95.37,95.37,1
9/14/2018 4:26:00 PM,95.37,95.37,95.37,95.37,0
9/14/2018 4:25:00 PM,95.37,95.37,95.37,95.37,0
9/14/2018 4:24:00 PM,95.37,95.37,95.37,95.37,0
9/14/2018 4:23:00 PM,95.4,95.4,95.37,95.37,2
9/14/2018 4:22:00 PM,95.4,95.4,95.4,95.4,0
9/14/2018 4:21:00 PM,95.4,95.4,95.4,95.4,0
9/14/2018 4:20:00 PM,95.4,95.4,95.4,95.4,0
9/14/2018 4:19:00 PM,95.4,95.4,95.4,95.4,0
9/14/2018 4:18:00 PM,95.45,95.45,95.4,95.4,1
9/14/2018 4:17:00 PM,95.45,95.45,95.45,95.45,0
9/14/2018 4:16:00 PM,95.45,95.45,95.45,95.45,0
9/14/2018 4:15:00 PM,95.45,95.45,95.45,95.45,0
9/14/2018 4:14:00 PM,95.45,95.45,95.45,95.45,0
9/14/2018 4:13:00 PM,95.45,95.45,95.45,95.45,0
9/14/2018 4:12:00 PM,95.4125,95.45,95.4125,95.45,1
9/14/2018 4:11:00 PM,95.4125,95.4125,95.4125,95.4125,0
9/14/2018 4:10:00 PM,95.4125,95.4125,95.4125,95.4125,0
9/14/2018 4:09:00 PM,95.4125,95.4125,95.4125,95.4125,0
9/14/2018 4:08:00 PM,95.4125,95.4125,95.4125,95.4125,0
9/14/2018 4:07:00 PM,95.4125,95.4125,95.4125,95.4125,10
9/14/2018 4:06:00 PM,95.55,95.55,95.55,95.55,0
9/14/2018 4:05:00 PM,95.55,95.55,95.55,95.55,0
9/14/2018 4:04:00 PM,95.55,95.55,95.55,95.55,0
9/14/2018 4:03:00 PM,95.55,95.55,95.55,95.55,0
9/14/2018 4:02:00 PM,95.55,95.55,95.55,95.55,0
9/14/2018 4:01:00 PM,95.55,95.55,95.55,95.55,0
9/14/2018 4:00:00 PM,95.55,95.55,95.55,95.55,0
9/14/2018 3:59:00 PM,95.55,95.55,95.55,95.55,0
9/14/2018 3:58:00 PM,95.55,95.55,95.55,95.55,0
9/14/2018 3:57:00 PM,95.55,95.55,95.55,95.55,0
9/14/2018 3:56:00 PM,95.55,95.55,95.55,95.55,0
