Date,ICICIBANK-EQ O,ICICIBANK-EQ H,ICICIBANK-EQ L,ICICIBANK-EQ C,ICICIBANK-EQ V
9/14/2018 1:59:00 PM,326.6,326.6,326.3,326.45,24424
9/14/2018 1:58:00 PM,326.7,326.9,326.35,326.65,42856
9/14/2018 1:57:00 PM,326.6,326.75,326.6,326.7,17739
9/14/2018 1:56:00 PM,326.35,326.6,326.35,326.55,16646
9/14/2018 1:55:00 PM,326.55,326.55,326.3,326.45,19872
9/14/2018 1:54:00 PM,326.5,326.7,326.5,326.55,17566
9/14/2018 1:53:00 PM,326.5,326.55,326.35,326.5,24164
9/14/2018 1:52:00 PM,326.7,326.75,326.55,326.55,22341
9/14/2018 1:51:00 PM,326.7,326.75,326.6,326.7,23021
9/14/2018 1:50:00 PM,326.75,326.75,326.65,326.75,12918
9/14/2018 1:49:00 PM,326.8,326.9,326.65,326.75,35583
9/14/2018 1:48:00 PM,326.8,327.1,326.7,326.75,132819
9/14/2018 1:47:00 PM,326.7,326.8,326.65,326.8,49170
9/14/2018 1:46:00 PM,326.7,326.8,326.6,326.75,26200
9/14/2018 1:45:00 PM,326.7,326.8,326.65,326.7,32669
9/14/2018 1:44:00 PM,326.8,326.8,326.6,326.8,69008
9/14/2018 1:43:00 PM,326.7,326.8,326.7,326.7,38281
9/14/2018 1:42:00 PM,326.75,326.8,326.65,326.7,76261
9/14/2018 1:41:00 PM,326.75,326.8,326.65,326.75,50178
9/14/2018 1:40:00 PM,326.5,326.8,326.5,326.75,76975
9/14/2018 1:39:00 PM,326.4,326.6,326.35,326.5,50063
9/14/2018 1:38:00 PM,326.55,326.65,326.25,326.35,42593
9/14/2018 1:37:00 PM,326.35,326.75,326.35,326.55,40236
9/14/2018 1:36:00 PM,326.05,326.3,326.05,326.3,23020
9/14/2018 1:35:00 PM,326.15,326.2,326.05,326.05,14444
9/14/2018 1:34:00 PM,326,326.15,325.9,326.15,18335
9/14/2018 1:33:00 PM,325.7,325.95,325.7,325.9,12800
9/14/2018 1:32:00 PM,325.55,325.65,325.55,325.6,8893
9/14/2018 1:31:00 PM,325.85,325.85,325.5,325.55,19987
9/14/2018 1:30:00 PM,325.75,325.95,325.55,325.85,15515
9/14/2018 1:29:00 PM,326.2,326.25,325.5,325.65,29572
