Date,BANKNIFTY12SEP1827500PE O,BANKNIFTY12SEP1827500PE H,BANKNIFTY12SEP1827500PE L,BANKNIFTY12SEP1827500PE C,BANKNIFTY12SEP1827500PE V
9/11/2018 3:29:00 PM,646.05,647.9,635.65,635.65,1720
9/11/2018 3:28:00 PM,644,650,641.35,646.5,5120
9/11/2018 3:27:00 PM,644.15,647.75,643,644,760
9/11/2018 3:26:00 PM,643.9,649.95,643.9,644.15,1320
9/11/2018 3:25:00 PM,647.45,648.05,643,643.9,2440
9/11/2018 3:24:00 PM,659.3,659.3,643.95,643.95,1840
9/11/2018 3:23:00 PM,647.85,664.25,643.2,659.3,4480
9/11/2018 3:22:00 PM,641.75,647.85,641.7,647.85,2880
9/11/2018 3:21:00 PM,647.45,653.8,641.7,641.7,3360
9/11/2018 3:20:00 PM,624.25,647.45,624.25,647.45,1280
9/11/2018 3:19:00 PM,630,635.15,622.55,625,1200
9/11/2018 3:18:00 PM,631.3,636.3,624.95,624.95,1160
9/11/2018 3:17:00 PM,639.5,639.5,628.05,631.3,1760
9/11/2018 3:16:00 PM,645.3,653,639,639.5,7800
9/11/2018 3:15:00 PM,615,645.55,615,645.55,3680
9/11/2018 3:14:00 PM,606.55,620.15,606.2,615,16680
9/11/2018 3:13:00 PM,608.9,609.2,599.8,607.9,2160
9/11/2018 3:12:00 PM,620.45,621.7,604.75,604.75,1920
9/11/2018 3:11:00 PM,610.45,623.95,608.2,620.45,1840
9/11/2018 3:10:00 PM,606.25,610.6,603.4,610.45,680
9/11/2018 3:09:00 PM,608.5,615.55,606.25,606.25,1360
9/11/2018 3:08:00 PM,614.35,614.35,601,605.75,2520
9/11/2018 3:07:00 PM,602.2,616.05,602.2,614.35,640
9/11/2018 3:06:00 PM,603,609.45,597.25,602.2,1200
9/11/2018 3:05:00 PM,599,608.6,593.95,603,9280
9/11/2018 3:04:00 PM,586.45,597.3,583.9,596.1,3400
9/11/2018 3:03:00 PM,588.3,594.85,572,586.45,3080
9/11/2018 3:02:00 PM,585.95,602.4,582.3,588.3,7040
9/11/2018 3:01:00 PM,610.75,627.4,596.3,596.3,3640
9/11/2018 3:00:00 PM,608.9,623.55,602.65,610.75,3800
9/11/2018 2:59:00 PM,590,611.3,589.4,608.9,4800
9/11/2018 2:58:00 PM,565,584.8,565,584.8,1960
9/11/2018 2:57:00 PM,575,579.25,564,565,4160
9/11/2018 2:56:00 PM,556.4,579.2,550.25,575,4760
9/11/2018 2:55:00 PM,542.95,565,540.95,556.4,1200
9/11/2018 2:54:00 PM,545,554.35,542.95,542.95,3240
9/11/2018 2:53:00 PM,527.65,543.9,527.65,535.5,760
9/11/2018 2:52:00 PM,529.85,534.4,524.15,527.65,2880
9/11/2018 2:51:00 PM,525,537,525,529.85,4440
9/11/2018 2:50:00 PM,520,525,513.85,525,3840
9/11/2018 2:49:00 PM,503.25,520,502.3,520,3600
9/11/2018 2:48:00 PM,488.55,506.65,485.7,503.25,2720
9/11/2018 2:47:00 PM,491.85,494.95,483,488.55,3120
9/11/2018 2:46:00 PM,501.1,501.1,481.75,491.85,2760
9/11/2018 2:45:00 PM,521.55,529.35,490,501.1,3240
9/11/2018 2:44:00 PM,516.35,521.55,509.35,521.55,1960
9/11/2018 2:43:00 PM,523.15,523.15,505.25,516.35,8160
9/11/2018 2:42:00 PM,509.7,521.6,505.1,518.7,8840
9/11/2018 2:41:00 PM,518.15,518.15,501.05,509.35,2600
9/11/2018 2:40:00 PM,518.8,522,510.5,518.15,4960
9/11/2018 2:39:00 PM,532.4,532.4,515,519.8,6080
9/11/2018 2:38:00 PM,541.15,541.55,531.05,532.85,11600
9/11/2018 2:37:00 PM,516.3,543.8,512.5,543.8,11960
9/11/2018 2:36:00 PM,514.95,518.85,510,515,5920
9/11/2018 2:35:00 PM,509.55,518.55,509.15,514.95,10360
9/11/2018 2:34:00 PM,502.85,511.45,500.65,508.1,5840
9/11/2018 2:33:00 PM,506.1,506.1,491.55,503.1,8400
9/11/2018 2:32:00 PM,498.4,512.95,498.4,501.45,7720
9/11/2018 2:31:00 PM,490.6,502.75,489.55,498.4,15640
9/11/2018 2:30:00 PM,490.55,495.4,486.15,493.4,7720
9/11/2018 2:29:00 PM,502.9,511.05,489.5,490.55,7160
9/11/2018 2:28:00 PM,481.95,502.9,481.95,502.9,6240
9/11/2018 2:27:00 PM,469.35,483,467.65,481.95,11480
9/11/2018 2:26:00 PM,484,484,463.5,469.35,14600
9/11/2018 2:25:00 PM,482.7,486.8,480.05,482.65,5920
9/11/2018 2:24:00 PM,486.2,488.6,479.25,482.7,10680
9/11/2018 2:23:00 PM,484.65,497.2,484.1,489.05,9280
9/11/2018 2:22:00 PM,477.2,487.15,473,487.05,9720
9/11/2018 2:21:00 PM,444,477.85,443.4,469.9,5360
9/11/2018 2:20:00 PM,456.7,456.7,440.85,444,7880
9/11/2018 2:19:00 PM,460.05,463.95,453,456.7,11600
9/11/2018 2:18:00 PM,471,480.5,460,460,14880
9/11/2018 2:17:00 PM,454.95,474.15,452.95,474.15,23800
9/11/2018 2:16:00 PM,443.6,453.65,441,450.75,34680
9/11/2018 2:15:00 PM,425.3,443.05,423.35,441.8,27600
9/11/2018 2:14:00 PM,403.95,432.1,403.95,427.95,22720
9/11/2018 2:13:00 PM,403.95,412.85,401.35,404.75,9120
9/11/2018 2:12:00 PM,396.15,404,391.85,403.95,1240
9/11/2018 2:11:00 PM,404.4,405.55,396.15,396.15,8680
9/11/2018 2:10:00 PM,400.7,412.55,400.7,404.4,1840
9/11/2018 2:09:00 PM,393.1,407.95,393.1,404.45,6400
9/11/2018 2:08:00 PM,390,398.95,389.5,393.1,4880
9/11/2018 2:07:00 PM,379,390.5,377,390,2920
9/11/2018 2:06:00 PM,381.15,381.15,371.6,377.1,2760
9/11/2018 2:05:00 PM,377.25,382.15,373,381.15,3360
9/11/2018 2:04:00 PM,373.4,377.8,363.45,377.8,4680
9/11/2018 2:03:00 PM,371,376.2,365.95,372.45,5240
9/11/2018 2:02:00 PM,380.3,384.8,374.3,374.8,3880
9/11/2018 2:01:00 PM,382.4,387.85,371.65,387.85,9120
9/11/2018 2:00:00 PM,368,388,358,382.4,12000
9/11/2018 1:59:00 PM,341.95,369.75,341.65,368,6480
9/11/2018 1:58:00 PM,338.1,344,333.05,341.95,8040
9/11/2018 1:57:00 PM,327.85,339.9,327.85,337.55,5480
