Date,BANKNIFTY12SEP1826800PE O,BANKNIFTY12SEP1826800PE H,BANKNIFTY12SEP1826800PE L,BANKNIFTY12SEP1826800PE C,BANKNIFTY12SEP1826800PE V
9/11/2018 3:29:00 PM,74.4,77,72.4,75,70400
9/11/2018 3:28:00 PM,73.65,77.2,73.65,74.05,89040
9/11/2018 3:27:00 PM,71.65,73.45,70.8,73.1,81800
9/11/2018 3:26:00 PM,72.4,73.7,71.15,71.8,77680
9/11/2018 3:25:00 PM,70.9,74.65,70.7,72,81840
9/11/2018 3:24:00 PM,74,75.5,69.4,70.9,113000
9/11/2018 3:23:00 PM,74,78.4,73.05,75.3,121840
9/11/2018 3:22:00 PM,71.9,74.9,71.9,73.95,84080
9/11/2018 3:21:00 PM,75.65,77.45,72,72.15,142680
9/11/2018 3:20:00 PM,64.85,75.65,64.3,75.65,124800
9/11/2018 3:19:00 PM,69.6,72.35,65.7,66,123000
9/11/2018 3:18:00 PM,70.65,73.5,69.2,69.2,129720
9/11/2018 3:17:00 PM,73.8,73.8,69.25,70.65,107640
9/11/2018 3:16:00 PM,78.6,80.35,72.8,72.8,189360
9/11/2018 3:15:00 PM,69.2,78.65,68.45,78.65,153640
9/11/2018 3:14:00 PM,65.95,71.5,65.95,68.9,110080
9/11/2018 3:13:00 PM,67.1,68.25,62.35,65.8,157840
9/11/2018 3:12:00 PM,75,75.35,66.45,66.7,143480
9/11/2018 3:11:00 PM,73.55,77.7,72.75,75.15,138360
9/11/2018 3:10:00 PM,70.6,73.9,69.4,72.3,108760
9/11/2018 3:09:00 PM,71.45,74.75,69.4,70.05,120360
9/11/2018 3:08:00 PM,73.6,73.9,69.75,71.55,146920
9/11/2018 3:07:00 PM,69.1,74.15,69.1,73.5,177720
9/11/2018 3:06:00 PM,70.75,72.05,67.55,69,181400
9/11/2018 3:05:00 PM,70,72,67.6,69.6,144320
9/11/2018 3:04:00 PM,65.7,70,65.55,70,116280
9/11/2018 3:03:00 PM,65.75,68.85,61.8,64.95,138320
9/11/2018 3:02:00 PM,68.6,72.2,63.15,66.5,336000
9/11/2018 3:01:00 PM,78,82,68.9,68.9,262800
9/11/2018 3:00:00 PM,68.5,80,68,78.55,249560
9/11/2018 2:59:00 PM,60.85,72.35,60.8,68.8,279200
9/11/2018 2:58:00 PM,50.05,60,49.55,60,161000
9/11/2018 2:57:00 PM,53.55,56,50.05,50.05,156240
9/11/2018 2:56:00 PM,48.4,54.8,45.85,53.65,166160
9/11/2018 2:55:00 PM,42.95,49.55,41.85,48.1,147480
9/11/2018 2:54:00 PM,43.55,46.85,42,42.2,165120
9/11/2018 2:53:00 PM,39.35,43.9,39.35,43,111840
9/11/2018 2:52:00 PM,39,41,37.65,39.4,109880
9/11/2018 2:51:00 PM,40.4,42.2,38.6,38.9,129040
9/11/2018 2:50:00 PM,38.7,40.7,38,40.65,113840
9/11/2018 2:49:00 PM,35.05,38.7,35.05,38.7,82960
9/11/2018 2:48:00 PM,32.55,35.95,30.5,35.1,70600
9/11/2018 2:47:00 PM,29.9,32.8,29.9,32.4,88840
9/11/2018 2:46:00 PM,32.75,33.4,28.85,29.55,136520
9/11/2018 2:45:00 PM,39.55,41.05,31.55,32.4,155640
9/11/2018 2:44:00 PM,39.5,40,36.7,39.2,90480
9/11/2018 2:43:00 PM,40.55,40.9,36.9,39.05,102320
9/11/2018 2:42:00 PM,37.15,39.95,35.1,39.9,114280
9/11/2018 2:41:00 PM,38.45,38.45,34.25,37.55,230960
9/11/2018 2:40:00 PM,38.7,40.05,36.7,38.7,171680
9/11/2018 2:39:00 PM,44.2,44.2,36.55,38.75,349240
9/11/2018 2:38:00 PM,47.8,47.9,43.4,44.45,124200
9/11/2018 2:37:00 PM,41.2,48.55,41.2,48.3,195320
9/11/2018 2:36:00 PM,42.1,42.65,39.95,41,97800
9/11/2018 2:35:00 PM,42.7,43.85,40.2,42.3,102320
9/11/2018 2:34:00 PM,40.55,42.95,39.75,42.5,108880
9/11/2018 2:33:00 PM,40.8,41.6,37.7,41.1,108040
9/11/2018 2:32:00 PM,41.85,44.3,40.7,40.7,141400
9/11/2018 2:31:00 PM,38.35,41.95,38.3,41.55,122520
9/11/2018 2:30:00 PM,37.5,40.45,37,38.55,91520
9/11/2018 2:29:00 PM,42.25,42.45,37.95,38.35,136920
9/11/2018 2:28:00 PM,37.6,42.3,36.55,42.3,122040
9/11/2018 2:27:00 PM,33.65,37.7,32.65,37.65,107920
9/11/2018 2:26:00 PM,36.75,36.9,32.05,33.95,116760
9/11/2018 2:25:00 PM,36.75,37.85,35,37.2,122000
9/11/2018 2:24:00 PM,37,38,34.35,36.7,118000
9/11/2018 2:23:00 PM,35.1,39.95,35.1,37.4,180840
9/11/2018 2:22:00 PM,34.2,37,33.5,35.75,176040
9/11/2018 2:21:00 PM,27.1,33.8,27.1,33,127080
9/11/2018 2:20:00 PM,30.25,30.25,26.9,27.3,142360
9/11/2018 2:19:00 PM,29.15,31.25,28.2,30.2,154160
9/11/2018 2:18:00 PM,32.8,35.5,28.6,29,190240
9/11/2018 2:17:00 PM,26.7,33.3,26.7,33.3,176000
9/11/2018 2:16:00 PM,24.95,26.8,24.25,26.55,127240
9/11/2018 2:15:00 PM,21.6,24,20.25,24,98000
9/11/2018 2:14:00 PM,17.65,22.55,17.55,22,142240
9/11/2018 2:13:00 PM,18.4,19.7,17.2,17.55,76640
9/11/2018 2:12:00 PM,16.7,18.15,16,18.15,66800
9/11/2018 2:11:00 PM,18.45,18.9,16.75,16.75,53480
9/11/2018 2:10:00 PM,18.2,19.4,16.9,18.55,91200
9/11/2018 2:09:00 PM,16.55,19.4,16.45,18.55,100040
9/11/2018 2:08:00 PM,17.3,18.95,16.25,16.55,91400
9/11/2018 2:07:00 PM,16.7,17.95,16.15,17.3,66320
9/11/2018 2:06:00 PM,16.05,16.65,15.4,16.15,42360
9/11/2018 2:05:00 PM,16.4,17.1,15.65,16.3,46040
9/11/2018 2:04:00 PM,15.8,16.5,14.05,16.4,66200
