Date,BANKNIFTY19SEP1827400PE O,BANKNIFTY19SEP1827400PE H,BANKNIFTY19SEP1827400PE L,BANKNIFTY19SEP1827400PE C,BANKNIFTY19SEP1827400PE V
9/11/2018 3:29:00 PM,546.15,553.5,542.35,553.15,400
9/11/2018 3:28:00 PM,543.2,551.1,543.2,546.15,680
9/11/2018 3:27:00 PM,556.25,556.25,541.5,543.2,640
9/11/2018 3:26:00 PM,556.25,556.25,556.25,556.25,0
9/11/2018 3:25:00 PM,556.15,556.25,547,556.25,160
9/11/2018 3:24:00 PM,556.15,556.15,556.15,556.15,0
9/11/2018 3:23:00 PM,554,556.15,550.25,556.15,120
9/11/2018 3:22:00 PM,554,554,554,554,0
9/11/2018 3:21:00 PM,533.7,555.3,533.7,554,200
9/11/2018 3:20:00 PM,528.75,542.45,525.55,533.7,1560
9/11/2018 3:19:00 PM,540.5,542,533.55,533.55,80
9/11/2018 3:18:00 PM,538,543.25,538,540.5,360
9/11/2018 3:17:00 PM,555,555,537.2,538,240
9/11/2018 3:16:00 PM,558.4,558.4,552.8,555,520
9/11/2018 3:15:00 PM,528.75,558.4,528.75,558.4,560
9/11/2018 3:14:00 PM,526.55,528.75,526.55,528.75,80
9/11/2018 3:13:00 PM,537.75,537.75,514.8,526.55,480
9/11/2018 3:12:00 PM,530.3,537.75,530.3,537.75,120
9/11/2018 3:11:00 PM,523.8,530.3,523.8,530.3,40
9/11/2018 3:10:00 PM,536.35,536.35,523.8,523.8,440
9/11/2018 3:09:00 PM,536.35,536.35,536.35,536.35,0
9/11/2018 3:08:00 PM,523.3,536.35,523.3,536.35,160
9/11/2018 3:07:00 PM,523.3,523.3,523.3,523.3,0
9/11/2018 3:06:00 PM,522.25,524.85,522.25,523.3,360
9/11/2018 3:05:00 PM,505.2,522.25,505.2,522.25,40
9/11/2018 3:04:00 PM,504.7,505.2,504.7,505.2,40
9/11/2018 3:03:00 PM,511.25,511.25,502.95,504.7,520
9/11/2018 3:02:00 PM,536.2,536.2,503.85,511.25,160
9/11/2018 3:01:00 PM,533.3,536.2,533.3,536.2,120
9/11/2018 3:00:00 PM,523.85,534.75,523.85,533.3,280
9/11/2018 2:59:00 PM,509.85,523.85,509.85,523.85,240
9/11/2018 2:58:00 PM,496.1,509.85,496.1,509.85,280
9/11/2018 2:57:00 PM,499.55,499.55,496.05,496.1,160
9/11/2018 2:56:00 PM,478.95,499.55,478.95,499.55,200
9/11/2018 2:55:00 PM,471.5,478.95,471.5,478.95,80
9/11/2018 2:54:00 PM,462.8,475,462.8,471.5,880
9/11/2018 2:53:00 PM,462.8,462.8,462.8,462.8,0
9/11/2018 2:52:00 PM,465,465,462.8,462.8,80
9/11/2018 2:51:00 PM,456.5,465,456.5,465,40
9/11/2018 2:50:00 PM,443.3,456.5,443.3,456.5,40
9/11/2018 2:49:00 PM,444.05,445,443.3,443.3,680
9/11/2018 2:48:00 PM,428.6,445,428.6,444.05,120
9/11/2018 2:47:00 PM,428.85,428.85,428.6,428.6,80
9/11/2018 2:46:00 PM,430,430.05,428.85,428.85,920
9/11/2018 2:45:00 PM,447.4,448.2,430,430,520
9/11/2018 2:44:00 PM,440.95,453,440.95,447.4,360
9/11/2018 2:43:00 PM,448.7,450.5,440.95,440.95,1160
9/11/2018 2:42:00 PM,431.5,448.7,431.5,448.7,200
9/11/2018 2:41:00 PM,444.05,444.05,431.5,431.5,40
9/11/2018 2:40:00 PM,450,450,444.05,444.05,40
9/11/2018 2:39:00 PM,458.7,458.7,450,450,400
9/11/2018 2:38:00 PM,464.65,465.25,458.7,458.7,120
9/11/2018 2:37:00 PM,445.1,464.65,445.1,464.65,160
9/11/2018 2:36:00 PM,446.7,447,444.35,445.1,320
9/11/2018 2:35:00 PM,448.25,456,446.7,446.7,1120
9/11/2018 2:34:00 PM,445.5,451,445.5,448.25,440
9/11/2018 2:33:00 PM,451.3,451.3,440.05,445.5,440
9/11/2018 2:32:00 PM,440.4,451.3,440.4,451.3,160
9/11/2018 2:31:00 PM,432.05,442.3,432.05,440.4,200
9/11/2018 2:30:00 PM,432.05,432.05,432.05,432.05,40
9/11/2018 2:29:00 PM,446.1,455,441.1,441.1,360
9/11/2018 2:28:00 PM,423.65,446.1,423.65,446.1,120
9/11/2018 2:27:00 PM,417,423.65,417,423.65,800
9/11/2018 2:26:00 PM,424.35,424.35,413.15,417,120
9/11/2018 2:25:00 PM,424.35,424.35,424.35,424.35,0
9/11/2018 2:24:00 PM,434.25,434.25,421.25,424.35,400
9/11/2018 2:23:00 PM,431.2,440.05,431.2,434.25,200
9/11/2018 2:22:00 PM,419.95,432,419.95,431.2,1160
9/11/2018 2:21:00 PM,397.15,419.95,397.15,419.95,520
9/11/2018 2:20:00 PM,409.8,409.8,396.2,397.15,200
9/11/2018 2:19:00 PM,410,410,401.3,409.8,240
9/11/2018 2:18:00 PM,412.1,419.95,410,410,480
9/11/2018 2:17:00 PM,403.85,412.1,402.05,412.1,160
9/11/2018 2:16:00 PM,396,403.85,396,403.85,1320
9/11/2018 2:15:00 PM,392.5,392.5,387.25,390.95,120
9/11/2018 2:14:00 PM,372.65,392.5,372.65,392.5,320
9/11/2018 2:13:00 PM,358.05,372.65,358.05,372.65,40
9/11/2018 2:12:00 PM,367.7,367.7,358.05,358.05,400
9/11/2018 2:11:00 PM,371.05,371.05,367.7,367.7,40
9/11/2018 2:10:00 PM,374.85,374.85,366.8,371.05,80
9/11/2018 2:09:00 PM,361.45,374.85,361.45,374.85,80
9/11/2018 2:08:00 PM,364.25,365.3,361.45,361.45,200
9/11/2018 2:07:00 PM,353.45,364.25,353.45,364.25,360
9/11/2018 2:06:00 PM,351.5,351.5,346.6,350.75,400
9/11/2018 2:05:00 PM,341.55,351.95,341.55,351.5,320
9/11/2018 2:04:00 PM,340.5,346,334.75,341.55,1520
9/11/2018 2:03:00 PM,343.55,349.5,340.5,340.5,1280
9/11/2018 2:02:00 PM,360,360,343.55,343.55,1160
9/11/2018 2:01:00 PM,364,366,351.45,360,600
9/11/2018 2:00:00 PM,341.65,364,341.65,364,1480
9/11/2018 1:59:00 PM,325.7,341.65,325.7,341.65,1440
9/11/2018 1:58:00 PM,316.7,325.7,316.7,325.7,160
9/11/2018 1:57:00 PM,312.4,320.4,312.4,316.7,320
9/11/2018 1:56:00 PM,329.25,329.25,312.4,312.4,720
9/11/2018 1:55:00 PM,337.6,338.5,329.25,329.25,760
9/11/2018 1:54:00 PM,326,337.6,324.55,337.6,800
9/11/2018 1:53:00 PM,325.4,328,319.75,326,1120
9/11/2018 1:52:00 PM,345,345,325,325.4,1720
9/11/2018 1:51:00 PM,318.7,347.55,316.3,347.55,4520
9/11/2018 1:50:00 PM,316.4,321,309.9,318.7,2440
9/11/2018 1:49:00 PM,296.2,316.4,294,316.4,1880
9/11/2018 1:48:00 PM,284,296.2,284,296.2,2800
9/11/2018 1:47:00 PM,291.95,291.95,284,284,840
9/11/2018 1:46:00 PM,260.7,299.55,260.7,291.95,2840
9/11/2018 1:45:00 PM,250,265.05,250,263.85,760
9/11/2018 1:44:00 PM,250,250,250,250,0
