trade_date,order_execution_time,tradingsymbol,trade_type,quantity,price,expiry_date
5/16/2018,2018-05-16T10:05:42,NIFTY18MAYFUT,buy,150,10737,5/31/2018
5/16/2018,2018-05-16T10:10:49,NIFTY18MAYFUT,sell,-225,10732.05,5/31/2018
5/16/2018,2018-05-16T10:11:31,NIFTY18MAYFUT,buy,75,10727,5/31/2018
5/16/2018,2018-05-16T10:11:31,NIFTY18MAYFUT,buy,75,10727,5/31/2018
5/16/2018,2018-05-16T10:11:49,NIFTY18MAYFUT,sell,-150,10725.1,5/31/2018
5/16/2018,2018-05-16T10:14:44,NIFTY18MAYFUT,buy,75,10728,5/31/2018
5/16/2018,2018-05-16T10:14:44,NIFTY18MAYFUT,buy,75,10728,5/31/2018
5/16/2018,2018-05-16T10:14:44,NIFTY18MAYFUT,buy,75,10728,5/31/2018
5/16/2018,2018-05-16T10:20:35,NIFTY18MAYFUT,buy,225,10736.95,5/31/2018
5/16/2018,2018-05-16T10:22:19,NIFTY18MAYFUT,sell,-75,10744.2,5/31/2018
5/16/2018,2018-05-16T10:22:39,NIFTY18MAYFUT,sell,-75,10740,5/31/2018
5/16/2018,2018-05-16T10:22:39,NIFTY18MAYFUT,sell,-75,10740,5/31/2018
5/16/2018,2018-05-16T10:22:39,NIFTY18MAYFUT,sell,-75,10740,5/31/2018
5/16/2018,2018-05-16T10:23:36,NIFTY18MAYFUT,buy,75,10743,5/31/2018
5/16/2018,2018-05-16T12:53:03,NIFTY18MAYFUT,buy,75,10778.65,5/31/2018
5/16/2018,2018-05-16T12:53:03,NIFTY18MAYFUT,buy,75,10779,5/31/2018
5/16/2018,2018-05-16T12:53:03,NIFTY18MAYFUT,buy,75,10779,5/31/2018
5/16/2018,2018-05-16T13:02:10,NIFTY18MAYFUT,sell,-150,10793,5/31/2018
5/16/2018,2018-05-16T13:05:59,NIFTY18MAYFUT,sell,-75,10812.6,5/31/2018
5/17/2018,2018-05-17T09:21:49,NIFTY18MAYFUT,buy,225,10774,5/31/2018
5/17/2018,2018-05-17T09:26:57,NIFTY18MAYFUT,sell,-225,10761.55,5/31/2018
5/17/2018,2018-05-17T09:28:14,NIFTY18MAYFUT,buy,150,10765.1,5/31/2018
5/17/2018,2018-05-17T09:32:19,NIFTY18MAYFUT,buy,75,10763.6,5/31/2018
5/17/2018,2018-05-17T09:36:29,NIFTY18MAYFUT,sell,-75,10753.6,5/31/2018
5/17/2018,2018-05-17T09:36:29,NIFTY18MAYFUT,sell,-150,10753.6,5/31/2018
5/17/2018,2018-05-17T09:36:50,NIFTY18MAYFUT,sell,-75,10755.95,5/31/2018
5/17/2018,2018-05-17T09:36:50,NIFTY18MAYFUT,sell,-75,10755.75,5/31/2018
5/17/2018,2018-05-17T09:38:12,NIFTY18MAYFUT,buy,150,10759,5/31/2018
5/17/2018,2018-05-17T09:41:59,NIFTY18MAYFUT,buy,150,10757.85,5/31/2018
5/17/2018,2018-05-17T09:43:59,NIFTY18MAYFUT,sell,-150,10751.2,5/31/2018
5/17/2018,2018-05-17T11:44:31,NIFTY18MAYFUT,buy,150,10732.3,5/31/2018
5/17/2018,2018-05-17T11:54:43,NIFTY18MAYFUT,sell,-150,10730.6,5/31/2018
5/21/2018,2018-05-21T09:26:50,NIFTY18MAYFUT,sell,-75,10601.5,5/31/2018
5/21/2018,2018-05-21T09:34:32,NIFTY18MAYFUT,sell,-75,10609.05,5/31/2018
5/21/2018,2018-05-21T09:36:12,NIFTY18MAYFUT,buy,150,10618.3,5/31/2018
5/21/2018,2018-05-21T09:39:50,NIFTY18MAYFUT,buy,75,10624,5/31/2018
5/21/2018,2018-05-21T09:39:50,NIFTY18MAYFUT,buy,75,10624,5/31/2018
5/21/2018,2018-05-21T09:44:49,NIFTY18MAYFUT,sell,-75,10619.4,5/31/2018
5/21/2018,2018-05-21T09:44:49,NIFTY18MAYFUT,sell,-75,10619.2,5/31/2018
5/21/2018,2018-05-21T10:02:05,TATACHEM18MAYFUT,buy,750,748.5,5/31/2018
5/21/2018,2018-05-21T10:03:30,TATACHEM18MAYFUT,sell,-750,746.6,5/31/2018
5/21/2018,2018-05-21T13:48:15,NIFTY18MAYFUT,sell,-75,10547.3,5/31/2018
5/21/2018,2018-05-21T13:48:15,NIFTY18MAYFUT,sell,-75,10547.05,5/31/2018
5/21/2018,2018-05-21T13:56:37,NIFTY18MAYFUT,buy,75,10544.2,5/31/2018
5/21/2018,2018-05-21T13:59:31,NIFTY18MAYFUT,buy,75,10538.7,5/31/2018
5/21/2018,2018-05-21T14:43:23,NIFTY18MAYFUT,sell,-150,10538.1,5/31/2018
5/21/2018,2018-05-21T14:44:31,NIFTY18MAYFUT,buy,150,10536.45,5/31/2018
7/10/2018,2018-07-10T11:49:17,NIFTY18JUL11050CE,buy,75,40.05,7/26/2018
7/10/2018,2018-07-10T12:04:05,NIFTY18JUL10900PE,buy,75,83,7/26/2018
7/10/2018,2018-07-10T15:24:17,NIFTY18JUL10900PE,buy,75,78.85,7/26/2018
7/10/2018,2018-07-10T15:25:11,NIFTY18JUL11050CE,buy,75,51.7,7/26/2018
7/11/2018,2018-07-11T11:42:42,NIFTY18JUL10900PE,sell,-150,91.2,7/26/2018
7/11/2018,2018-07-11T11:42:49,NIFTY18JUL11050CE,sell,-75,42.95,7/26/2018
7/11/2018,2018-07-11T11:42:49,NIFTY18JUL11050CE,sell,-75,42.9,7/26/2018
7/13/2018,2018-07-13T15:14:03,BANKNIFTY1871927000CE,buy,40,148.8,7/19/2018
7/13/2018,2018-07-13T15:14:25,BANKNIFTY18JUL26900PE,buy,40,211.4,7/26/2018
7/13/2018,2018-07-13T15:23:06,BANKNIFTY18JUL27500CE,buy,40,61.25,7/26/2018
7/16/2018,2018-07-16T10:30:05,BANKNIFTY1871927000CE,sell,-40,63.6,7/19/2018
7/16/2018,2018-07-16T14:48:01,BANKNIFTY18JUL26900PE,sell,-40,295.05,7/26/2018
7/16/2018,2018-07-16T14:48:41,BANKNIFTY18JUL27500CE,sell,-40,27.85,7/26/2018
7/16/2018,2018-07-16T15:25:55,BANKNIFTY1871926700PE,buy,40,105.05,7/19/2018
7/16/2018,2018-07-16T15:26:00,BANKNIFTY1871926900CE,buy,40,67.7,7/19/2018
7/18/2018,2018-07-18T11:06:15,BANKNIFTY1871926900CE,sell,-40,291.55,7/19/2018
7/18/2018,2018-07-18T11:06:22,BANKNIFTY1871926700PE,sell,-40,8.55,7/19/2018
7/18/2018,2018-07-18T11:31:12,BANKNIFTY18JUL27300CE,buy,40,155.7,7/26/2018
7/18/2018,2018-07-18T11:31:26,BANKNIFTY18JUL27000PE,buy,40,122.85,7/26/2018
7/18/2018,2018-07-18T12:58:02,BANKNIFTY18JUL27000PE,sell,-40,164.4,7/26/2018
7/18/2018,2018-07-18T12:58:08,BANKNIFTY18JUL27300CE,sell,-40,117.7,7/26/2018
7/18/2018,2018-07-18T14:44:55,BANKNIFTY18JUL26900PE,buy,40,170.9,7/26/2018
7/18/2018,2018-07-18T14:45:10,BANKNIFTY18JUL27000CE,buy,40,212,7/26/2018
7/24/2018,2018-07-24T11:51:41,BANKNIFTY18JUL26900PE,sell,-40,46.7,7/26/2018
7/24/2018,2018-07-24T11:51:47,BANKNIFTY18JUL27000CE,sell,-40,208.5,7/26/2018
7/30/2018,2018-07-30T11:00:36,NIFTY18AUG11350CE,buy,75,121.4,8/30/2018
7/30/2018,2018-07-30T11:00:41,NIFTY18AUG11250PE,buy,75,132.15,8/30/2018
8/6/2018,2018-08-06T13:34:41,NIFTY18AUG11350CE,sell,-75,163.3,8/30/2018
8/6/2018,2018-08-06T13:34:46,NIFTY18AUG11250PE,sell,-75,70.25,8/30/2018
8/6/2018,2018-08-06T13:36:11,BANKNIFTY18AUG28300CE,buy,40,204.65,8/30/2018
8/6/2018,2018-08-06T13:36:43,BANKNIFTY18AUG27700PE,buy,40,240.15,8/30/2018
8/9/2018,2018-08-09T10:39:58,BANKNIFTY18AUG27700PE,sell,-40,127.75,8/30/2018
8/9/2018,2018-08-09T10:40:06,BANKNIFTY1881628200PE,buy,40,134.3,8/16/2018
8/13/2018,2018-08-13T09:49:28,BANKNIFTY1881628200PE,sell,-40,365.2,8/16/2018
8/13/2018,2018-08-13T09:49:39,BANKNIFTY18AUG28300CE,sell,-40,135.35,8/30/2018
8/14/2018,2018-08-14T09:30:25,BANKNIFTY18AUG27700PE,buy,40,185.75,8/30/2018
8/14/2018,2018-08-14T09:31:48,BANKNIFTY18AUG28300CE,buy,40,175.5,8/30/2018
8/17/2018,2018-08-17T15:07:30,BANKNIFTY18AUG27700PE,sell,-40,102.3,8/30/2018
8/17/2018,2018-08-17T15:07:38,BANKNIFTY1882328100PE,buy,40,126.25,8/23/2018
8/20/2018,2018-08-20T14:15:42,BANKNIFTY18AUG28200PE,buy,40,160.85,8/30/2018
8/20/2018,2018-08-20T14:15:50,BANKNIFTY1882328100PE,sell,-40,46.75,8/23/2018
8/24/2018,2018-08-24T13:28:43,BANKNIFTY18AUG28200PE,sell,-40,342,8/30/2018
8/24/2018,2018-08-24T13:28:50,BANKNIFTY18AUG28300CE,sell,-40,45.6,8/30/2018
8/27/2018,2018-08-27T10:14:30,BANKNIFTY1890628300CE,buy,40,191.6,9/6/2018
8/27/2018,2018-08-27T10:15:14,BANKNIFTY1890628100PE,buy,40,150.45,9/6/2018
8/27/2018,2018-08-27T10:18:50,BANKNIFTY1890628100PE,sell,-40,152.05,9/6/2018
8/27/2018,2018-08-27T10:18:53,BANKNIFTY1890628200PE,buy,40,195.65,9/6/2018
8/27/2018,2018-08-27T10:30:28,NIFTY18SEP12000CE,buy,75,31.1,9/27/2018
8/27/2018,2018-08-27T10:30:34,NIFTY18SEP11300PE,buy,75,42.4,9/27/2018
