Date,BANKNIFTY19SEP1827700CE O,BANKNIFTY19SEP1827700CE H,BANKNIFTY19SEP1827700CE L,BANKNIFTY19SEP1827700CE C,BANKNIFTY19SEP1827700CE V
9/12/2018 3:29:00 PM,13.4,14.75,13.25,13.75,3640
9/12/2018 3:28:00 PM,13.65,14.6,13.15,13.3,4440
9/12/2018 3:27:00 PM,13.75,14.1,13.65,13.7,6160
9/12/2018 3:26:00 PM,13.75,14.1,13.6,14.1,4120
9/12/2018 3:25:00 PM,13.3,13.85,13.15,13.55,4080
9/12/2018 3:24:00 PM,13.55,13.55,13,13.35,4680
9/12/2018 3:23:00 PM,13.6,14.2,13.35,13.35,8080
9/12/2018 3:22:00 PM,14.05,14.05,13.45,13.6,4240
9/12/2018 3:21:00 PM,13.95,14.1,13.6,13.9,5520
9/12/2018 3:20:00 PM,13.95,14.2,13.5,13.95,8040
9/12/2018 3:19:00 PM,14.05,14.45,13.6,13.95,11000
9/12/2018 3:18:00 PM,13.55,14.05,13.25,14.05,12120
9/12/2018 3:17:00 PM,13.55,13.8,13.2,13.55,5440
9/12/2018 3:16:00 PM,14.75,14.75,13.55,13.75,7080
9/12/2018 3:15:00 PM,14.4,14.75,14.4,14.6,6760
9/12/2018 3:14:00 PM,14.6,14.85,14.4,14.4,5440
9/12/2018 3:13:00 PM,15,15.45,14.6,14.6,6640
9/12/2018 3:12:00 PM,14.9,15,14.6,15,8400
9/12/2018 3:11:00 PM,14.75,15.05,14.65,14.9,4040
9/12/2018 3:10:00 PM,14.25,15,14.25,14.75,2760
9/12/2018 3:09:00 PM,14.85,15.25,14.15,14.25,4040
9/12/2018 3:08:00 PM,15.1,15.3,14.5,14.9,1680
9/12/2018 3:07:00 PM,15.15,15.5,14.95,15.1,2440
9/12/2018 3:06:00 PM,14.4,15.25,14.4,15.15,4160
9/12/2018 3:05:00 PM,14.55,15.4,14.25,14.4,2360
9/12/2018 3:04:00 PM,15.25,15.25,14.4,14.55,1720
9/12/2018 3:03:00 PM,14.3,15.7,14.3,15.15,4360
9/12/2018 3:02:00 PM,13.55,14.45,13.4,14.35,1520
9/12/2018 3:01:00 PM,15.35,15.6,13.55,13.55,3360
9/12/2018 3:00:00 PM,15.95,16.75,15.35,15.35,3440
9/12/2018 2:59:00 PM,16.05,16.55,15.8,15.95,520
9/12/2018 2:58:00 PM,17.05,17.05,16.05,16.05,5840
9/12/2018 2:57:00 PM,15.75,17.25,15.65,17.05,2560
9/12/2018 2:56:00 PM,15.55,15.95,15.35,15.75,3760
9/12/2018 2:55:00 PM,14.85,15.55,14.65,15.55,1200
9/12/2018 2:54:00 PM,15.45,15.45,14.7,14.85,1240
9/12/2018 2:53:00 PM,15.8,16,15.3,15.95,3920
9/12/2018 2:52:00 PM,15.55,16,15.05,15.8,7840
9/12/2018 2:51:00 PM,14.7,15.45,14.7,15,1480
9/12/2018 2:50:00 PM,14.95,15.25,14.7,14.85,720
9/12/2018 2:49:00 PM,15.55,15.55,14.85,14.95,640
9/12/2018 2:48:00 PM,15.5,15.55,14,15.55,3640
9/12/2018 2:47:00 PM,15.45,15.95,15.45,15.5,880
9/12/2018 2:46:00 PM,15.6,15.9,15.25,15.45,1560
9/12/2018 2:45:00 PM,16.55,16.65,15.4,15.6,1280
9/12/2018 2:44:00 PM,15.6,16.75,15.5,16.55,3320
9/12/2018 2:43:00 PM,14.9,16.4,14.9,15.6,4160
9/12/2018 2:42:00 PM,14.15,15.3,14.15,14.9,1680
9/12/2018 2:41:00 PM,13.75,14.45,13.7,14.15,1840
9/12/2018 2:40:00 PM,13.4,14.15,13.35,13.75,2000
9/12/2018 2:39:00 PM,14.1,14.7,13.3,13.4,3560
9/12/2018 2:38:00 PM,13.35,14.55,13.35,14.3,4800
9/12/2018 2:37:00 PM,13.25,13.6,13.1,13.35,840
9/12/2018 2:36:00 PM,13.45,13.45,12.95,13.25,600
9/12/2018 2:35:00 PM,13.5,15,13.5,13.6,1800
9/12/2018 2:34:00 PM,14.95,14.95,13.5,13.5,2560
9/12/2018 2:33:00 PM,14.7,15.2,14.7,14.95,2680
9/12/2018 2:32:00 PM,14.8,14.8,14.35,14.7,3040
9/12/2018 2:31:00 PM,15.45,15.6,14.8,14.8,880
9/12/2018 2:30:00 PM,14.5,15.75,14.5,15.45,2880
9/12/2018 2:29:00 PM,14.85,15,13.8,14.5,2680
9/12/2018 2:28:00 PM,15.6,15.65,14.85,14.85,360
9/12/2018 2:27:00 PM,15,15.6,14.8,15.6,1080
9/12/2018 2:26:00 PM,15,15.3,14.7,15,600
9/12/2018 2:25:00 PM,16.05,16.55,14.85,15,2880
9/12/2018 2:24:00 PM,15.85,16.75,14.55,16.05,4080
9/12/2018 2:23:00 PM,15.1,16.9,15.1,15.85,1600
9/12/2018 2:22:00 PM,14.5,15.1,14.5,15.1,800
9/12/2018 2:21:00 PM,14.3,14.5,14.3,14.5,160
9/12/2018 2:20:00 PM,13.7,14.4,13.65,14.3,2240
9/12/2018 2:19:00 PM,14.9,14.9,13.7,13.7,480
9/12/2018 2:18:00 PM,14.85,14.9,14,14.9,520
9/12/2018 2:17:00 PM,14.7,15.15,14.65,14.85,2800
9/12/2018 2:16:00 PM,15.95,15.95,14.6,14.7,4560
9/12/2018 2:15:00 PM,15.5,16,15.5,15.95,1560
9/12/2018 2:14:00 PM,15.1,15.5,15.1,15.5,840
9/12/2018 2:13:00 PM,15,15.5,15,15.1,5280
9/12/2018 2:12:00 PM,14.8,15,14.5,15,160
9/12/2018 2:11:00 PM,13.5,14.95,13.5,14.8,7480
9/12/2018 2:10:00 PM,13.7,13.85,13.5,13.5,560
9/12/2018 2:09:00 PM,12.85,13.75,12.35,13.7,2080
9/12/2018 2:08:00 PM,13.25,13.55,11.3,11.65,2200
9/12/2018 2:07:00 PM,13.65,13.9,13.25,13.25,3200
9/12/2018 2:06:00 PM,15.25,15.35,13.65,13.65,3760
9/12/2018 2:05:00 PM,15.25,15.3,14.55,15.25,2440
9/12/2018 2:04:00 PM,14.85,16,14.85,15.25,2040
9/12/2018 2:03:00 PM,15,15,13.6,14.65,2200
9/12/2018 2:02:00 PM,15.5,15.6,14.8,15,1480
9/12/2018 2:01:00 PM,14.45,15.5,14.05,15.5,6040
9/12/2018 2:00:00 PM,13.85,15.2,13.4,14.45,5200
9/12/2018 1:59:00 PM,11.8,15.05,11.8,14.05,6720
9/12/2018 1:58:00 PM,12.35,12.35,11.7,11.8,920
9/12/2018 1:57:00 PM,13,13.2,12.3,12.35,1840
9/12/2018 1:56:00 PM,12,13.05,12,13.05,1520
9/12/2018 1:55:00 PM,11.95,12.4,11.6,12,680
9/12/2018 1:54:00 PM,10.55,11.95,10.55,11.95,1160
9/12/2018 1:53:00 PM,10.15,10.55,10.1,10.55,1080
9/12/2018 1:52:00 PM,10.8,11.15,10.15,10.15,840
9/12/2018 1:51:00 PM,10.85,11.8,10.8,10.8,2280
9/12/2018 1:50:00 PM,11.2,11.7,10.4,11.3,2840
9/12/2018 1:49:00 PM,11.5,11.5,10.75,11.2,960
9/12/2018 1:48:00 PM,11.6,11.6,10.4,11.5,2080
9/12/2018 1:47:00 PM,11.4,11.7,11.4,11.6,560
9/12/2018 1:46:00 PM,10.85,11.45,10.55,11.4,5240
9/12/2018 1:45:00 PM,9.8,10.9,9.65,10.9,3240
9/12/2018 1:44:00 PM,9.3,9.8,8.85,9.8,1920
9/12/2018 1:43:00 PM,9.2,9.3,9.05,9.3,1000
9/12/2018 1:42:00 PM,9.55,9.8,9.2,9.2,800
9/12/2018 1:41:00 PM,9.35,9.65,9.25,9.55,1160
9/12/2018 1:40:00 PM,9.45,9.55,9.3,9.35,1120
9/12/2018 1:39:00 PM,8.95,9.6,8.95,9.45,1720
9/12/2018 1:38:00 PM,8.8,8.95,8.8,8.95,440
9/12/2018 1:37:00 PM,9,9,8.8,8.8,80
9/12/2018 1:36:00 PM,8.4,9,8.4,9,3760
9/12/2018 1:35:00 PM,9.15,9.15,8.4,8.4,1000
9/12/2018 1:34:00 PM,9.2,9.35,8.75,9.15,3080
9/12/2018 1:33:00 PM,9,9.45,9,9.2,1880
9/12/2018 1:32:00 PM,9.15,9.15,8.7,9,1040
9/12/2018 1:31:00 PM,8.4,9.15,8.3,9.15,1120
9/12/2018 1:30:00 PM,9.55,9.55,8.4,8.4,1560
9/12/2018 1:29:00 PM,9.65,9.65,9.4,9.55,1600
9/12/2018 1:28:00 PM,9.6,9.85,9.55,9.65,360
9/12/2018 1:27:00 PM,9.55,9.65,9.55,9.6,320
9/12/2018 1:26:00 PM,9.65,9.75,9.55,9.55,480
9/12/2018 1:25:00 PM,9.6,9.65,9.2,9.65,920
9/12/2018 1:24:00 PM,9.8,9.9,8.95,9.1,1240
9/12/2018 1:23:00 PM,9.55,9.85,9.2,9.8,1440
9/12/2018 1:22:00 PM,9.7,9.75,9.55,9.55,80
9/12/2018 1:21:00 PM,10.2,10.2,9.5,9.7,1840
9/12/2018 1:20:00 PM,9.75,10.3,9.75,10.2,1720
9/12/2018 1:19:00 PM,10.35,10.65,9.75,9.75,3400
9/12/2018 1:18:00 PM,10.4,10.9,10.2,10.35,760
9/12/2018 1:17:00 PM,9.75,10.6,9.7,10.4,1440
9/12/2018 1:16:00 PM,10.25,10.25,9.75,9.75,920
9/12/2018 1:15:00 PM,9.45,10.25,9.45,10.25,4200
9/12/2018 1:14:00 PM,8.7,9.55,8.7,9.4,1760
9/12/2018 1:13:00 PM,8.95,9.25,8.55,8.7,3800
9/12/2018 1:12:00 PM,9.75,9.75,8.95,8.95,1240
9/12/2018 1:11:00 PM,9.85,9.9,8.95,9.75,2520
9/12/2018 1:10:00 PM,10.1,10.8,9.75,9.75,2760
9/12/2018 1:09:00 PM,10.15,10.35,9.55,10.1,3040
9/12/2018 1:08:00 PM,9.5,9.7,9.25,9.7,1080
9/12/2018 1:07:00 PM,9.2,9.95,9.2,9.5,3400
9/12/2018 1:06:00 PM,8.95,9.7,8.95,9.2,440
9/12/2018 1:05:00 PM,9.25,9.4,8.95,8.95,360
9/12/2018 1:04:00 PM,8.7,9.5,8.7,9.25,720
9/12/2018 1:03:00 PM,8.85,8.85,8.55,8.7,400
9/12/2018 1:02:00 PM,8.85,8.85,8.6,8.85,1000
9/12/2018 1:01:00 PM,9.25,9.3,8.85,8.85,720
9/12/2018 1:00:00 PM,9.4,9.4,9.25,9.25,920
9/12/2018 12:59:00 PM,9.4,9.7,9.35,9.4,1000
9/12/2018 12:58:00 PM,9.05,9.95,9.05,9.4,2920
9/12/2018 12:57:00 PM,8.75,9.15,8.75,9.05,2800
9/12/2018 12:56:00 PM,8.65,8.8,8.65,8.75,680
9/12/2018 12:55:00 PM,8.55,8.65,8.55,8.65,760
9/12/2018 12:54:00 PM,8.6,9.05,8.45,8.75,560
9/12/2018 12:53:00 PM,8.7,8.75,8.6,8.6,240
9/12/2018 12:52:00 PM,9.05,9.05,8.7,8.7,240
9/12/2018 12:51:00 PM,8.95,9.05,8.9,9.05,560
9/12/2018 12:50:00 PM,9.3,9.3,8.95,8.95,720
9/12/2018 12:49:00 PM,9.15,9.35,8.8,9.3,800
9/12/2018 12:48:00 PM,9.1,9.3,9.1,9.15,1120
9/12/2018 12:47:00 PM,9.4,9.4,8.9,9.05,360
9/12/2018 12:46:00 PM,9.35,9.65,9.25,9.4,880
