Date,BANKNIFTY19SEP1827800CE O,BANKNIFTY19SEP1827800CE H,BANKNIFTY19SEP1827800CE L,BANKNIFTY19SEP1827800CE C,BANKNIFTY19SEP1827800CE V
9/12/2018 3:29:00 PM,9.7,10,9.45,10,3880
9/12/2018 3:28:00 PM,9.8,9.8,9.15,9.7,2440
9/12/2018 3:27:00 PM,10.3,10.3,9.75,9.8,2080
9/12/2018 3:26:00 PM,9.9,10.3,9.65,10.3,5720
9/12/2018 3:25:00 PM,9.45,9.9,9.15,9.9,8880
9/12/2018 3:24:00 PM,9.75,9.8,9.2,9.45,6880
9/12/2018 3:23:00 PM,9.85,9.95,9.6,9.7,6200
9/12/2018 3:22:00 PM,10.35,10.35,9.85,9.85,4160
9/12/2018 3:21:00 PM,10.15,10.3,10.05,10.15,3080
9/12/2018 3:20:00 PM,10.4,10.5,10,10.15,2960
9/12/2018 3:19:00 PM,10.25,10.4,10.1,10.4,4640
9/12/2018 3:18:00 PM,10.1,10.3,9.9,10.25,7360
9/12/2018 3:17:00 PM,10.2,10.3,10,10.15,3880
9/12/2018 3:16:00 PM,10.7,11,10.1,10.1,4160
9/12/2018 3:15:00 PM,10.35,11,10.35,10.7,3160
9/12/2018 3:14:00 PM,11,11,10.35,10.35,1320
9/12/2018 3:13:00 PM,11.15,11.4,10.7,11,3080
9/12/2018 3:12:00 PM,11,11.25,10.9,11.25,6400
9/12/2018 3:11:00 PM,10.8,11.15,10.7,11,3920
9/12/2018 3:10:00 PM,10.5,11.25,10.45,10.8,5120
9/12/2018 3:09:00 PM,10.9,11.5,10.4,10.5,5960
9/12/2018 3:08:00 PM,10.8,10.9,10.6,10.8,3880
9/12/2018 3:07:00 PM,10.95,11.2,10.8,10.8,2200
9/12/2018 3:06:00 PM,10.6,11.05,10.6,10.95,1920
9/12/2018 3:05:00 PM,10.7,11.1,10.6,10.6,3960
9/12/2018 3:04:00 PM,11.4,11.4,10.65,10.65,4480
9/12/2018 3:03:00 PM,10.5,11.7,10.5,11.3,6320
9/12/2018 3:02:00 PM,10.25,10.45,9.85,10.4,4920
9/12/2018 3:01:00 PM,11.3,11.3,10.05,10.25,3360
9/12/2018 3:00:00 PM,12.05,12.05,11.1,11.4,3160
9/12/2018 2:59:00 PM,11.8,12.3,11.8,12.05,1280
9/12/2018 2:58:00 PM,12.5,12.7,11.8,11.8,1720
9/12/2018 2:57:00 PM,11.65,12.5,11.65,12.5,6600
9/12/2018 2:56:00 PM,11.5,12,11.5,11.65,6760
9/12/2018 2:55:00 PM,10.75,11.5,10.55,11.5,1600
9/12/2018 2:54:00 PM,11.55,11.55,10.55,10.75,5600
9/12/2018 2:53:00 PM,11.9,11.9,11.65,11.8,2080
9/12/2018 2:52:00 PM,11.2,12,11.2,11.9,2840
9/12/2018 2:51:00 PM,10.95,11.2,10.95,11.2,1240
9/12/2018 2:50:00 PM,11,11,10.95,10.95,280
9/12/2018 2:49:00 PM,11.55,11.55,10.95,11,320
9/12/2018 2:48:00 PM,11.15,11.55,10.4,11.55,1280
9/12/2018 2:47:00 PM,11.25,11.9,11.15,11.15,1360
9/12/2018 2:46:00 PM,11.9,12.2,11.25,11.25,960
9/12/2018 2:45:00 PM,12.25,12.5,11.55,11.9,2080
9/12/2018 2:44:00 PM,11.25,12.25,11.25,12.25,1000
9/12/2018 2:43:00 PM,11.15,12.5,11.1,11.6,3280
9/12/2018 2:42:00 PM,10.65,11.25,10.65,11.15,1080
9/12/2018 2:41:00 PM,10.5,10.75,10.35,10.65,2240
9/12/2018 2:40:00 PM,10,10.75,9.85,10.5,2160
9/12/2018 2:39:00 PM,10.5,10.75,10,10,4000
9/12/2018 2:38:00 PM,9.8,10.6,9.8,10.5,3800
9/12/2018 2:37:00 PM,9.9,10,9.65,9.8,1560
9/12/2018 2:36:00 PM,10.05,10.05,9.6,9.9,1000
9/12/2018 2:35:00 PM,10.05,11.3,9.85,10.05,1720
9/12/2018 2:34:00 PM,10.9,10.95,9.9,10.05,1520
9/12/2018 2:33:00 PM,10.95,11.25,10.9,10.9,920
9/12/2018 2:32:00 PM,10.85,11,10.35,10.95,2800
9/12/2018 2:31:00 PM,11.2,11.45,11.05,11.4,2840
9/12/2018 2:30:00 PM,10.5,11.2,10.5,11.2,1000
9/12/2018 2:29:00 PM,10.8,10.8,10.1,10.5,2760
9/12/2018 2:28:00 PM,11.3,11.45,10.8,10.8,280
9/12/2018 2:27:00 PM,10.8,11.3,10.7,11.3,1120
