Date,BANKNIFTY12SEP1826900PE O,BANKNIFTY12SEP1826900PE H,BANKNIFTY12SEP1826900PE L,BANKNIFTY12SEP1826900PE C,BANKNIFTY12SEP1826900PE V
9/12/2018 3:29:00 PM,49.1,53.5,40.55,45.9,40080
9/12/2018 3:28:00 PM,47.75,53.65,46,48.6,32000
9/12/2018 3:27:00 PM,58.45,59.75,45.65,47.65,45400
9/12/2018 3:26:00 PM,64,64.1,56.5,58.85,36640
9/12/2018 3:25:00 PM,69.65,69.65,64,64,33960
9/12/2018 3:24:00 PM,68.7,72.6,66.8,69.45,73520
9/12/2018 3:23:00 PM,57.55,68.35,56.95,68.35,111080
9/12/2018 3:22:00 PM,50.6,59,50.6,58,99920
9/12/2018 3:21:00 PM,56.75,58.15,46.7,50.65,119000
9/12/2018 3:20:00 PM,58.4,59.5,54.1,57.2,74200
9/12/2018 3:19:00 PM,61.65,63.75,57.8,59.3,104120
9/12/2018 3:18:00 PM,72.75,72.9,61.35,61.35,117920
9/12/2018 3:17:00 PM,75.9,77.1,73.2,73.2,56280
9/12/2018 3:16:00 PM,71.7,75.9,71.15,75.9,68800
9/12/2018 3:15:00 PM,76.85,80.95,71.4,72.2,85400
9/12/2018 3:14:00 PM,77.15,81.05,75.8,78.45,59880
9/12/2018 3:13:00 PM,71.45,79.35,67.5,77.2,88320
9/12/2018 3:12:00 PM,76.25,78.1,71.65,71.9,67120
9/12/2018 3:11:00 PM,80.35,82.3,74.55,76.55,48840
9/12/2018 3:10:00 PM,83.1,83.1,77.5,80.9,61960
9/12/2018 3:09:00 PM,83.65,85.2,74.4,82.85,110240
9/12/2018 3:08:00 PM,92.55,93.7,82.05,84.95,97760
9/12/2018 3:07:00 PM,96.1,96.25,87.65,93.15,53400
9/12/2018 3:06:00 PM,110.9,110.9,93.9,94.25,37440
9/12/2018 3:05:00 PM,115.45,116.05,102.1,111.3,72560
9/12/2018 3:04:00 PM,98.3,115.75,96.7,114.7,49800
9/12/2018 3:03:00 PM,108,108,90,97.8,78240
9/12/2018 3:02:00 PM,114.45,121.9,105.45,108.15,164920
9/12/2018 3:01:00 PM,85.95,110.4,85.95,110.4,68200
9/12/2018 3:00:00 PM,76.15,86.5,68.6,86,83840
9/12/2018 2:59:00 PM,71,80,62.05,76.05,63440
9/12/2018 2:58:00 PM,54.25,72.25,54.25,70.1,85080
9/12/2018 2:57:00 PM,75.75,75.75,52.65,54.7,114920
9/12/2018 2:56:00 PM,81,82.25,72.15,76.95,60120
9/12/2018 2:55:00 PM,91.9,95.9,80.4,81.15,47680
9/12/2018 2:54:00 PM,74.6,94.9,74.6,91.25,98160
9/12/2018 2:53:00 PM,75.05,78,67.75,71.9,23840
9/12/2018 2:52:00 PM,72.9,75.15,63.85,75.15,43320
9/12/2018 2:51:00 PM,78.7,78.9,69.55,74,44040
9/12/2018 2:50:00 PM,69.4,79.35,68.1,77.75,36920
9/12/2018 2:49:00 PM,66.9,73.6,62.65,67.4,42440
9/12/2018 2:48:00 PM,62.9,81.1,62.6,63.25,84600
9/12/2018 2:47:00 PM,63.25,65.1,52.65,62.9,58200
9/12/2018 2:46:00 PM,60.6,66.65,55.1,63.85,58640
9/12/2018 2:45:00 PM,51.3,61.7,48.05,60.2,100600
9/12/2018 2:44:00 PM,61.55,61.75,47.7,50.15,99360
9/12/2018 2:43:00 PM,73.45,73.45,54.45,62.15,112040
9/12/2018 2:42:00 PM,77.65,78.1,66,72.35,79360
9/12/2018 2:41:00 PM,84.1,89.95,78,79,53840
9/12/2018 2:40:00 PM,80.6,85.6,76.95,84.85,43400
9/12/2018 2:39:00 PM,69.35,81.7,66.4,80.3,54040
9/12/2018 2:38:00 PM,83.5,83.5,61.85,69.35,96360
9/12/2018 2:37:00 PM,88.55,90.7,81,84.5,47800
9/12/2018 2:36:00 PM,87.9,98.5,85.6,86.5,94160
9/12/2018 2:35:00 PM,78.45,87.55,74.4,86.65,110280
9/12/2018 2:34:00 PM,68.5,88.15,65.75,84.55,87840
9/12/2018 2:33:00 PM,60,68,57.6,68,74440
9/12/2018 2:32:00 PM,62,67.35,57.75,60.35,116040
9/12/2018 2:31:00 PM,55.05,62,51.85,62,92600
9/12/2018 2:30:00 PM,55.55,56.75,48.6,53.5,114200
9/12/2018 2:29:00 PM,57.05,63.3,51.25,54.95,114320
9/12/2018 2:28:00 PM,46.45,57.95,44.9,57.95,83160
9/12/2018 2:27:00 PM,45.1,54.8,44.05,47.2,95000
9/12/2018 2:26:00 PM,43.1,50.05,40.15,46.05,146200
9/12/2018 2:25:00 PM,35.5,45.7,34.4,45,192320
9/12/2018 2:24:00 PM,42,42.1,32.1,36.2,258400
9/12/2018 2:23:00 PM,66.3,66.3,41.6,41.65,115920
9/12/2018 2:22:00 PM,72.6,75.8,62.75,66.15,41440
9/12/2018 2:21:00 PM,73.75,76.2,64.35,71.05,53320
9/12/2018 2:20:00 PM,77.8,78.65,70.4,73.5,54480
9/12/2018 2:19:00 PM,73.55,80.05,70.55,78.1,66000
9/12/2018 2:18:00 PM,74.75,85,69.75,73.65,58400
9/12/2018 2:17:00 PM,74,76.85,63.8,74.9,70880
9/12/2018 2:16:00 PM,66.3,74.5,64.05,74,68040
9/12/2018 2:15:00 PM,83.45,83.45,67.25,67.65,74040
9/12/2018 2:14:00 PM,88.15,88.15,81.7,83.6,25360
9/12/2018 2:13:00 PM,90,95.2,83.2,88.45,37560
9/12/2018 2:12:00 PM,91.9,94,80.55,90,33920
9/12/2018 2:11:00 PM,87.4,93.65,78.45,92,72400
9/12/2018 2:10:00 PM,87.7,100.6,85.85,88.4,49640
9/12/2018 2:09:00 PM,93.6,107.6,87.15,88.3,79760
9/12/2018 2:08:00 PM,89,116.05,82.9,97.8,125040
9/12/2018 2:07:00 PM,76.5,90,75,90,94240
9/12/2018 2:06:00 PM,65.15,75.45,58.65,75.45,68560
9/12/2018 2:05:00 PM,62.85,68.25,56.6,65.95,62080
9/12/2018 2:04:00 PM,59.2,66.9,53.35,64.95,95600
9/12/2018 2:03:00 PM,63.35,73.95,61.05,61.05,112400
