Date,BANKNIFTY12SEP1826800PE O,BANKNIFTY12SEP1826800PE H,BANKNIFTY12SEP1826800PE L,BANKNIFTY12SEP1826800PE C,BANKNIFTY12SEP1826800PE V
9/12/2018 3:29:00 PM,0.05,0.05,0.05,0.05,9400
9/12/2018 3:28:00 PM,0.05,0.05,0.05,0.05,12800
9/12/2018 3:27:00 PM,0.1,0.1,0.05,0.05,42560
9/12/2018 3:26:00 PM,0.1,0.1,0.05,0.05,307000
9/12/2018 3:25:00 PM,0.1,0.1,0.05,0.05,70520
9/12/2018 3:24:00 PM,0.15,0.15,0.05,0.05,180720
9/12/2018 3:23:00 PM,0.1,0.15,0.1,0.15,238400
9/12/2018 3:22:00 PM,0.15,0.15,0.1,0.15,173480
9/12/2018 3:21:00 PM,0.25,0.25,0.1,0.15,457800
9/12/2018 3:20:00 PM,0.35,0.5,0.25,0.25,340640
9/12/2018 3:19:00 PM,0.7,0.7,0.3,0.4,483200
9/12/2018 3:18:00 PM,1.5,1.5,0.65,0.65,534680
9/12/2018 3:17:00 PM,2.15,2.6,1.5,1.5,374440
9/12/2018 3:16:00 PM,2.2,2.75,1.65,2.15,586520
9/12/2018 3:15:00 PM,3.3,4.5,2.1,2.2,551520
9/12/2018 3:14:00 PM,3.65,5,3.2,3.6,357840
9/12/2018 3:13:00 PM,2.6,4.85,2.2,3.65,479280
9/12/2018 3:12:00 PM,4.5,4.8,2.5,2.5,392400
9/12/2018 3:11:00 PM,6.45,7.3,3.8,4.65,431080
9/12/2018 3:10:00 PM,8.45,8.45,5.7,6.55,403880
9/12/2018 3:09:00 PM,8.6,8.85,5,8.6,565040
9/12/2018 3:08:00 PM,10.35,11.1,7.7,9.1,443120
9/12/2018 3:07:00 PM,13.35,13.35,8.5,10.25,526920
9/12/2018 3:06:00 PM,23.25,23.25,12.55,13.25,412560
9/12/2018 3:05:00 PM,28.25,28.35,18.9,23.5,354880
9/12/2018 3:04:00 PM,18.95,29.2,16.5,28.65,387840
