Date,Nifty Bank O,Nifty Bank H,Nifty Bank L,Nifty Bank C,Nifty Bank V
9/10/2018 2:17:00 PM,27218.6,27226.45,27216.65,27219.45,0
9/10/2018 2:16:00 PM,27224.25,27225.75,27216.4,27217.8,0
9/10/2018 2:15:00 PM,27232.9,27237.25,27225,27225,0
9/10/2018 2:14:00 PM,27235.35,27237.65,27228.7,27232.1,0
9/10/2018 2:13:00 PM,27243.65,27247.4,27231.7,27233.55,0
9/10/2018 2:12:00 PM,27234.1,27249.2,27233.3,27245,0
9/10/2018 2:11:00 PM,27236.25,27238.8,27231.9,27232.75,0
9/10/2018 2:10:00 PM,27223.25,27239.65,27222.95,27235.55,0
9/10/2018 2:09:00 PM,27222.65,27226.45,27215.75,27222.7,0
9/10/2018 2:08:00 PM,27223.3,27227.9,27217.35,27223.6,0
9/10/2018 2:07:00 PM,27229.4,27230.1,27222.8,27225.65,0
9/10/2018 2:06:00 PM,27239.05,27244.85,27226.55,27231.3,0
9/10/2018 2:05:00 PM,27236.3,27240.95,27234.8,27239.6,0
9/10/2018 2:04:00 PM,27256.5,27260.3,27234.3,27235.6,0
9/10/2018 2:03:00 PM,27259.75,27262.55,27255.35,27257.25,0
9/10/2018 2:02:00 PM,27255.4,27264.55,27253.15,27260.75,0
9/10/2018 2:01:00 PM,27274.15,27280.35,27254.7,27255.3,0
9/10/2018 2:00:00 PM,27255.55,27274.05,27255.55,27273.35,0
9/10/2018 1:59:00 PM,27251.25,27257.7,27244.6,27256.9,0
9/10/2018 1:58:00 PM,27268.4,27271.3,27250.7,27252.75,0
9/10/2018 1:57:00 PM,27282.7,27290.45,27266.15,27269.3,0
9/10/2018 1:56:00 PM,27264.55,27285.5,27260.7,27282.6,0
9/10/2018 1:55:00 PM,27254.85,27264.45,27254.2,27264.45,0
9/10/2018 1:54:00 PM,27252.95,27262.9,27250.9,27256.1,0
9/10/2018 1:53:00 PM,27245.2,27262,27245.2,27254.75,0
9/10/2018 1:52:00 PM,27210,27250.45,27210,27244.7,0
9/10/2018 1:51:00 PM,27210.1,27217.95,27207.65,27210.05,0
9/10/2018 1:50:00 PM,27206.25,27213.25,27204.2,27213.25,0
9/10/2018 1:49:00 PM,27199.7,27210.75,27198.8,27204.95,0
9/10/2018 1:48:00 PM,27195.85,27202.45,27194.6,27200.05,0
9/10/2018 1:47:00 PM,27208.65,27212.6,27195.9,27195.9,0
9/10/2018 1:46:00 PM,27198.4,27210.05,27198.2,27208.2,0
9/10/2018 1:45:00 PM,27194.95,27201.6,27194.3,27199.15,0
9/10/2018 1:44:00 PM,27191.35,27198.55,27190.85,27194.1,0
9/10/2018 1:43:00 PM,27192.8,27202,27190.9,27194.25,0
9/10/2018 1:42:00 PM,27184.55,27197.25,27184.55,27193.8,0
9/10/2018 1:41:00 PM,27194.85,27198.5,27183.8,27184.2,0
9/10/2018 1:40:00 PM,27205.5,27207.6,27194.6,27197.1,0
9/10/2018 1:39:00 PM,27207.1,27217.3,27204.25,27204.25,0
9/10/2018 1:38:00 PM,27208.65,27211.6,27202.7,27205.8,0
9/10/2018 1:37:00 PM,27211.95,27213,27203.6,27208.35,0
9/10/2018 1:36:00 PM,27209.55,27214.25,27206.5,27213.6,0
9/10/2018 1:35:00 PM,27210.9,27213.35,27205.8,27208.1,0
9/10/2018 1:34:00 PM,27201.65,27210.5,27200,27208.8,0
9/10/2018 1:33:00 PM,27202.9,27210.8,27198.85,27202.7,0
9/10/2018 1:32:00 PM,27194.8,27208.05,27193.3,27205.9,0
9/10/2018 1:31:00 PM,27198.4,27204.2,27198.05,27198.2,0
9/10/2018 1:30:00 PM,27194.1,27198.8,27187.8,27198.8,0
9/10/2018 1:29:00 PM,27179.05,27194.3,27178.15,27193.45,0
9/10/2018 1:28:00 PM,27190.85,27191.85,27178.35,27178.35,0
9/10/2018 1:27:00 PM,27179.8,27191.85,27179.5,27191.6,0
9/10/2018 1:26:00 PM,27175.65,27185.95,27175.3,27177.2,0
9/10/2018 1:25:00 PM,27174.95,27181.15,27174.95,27176.45,0
9/10/2018 1:24:00 PM,27178.9,27186.4,27175.4,27176.5,0
9/10/2018 1:23:00 PM,27174.3,27180.75,27170.1,27179.65,0
9/10/2018 1:22:00 PM,27183.95,27187.8,27172.45,27173.3,0
9/10/2018 1:21:00 PM,27191.6,27197.15,27183.15,27183.15,0
9/10/2018 1:20:00 PM,27191.05,27197.6,27187.1,27192,0
9/10/2018 1:19:00 PM,27190.2,27198.8,27186.35,27191.25,0
9/10/2018 1:18:00 PM,27185.7,27196.65,27185.7,27191.4,0
