Date,BANKNIFTY12SEP1827000CE O,BANKNIFTY12SEP1827000CE H,BANKNIFTY12SEP1827000CE L,BANKNIFTY12SEP1827000CE C,BANKNIFTY12SEP1827000CE V
9/10/2018 3:29:00 PM,297.95,298.9,295.2,298.9,1520
9/10/2018 3:28:00 PM,290.3,297.55,290.05,297,1640
9/10/2018 3:27:00 PM,282.5,290,282.5,289.75,1640
9/10/2018 3:26:00 PM,281.85,283.2,280,282.15,2400
9/10/2018 3:25:00 PM,285.1,285.9,280.9,280.9,2480
9/10/2018 3:24:00 PM,294,294.35,285.05,285.05,2800
9/10/2018 3:23:00 PM,301.95,301.95,294,294,3840
9/10/2018 3:22:00 PM,302.1,302.1,300.05,301.75,880
9/10/2018 3:21:00 PM,304.35,304.35,301,302.55,1480
9/10/2018 3:20:00 PM,308.9,309,304,304.1,3000
9/10/2018 3:19:00 PM,306,309.55,306,308.9,5440
9/10/2018 3:18:00 PM,303.6,307.85,303.6,306,1720
9/10/2018 3:17:00 PM,302.05,304.55,302,303.6,1600
9/10/2018 3:16:00 PM,309.05,309.05,302,302.05,720
9/10/2018 3:15:00 PM,308.6,311,307.6,307.65,840
9/10/2018 3:14:00 PM,311,311,308.6,308.6,40
9/10/2018 3:13:00 PM,304.9,311,303.55,311,560
9/10/2018 3:12:00 PM,306,306.85,302.6,304.9,440
9/10/2018 3:11:00 PM,303.9,307.25,303.9,305.95,280
9/10/2018 3:10:00 PM,300.05,307.15,300.05,303.9,2200
9/10/2018 3:09:00 PM,307.75,307.75,297.85,300.05,920
9/10/2018 3:08:00 PM,306.7,307.75,306.15,307.75,960
9/10/2018 3:07:00 PM,316.35,316.35,308.4,308.9,2320
9/10/2018 3:06:00 PM,312,316.35,311,316.35,280
9/10/2018 3:05:00 PM,309.85,316,309.3,316,480
9/10/2018 3:04:00 PM,311.45,316.55,309.8,309.85,560
9/10/2018 3:03:00 PM,311,311.45,311,311.45,40
9/10/2018 3:02:00 PM,313.3,319.8,311,311,280
9/10/2018 3:01:00 PM,312.9,313.3,306.55,313.3,840
9/10/2018 3:00:00 PM,320,323.15,309.1,312.9,5440
9/10/2018 2:59:00 PM,320,323.4,317.65,318.05,720
9/10/2018 2:58:00 PM,310,320,308.15,320,2360
9/10/2018 2:57:00 PM,304.45,314.75,304.45,310,1160
9/10/2018 2:56:00 PM,301,307.2,301,304.45,400
9/10/2018 2:55:00 PM,305.2,305.2,300,301,1360
9/10/2018 2:54:00 PM,300,308.2,295.95,305.2,2440
9/10/2018 2:53:00 PM,288.35,300,288.35,300,1320
9/10/2018 2:52:00 PM,307,307,288.35,288.35,2400
9/10/2018 2:51:00 PM,315.15,315.15,302.2,307,4560
9/10/2018 2:50:00 PM,321.9,321.9,315.3,315.3,600
9/10/2018 2:49:00 PM,325.25,325.25,321.9,321.9,280
9/10/2018 2:48:00 PM,326.4,326.4,321.4,325.25,80
9/10/2018 2:47:00 PM,324,329.05,324,326.4,840
9/10/2018 2:46:00 PM,319.1,325,319.1,324,4000
9/10/2018 2:45:00 PM,314.75,319.25,314.75,319.1,280
9/10/2018 2:44:00 PM,314.7,314.9,310,314.75,2200
9/10/2018 2:43:00 PM,317,317,310.45,314.7,1040
9/10/2018 2:42:00 PM,315,317,315,317,160
9/10/2018 2:41:00 PM,312.25,315,312.25,315,760
9/10/2018 2:40:00 PM,315,315,305,312.25,1000
9/10/2018 2:39:00 PM,319.8,319.8,315,315,400
9/10/2018 2:38:00 PM,318.6,323.65,318.6,319.8,920
9/10/2018 2:37:00 PM,310,318.6,310,318.6,200
9/10/2018 2:36:00 PM,317.6,317.6,310,310,640
9/10/2018 2:35:00 PM,321.75,325.3,315.7,317.6,1120
9/10/2018 2:34:00 PM,316.35,330,316,322.35,6640
9/10/2018 2:33:00 PM,295,316.35,295,316.35,1080
9/10/2018 2:32:00 PM,286.95,295,286.6,295,2360
9/10/2018 2:31:00 PM,279.2,286.6,278.9,282.5,560
9/10/2018 2:30:00 PM,278.5,284.8,276.3,279.2,960
9/10/2018 2:29:00 PM,284.6,289.4,278.5,278.5,1880
9/10/2018 2:28:00 PM,290,295,283.35,284.6,2400
9/10/2018 2:27:00 PM,298.55,298.55,290,290,3160
9/10/2018 2:26:00 PM,300,303,298.55,298.55,880
