Date,BANKNIFTY18SEPFUT O,BANKNIFTY18SEPFUT H,BANKNIFTY18SEPFUT L,BANKNIFTY18SEPFUT C,BANKNIFTY18SEPFUT V
9/10/2018 3:29:00 PM,27335.1,27339.9,27330,27335,19880
9/10/2018 3:28:00 PM,27326.9,27338.2,27326.9,27338.2,27000
9/10/2018 3:27:00 PM,27308.65,27327.55,27308.65,27326.85,34960
9/10/2018 3:26:00 PM,27309.95,27310,27305.35,27308,21480
9/10/2018 3:25:00 PM,27313.3,27315,27305.4,27309.95,29640
9/10/2018 3:24:00 PM,27326.75,27326.75,27313.2,27313.5,25200
9/10/2018 3:23:00 PM,27335,27335,27325.1,27326.85,27400
9/10/2018 3:22:00 PM,27335.95,27337,27332,27335,12520
9/10/2018 3:21:00 PM,27338.85,27338.85,27332,27335.05,24040
9/10/2018 3:20:00 PM,27345.4,27349.95,27335.6,27338.85,29600
9/10/2018 3:19:00 PM,27345.05,27349.35,27343.1,27346.5,12560
9/10/2018 3:18:00 PM,27343.6,27350,27342.25,27344,13840
9/10/2018 3:17:00 PM,27338.6,27344,27338.6,27343.6,13720
9/10/2018 3:16:00 PM,27346,27346.2,27338.6,27338.6,17680
9/10/2018 3:15:00 PM,27347.15,27353.3,27346.05,27350,11160
9/10/2018 3:14:00 PM,27350,27353,27345.25,27347.05,8840
9/10/2018 3:13:00 PM,27344.05,27353.45,27341.35,27353,9240
9/10/2018 3:12:00 PM,27352.4,27352.65,27342.65,27346.75,9200
9/10/2018 3:11:00 PM,27349.9,27352,27344.3,27351.9,6000
9/10/2018 3:10:00 PM,27339.95,27353.6,27339.95,27345,16520
9/10/2018 3:09:00 PM,27352.75,27352.75,27339.15,27339.95,19720
9/10/2018 3:08:00 PM,27351.1,27361.2,27348.05,27352.7,15680
9/10/2018 3:07:00 PM,27365,27367,27351.5,27352.95,8320
9/10/2018 3:06:00 PM,27359.75,27367.6,27355,27367.15,6640
9/10/2018 3:05:00 PM,27355.05,27368.35,27355,27364.7,8000
9/10/2018 3:04:00 PM,27359.15,27365.05,27355,27355.05,6560
9/10/2018 3:03:00 PM,27356.05,27367.55,27356.05,27359.15,10480
9/10/2018 3:02:00 PM,27365,27371.4,27355.35,27360.85,8040
9/10/2018 3:01:00 PM,27365.55,27365.55,27355,27365,5840
9/10/2018 3:00:00 PM,27371.4,27378,27359.3,27365.55,17000
9/10/2018 2:59:00 PM,27370,27376,27366,27370.95,8640
9/10/2018 2:58:00 PM,27358.2,27370,27352.55,27370,8360
9/10/2018 2:57:00 PM,27348.15,27364.8,27345.6,27352.65,7360
9/10/2018 2:56:00 PM,27346.2,27354.5,27345,27348.15,5600
