Trade ID,Fill time,Type,Instrument,Product,Qty.,Avg. Price
275888,2018-09-10 16:37:52,BUY,USDINR18SEP72.25PE,NRML,10,0.34
275830,2018-09-10 16:37:36,BUY,USDINR18SEP73CE,NRML,10,0.3275
87860,2018-09-10 11:05:29,SELL,USDINR18SEP72CE,NRML,5,0.8075
87859,2018-09-10 11:05:29,SELL,USDINR18SEP71.75PE,NRML,5,0.155
50362123,2018-09-10 09:49:16,SELL,BANKNIFTY12SEP1827600CE,NRML,40,50.55
50362122,2018-09-10 09:49:16,SELL,BANKNIFTY12SEP1827400PE,NRML,40,154.15
