Product,Instrument,Qty.,Avg.,LTP,P&L,Chg.
NRML,USDINR18SEP71.75PE,-5,0.155,0.1775,-112.5,14.52
NRML,USDINR18SEP72.25PE,10,0.34,0.34,0,0
NRML,USDINR18SEP72CE,-5,0.8075,0.83,-112.5,2.79
NRML,USDINR18SEP73CE,10,0.3275,0.315,-125,-3.82
NRML,BANKNIFTY12SEP1827400PE,-40,154.15,212.95,-2352,38.14
NRML,BANKNIFTY12SEP1827600CE,-40,50.55,25.95,984,-48.66
