Product,Instrument,Qty.,Avg.,LTP,P&L,Chg.
NRML,USDINR18SEP72.25PE,10,0.34,0.34,0,0
NRML,USDINR18SEP73CE,10,0.3275,0.315,-125,-3.82
NRML,USDINR18SEP71.75PE,0,0,0.1775,-1375,0
NRML,USDINR18SEP72CE,0,0,0.83,1950,0
NRML,BANKNIFTY12SEP1827400PE,0,0,212.95,1446,0
NRML,BANKNIFTY12SEP1827600CE,0,0,25.95,-3518,0
